pdf_page,chars,preview
1,872,"查之情形，有所不同。 議事規範之適⽤，與⼀般機關應依法規嚴格執⾏，並受監督及審 由作此主張之議員或其所屬政黨⾃⾏負擔政治上之責任。故國會 包括各種不成文例規，於適⽤之際，且得依其決議予以變通，⽽ 會⾃律或國會⾃治。⼜各國會之議事規範，除成文規則外，尚 則，⾏政、司法或其他國家機關"
2,1053,"若為調查事實⽽傳喚立場不同之立法委員出庭陳述，無異將政治 得調查證據之⾔詞辯論，有所不同，即非釋憲機關所能審究，且 之規定⾏⾔詞辯論，乃指法律問題之辯論，與宣告政黨違憲事件 理案件法第⼗三條第⼆項規定，⼤法官解釋憲法得準⽤憲法庭 有爭議，並有待於調查者，則事實尚未明顯。依司法院⼤"
3,963,"此段文字所負之責任。 無可質疑之處，致節錄各案有關文字，煞費⼼機，徒增⼤法官對 之事實與爭議與本件解釋案之事實與爭議，均頗有出入，⽽並非 聯邦憲法院⼀項裁判有關之文字，作為理由書之內容。該三案 與美國聯邦最⾼法院⼀項，判決⽇本最⾼裁判所⼀項判決及德國 書提出之⾒解，使其更具說服之"
4,1015,"疑慮，未敢遽予同意，茲述明意⾒如左： 值欽佩。惟本席研究程序法，基於「程序正義」原則，仍有左列 然在形式上既已存在，仍發⽣效⼒，其安定憲政秩序之⾄意，亦 為總統據立法院移送⽽公布之法律，縱有與議事規範不符情形， 主席未遵守議事程序⾏事，固有其不得已之苦衷。多數⼤法官認 立法程序，"
5,1177,"六、多數⼤法官引⽤外國判例參證，多⽅解說，⽤⼼良苦，無論 本席實未敢同意。 若謂此種事實，尚有「爭議」，「並非明顯」，仍待調查認定， 知，於社會上極為顯著，⼤法官為社會⼀份⼦，當非視⽽不⾒， 顯重⼤瑕疵之事實，⽋缺法律成立之基本規定，已為公眾所週 記載（八⼗三卷⼆期四三、四⾴），"
6,860,"主 旨：本院謝委員啟⼤等五⼗八年，為立法院審議「國家安全會 相關文件 司法院⼤法官審理案件法第13條第2項(82.02.03) 中央法規標準法第12條、第13條(59.08.31) 憲法增修條文第9條（80.5.1.公布）(80.05.01) 憲法第170條(36.01.01) "
7,885,"事項第⼀、⼆、三案併案討論，並請以記表決逕付⼆讀。此⼀提 ⼈事⾏政局組織條例草案」等三案，從委員會抽出，改列為討論 安全會議組織法草案」、「國家安全局組織法草案」、「⾏政院 三⼗六⼈，依立法院議事規則第⼆⼗條提議變更議程，將「國家 六分進⾏第⼆屆第⼆會期第⼆⼗八次會議時，突由饒穎"
8,919,"發⽣任何法律上之效⼒。 倉促公布之所謂「法律」，因未經憲法所規定之立法程序，不能 統公布之「法律」。因此，總統於八⼗⼆年⼗⼆⽉三⼗⽇下午所 三讀程序，依憲法第七⼗⼆條之明文規定，尚不存在可供送請總 ⼒⾏使之共通限制。本案因立法院明顯未完成上述三法案之⼆、 不得為惡意之⽬的⽽踰越常"
9,531,"法律之所以具有約束⼒，⾏政機關之所以必須依法⾏政，在於法 ⼀、聲請解釋憲法之⽬的 抄立法院立法委員林濁⽔等五⼗八⼈聲請書 （本聲請書附件略) 蘇嘉全 李慶雄 廖⼤林 黃爾璇 黃昭輝 蘇煥智 葉耀鵬 許添財 陳光復 洪奇昌 周伯倫 黃煌雄 蔡同榮 林光華 柯建銘 張俊雄 洪昭男 謝"
10,918,"新法案。不管如何，主席在處理時均未⼤體討論，亦無條文朗 席所處理之標的為何，亦即委員會之審查結果或三委員所提出之 院會主席雖宣布將該三項法案⼆、三讀，惟院會當場無⼈知道主 織法逕付⼆、三讀。 之審查結果，⽽宣布將國⺠黨籍廖福本等三立委領銜提出之三組 出，列為院會討論事項第⼀、⼆、"
