pdf_page,chars,preview
1,578,"立法委員丁守中等一百二十四人聲請書 壹、 聲請解釋憲法之目的 參謀總長應否列席立法院備詢或陳述意見，憲法規定不詳， 於適用時滋生諸多疑義，特請大法官解釋。 貳、 疑義性質、經過及涉及之憲法條文 參謀總長應否列席立法院備詢 或陳述意見，數年來立法院與 國防部爭議不斷，嚴重影響立法院"
2,667,"1 、 參謀總長是實質上的 「部會首長」 ，應被視為 「部會首長」 ， 受憲法第五十七條和第七十一條的適用。 2 、 無論參謀總長是否被視為 「部會首長」 ，參謀總長都是 「政 府人員」 ，受憲法第六十七條的適用。 3 、 「國防部參謀本部組織法」 第九條的規定違反憲法第五十三 "
3,769,"在名上，國防部長為國防部之唯一首長，但在實務上，國防 部長與參謀總長各有所司，互不隸屬，互不指揮。在名上，參謀 本部為國防部的下屬單位，人事、編制、預算均應由國防部統籌 調派 、 處理與運用 ， 但在實務上 ， 參謀本部與國防部為平行單位 ， 人員、編制、預 算均彼此獨立調派、處"
4,590,"聲請人對本案所持的立場與見解如下： 一、 參謀總長是實質上的「部會首長」 ，應被視為「部會首長」 ， 受憲法第五十七條和第七十一條的適用。 1 、 參謀本部實為獨立的部會，不受國防部的節制。 (1) 從組織而言 根據 「國防部組織法」 規定，國防部下設國防部 本部（俗稱「軍政系統"
5,631,"本部的編制和員額。參謀本部有自己單獨 （獨立於國 防部外） 的編制和員額。 參謀本部的編制員額為國防 部的三至四倍 。 國防部的編制 總共為四百四十四人至 七百六十九人 ， 包括副部長 、 常務次長 、 參事 、 主任 、 司長、局長、副主任、副司長、副局長、處長、副處 長、科長"
6,705,"（憲法第五十六條） 。參謀總長的產生方式，法無明 文規定 。 從法理而言 ， 參謀本部為國防部的下屬單位 ， 參謀總長應由國防部的最高首長提名任命，但實務 上，是由總統直接任命，國防部長無從置喙。 綜上所述 ， 參謀本部雖名為國防部之下屬單位 ， 但國 防部與參謀本部各有所司，互"
7,673,"法第五十七條和第七十一條。 二、 無論參謀總長是否被視為「部會首長」 ，參謀總長都是「政 府人員」 ，受憲法第六十七條的適用。 憲法第六十七條賦予立法院委員會對 「政府人員及社會 上有關係人員」行使質詢權（到會備詢） 。憲法對「政府人 員」 的範圍並未加以任何限制，因此 「政府人"
8,671,"（中華民國總統府組織法第三條 、 第四條） ， 並未規定參謀 總長為總統的統帥系統幕僚長，或總統的任何系統幕僚 長。但 「國防部參謀本部組織法」 第九條卻規定： 「參謀總 長在統帥系統為總統之幕僚長」 ， 直接牴觸 「中華民國總統 府組織法」 。 3 、 「國防部參謀本部組織法」"
9,615,"是否執行戒嚴權的行政院即為立法院質詢權所不及？憲 法第三十八條賦予總統締結條約權，是否執行條約談判簽 署的行政部門即為立法院質詢權所不及？憲法第四十條 賦予總統大赦、特赦、減刑及復權之權，是否執行大赦、 特赦、減刑及復權之權的法務部即為立法院質詢權所不 及？若均為立法院質詢權所不"
10,346,"洪昭男 柯建銘 郁慕明 范巽綠 高育仁 高惠宇 郝龍斌 徐少萍 翁重鈞 許添財 許舒博 郭廷才 郭金生 郭政權 章仁香 張旭成 張俊雄 張晉城 曹爾忠 陳一新 陳永興 陳宏昌 陳志彬 陳定南 陳其邁 陳癸淼 陳清寶 陳朝容 陳傑儒 陳漢強 陳鴻基 陳瓊讚 莊金生 曾永權 曾振農 "
