pdf_page,chars,preview
1,627,"立法委員郝０斌等一百十二人聲請書 壹、 為國民大會於民國八十八年九月四日凌晨以所謂 三讀程序通過修正憲法增修條文第一條第一項至第三 項規定： 「國民大會代表第四屆為三百人，依左列規定 以比例代表方式選出之。並以立法委員選舉，各政黨所 推薦及獨立參選之候選人得票數之比例分配當選名額"
2,645,"或解散後六十日內完成之 ， 不適用憲法第六十五條之規 定 。 」 並於九月十五日經總統明令公布 （附件一） 。 聲請 人等為立法院立法委員 ， 鑒於該等憲法增修條文之修正 通過，其違反憲法，不止一端，形成現行選舉法令應否 隨之大幅變動 ， 以及原應依據公職人員選舉罷免法於民 國八"
3,639,"第三屆國民大會代表之任期應於民國八十九年五 月十九日屆滿，詎國民大會於本年九月四日凌晨，以不 合會議正當程序之方式，通過系爭修憲條文，擅將現任 代表之任期延長至民國九十一年六月三十日 ， 共兩年有 奇 ， 並將次屆國民大會代表改為完全由比例代表方式選 出，均已涉及修憲界限之違反。"
4,618,"獲得憲法第一百七十四條規定所需之決議人數 ， 原已遭 到否決 ， 詎當時國民大會議長竟擅行否定已知之表決結 果，裁定重行投票，違反議事中立原則，亦違反議事正 當程序，凡此均有當日之國民大會議事錄（附件二）可 稽。違反法定修憲程序卻經宣告為通過之修憲條文，既 無據以認定為「通過」之"
5,569,"可言；且究其條文之內容，亦有自本屆起即任意延 長民意代表任期，並就國民大會代表之產生採行全 額政黨比例代表制度，而有違反國民主權原則、憲 法第七條 「人民不分 黨派一律平等」 、憲法增修 條文第八條「國民大會代表及立法委員 單獨增 加報酬或待遇之規定，應自次屆起實施」等憲法基 本"
6,634,"國民大會曾於八十八年六月十五日修正通過國 民大會議事規則， 規範修憲之提案 、讀會 、 討論 、 表 決諸項程序之進行。孰料墨瀋未乾，即遭國民大會 代表於修正系爭憲法增修條文之程序中率予自相踐 踏。八十八年九月三日下午至翌日凌晨，國民大會 曾就系爭修憲條文進行二讀及三讀程序。其於"
7,577,"記名表決，均應認為違反議事規則所要求之正當修 憲程序，而應認為無效。系爭修憲條文未經有效之 表決通過，自亦不生效力。 又按，系爭修憲條文於九月三日下午進行二讀 會投票時 ， 係以一九八票贊成 、 四十七票反對 ， 未達 通過人數而遭否決 附件四 。惟主席旋即裁示重新 投票，並以第"
8,603,"律成立基本規定之明顯重大瑕疵者，則釋憲機關仍 得宣告其為無效。惟其瑕疵是否已達足以影響法律 成立之重大程度 ， 如尚有爭議 ， 並有待調查者 ， 即非 明顯，依現行體制，釋憲機關對於此種事實之調查 受有限制，仍應依議會自律原則 ， 謀求解決。 」 第三 八一號解釋則謂： 「修改憲"
9,624,"題理論一環之案例，惟此並非絕對之原則，亦久為 美國最高法院大法官所肯認。 九三年 ( 1993 ） 一案中 ， 即提出協同意見書 為從事審查之舉，均不恰當或對國會有欠尊重。使 用政治問題理論正如 要審查之情境是否迫切而已」 。且在立法程序上，司 法審查以是否有明顯之違憲情事為判準"
10,567,"申言之，我國憲法為剛性憲法，立法者不能單 獨修憲，然國民大會為修憲機關，即連修憲程序亦 有付之修改的可能，如果國民大會修憲時連議事規 則亦不必遵守，將恐無可以拘束修憲機關之憲政規 範，又何足與言自由民主憲政秩序之建立？此實所 以 「國民大會行使職權之程序由何機關定之」 ，必須 由"
