pdf_page,chars,preview
1,575,"立法委員洪昭男等一百零二人聲請書 壹、 第三屆國民大會第四次會議於民國八十八年九月 三日至四日舉行之第十八次大會通過修正中華民國憲 法增修條文第一條、第四條、第九條及第十條文，內 容涉及第三屆國民大會代表及第四屆立法委員任期之 延長，民眾多表反對，聲請人等擬依憲法第一百七十四 條"
2,536,"憲法精神牴觸，該部分應自始無 貳、疑義之性質與經過 一 、 關於修憲案二讀與三讀均以無記名投票方式通過一 節，經過如下： ㈠ 月日 第二讀之討論 第一案 與逐條議決 第二案 ，程 序進行至第二案時 ， 因江文如代表提出 ： 「建請大 會於修憲各議案進行二讀會以及三讀會時，均以 無"
3,554,"裁示重新投票，結果贊成者達出席代表四分之三 法定人數，主席宣告修正案通過，雖 表質疑重新投票不符合議事規則，主席未再做處 理 以上參見「第三屆國民大會第四次會議第十 八次大會議事錄」 ， 頁十二－十四 ， 及 「第三屆國 民大會第四次會議第十八次大會速記錄」 ，頁四 二－四六 。"
4,591,"否影響通過修憲案之生效，實不無疑義。惟就必須 以四分之三高門檻通過之二讀及三讀程序 ， 均以無 記名 案最終所持立場完全不透明 ， 則已與大院於釋字第 三一四號 、 第三一號及第四０一號解釋所闡明有 關國民參加修憲及責任政治意旨明顯相違 ， 此部分 程序瑕疵為違反修憲成立基本規定"
5,539,"第三屆國民大會代表與第四屆立法委員之任期均 較其選舉時明定之任期延長，質言之，國民大會代 表任滿之日從民國八十九年五月十九日延至民國 九十一年六月三十日 ， 立法委員任滿之日則從民國 九十一年一月三十一日延至民國九十一年六月三 十日 。 就此部分應與民主政治定期改選原則明顯牴 觸"
6,514,"人民監督政府為主要憲政功能之國會 ， 尤其重 要 註一 。 2. 憲法修改又因攸關憲政秩序之安定及國 民之福祉至鉅 ， 其本質猶如人民共營國家生活 基本契約之修改 ， 故大院特於釋字第三一四號 解釋中闡明： 「應使國民預知其修改之目的並 有表達意見之機會」 ， 「俾其行使職權能符"
7,540,"主要即以其為修改憲法之機關 ， 其他職權均為 消極防弊性質 同意權 、 罷免提案權 、 彈劾議決 權 、 變更領土議決權 ， 或僅於極例外情形始得 行使 副總統補選權 ， 要皆非於選舉時即能預 知 ， 故國民大會代表之選舉應以憲政制度之意 見為其主要委任內容 mandate ) "
8,532,"1. 按表決本為國會議事程序中最重要之一 環，基於議事效率考量，通常審議過程均僅有 少數出席者得有機會發言 ， 但所有議員均有義 務就議案以參與表決方式表達其最終意見 ， 而 形成具有法定拘束力之決定 。 故國會透明化不 僅可導出議事公開 事務具有高度機密性者除 外 之要求 ， "
9,535,"條 、 第五十條 。 足見有關修憲案之通過 ， 二讀 會與三讀會之表決均具有關鍵性 ， 尤其國民大 會為避免草率 ， 特規定此二次讀會之表決通過 人數均為總額三分之二代表之出席與出席代 表四分之三之同意 ， 從而代表在兩次讀會表決 所表達之立場 ， 基於國民參加與責任政治原則 應"
10,505,"㈢ 不生效 1. 從我國憲法第一條宣示之民主共和國原 則 、 第二條宣示之國民主權原則及第十七條人 民享有四種政權之宣示即知 ， 國民參加與責任 政治在我國憲法上之特殊意義 。 憲法第二十五 條 、 第二十七條及第一百七十四條雖使國民對 憲法修改之創制 、 複決不得不由國民大會代"
11,532,"不生任何效力。 二、憲法雖未規定修憲之界限，但修憲仍不得違反自由 民主憲政之基本原則。民意代表定期改選，即為不 可動搖之基本原則 。 第三屆國民大會第四次會議第 十八次大會三讀通過 、 並經總統於八十八年九月十 五日公布之 及第四條第三項有關第三屆國民大會代表及第四 屆立法委員任"
12,548,"致妨礙國人藉憲法修改以突破現狀之渴望 ， 實 無待多論。且修憲正如其他公共政策之決定， 其褒貶贓否難免因利益、觀點之多元而不一， 茍完成民主程序，原則上即應尊重民主之結 果 ， 縱有錯誤亦應藉下一民主程序之發動加以 糾正，而非經由司法機關介入。故聲請人對於 本次修正案之內容 ， "
13,544,"本世紀末期，民主化殆已成為全球共同趨勢， 學者 ） 「歷史終結」 之說可為註 腳 。 此所以大院對於修憲條文之審查雖向持戒 慎立場 註八 ， 但仍早於釋字第二六一號解釋 即曾受理有關 「動員戡亂時期臨時條款」 第六 項第二款 、 第三款是否違反憲法基本精神之解 釋疑義，而逕以 「"
14,548,"基本原則。就此而言，以修憲權為主要職權， 且如前述其選舉應以憲政理念為主要委任內 容之國民大會代表， 並無本質之不同， 人民對 國民大會代表所為之授權 ， 雖可認係有關修憲 之概括性授權，其概括仍為僅就修憲內容而 言 ， 授權本身附有固定期限則與其他民選公職 並無二致 ， 非得謂"
15,486,"力。 3. 故民主與專制之隔，不僅在於 無 ， 尚在於選舉是否依所定期限舉行。 統治者 若得修憲延長任期， 不受原任期之拘束 ， 本質 上即為凍結選舉，亦即凍結民主。 ㈢ 定應屬 1. 本次修憲使第三屆國民大會代表任期較 原定任期多兩年四十天 ， 第四屆立法委員任期 較原定任期多"
16,641,"片面延長契約 ， 剝奪人民另選他人或自己投入 選舉之機會， 其違反 「任何人皆不得為大於自 己之處分」 nemo plus juris transfere potest quam ipse habet. ) 法理，至為明顯， 人民之主動地位因受恣意壓抑而難以伸張 ， 民 主憲政則"
17,628,"或靜坐， 至今仍保留以腳投票之傳統，參閱 Parliament Works, 1987,95 百五十一條第二項及第一百五十二條規定以起立或 記名方式表決 ； 法國眾議院議事規則規定舉手 、 起立 、 表決器、唱名等方式，僅於人事任命案採祕密投票； 我國會議規範第五十五條第二項亦規"
18,591,"頁五六－五七；年輕一代學者雖有所修正，但仍多採 有界限說，如許宗力，憲法修改界限論，民國七十年 台大碩士論文，頁一四三－一四七；董保城，修憲界 限之探討，憲政時代，十七卷二期 民國八十年 ，頁 一九－三二；陳慈陽，論憲法核心部分理論之實證化 及其難題， 上 、 下 ，中興法學，三"
19,393,"吳清池 范揚盛 何智輝 廖福本 廖婉如 洪性榮 朱立倫 曾蔡美佐 潘維剛 郭榮振 李顯榮 章仁香 陳清寶 黃秀孟 許登宮 許素葉 林春德 李嘉進 蔡家福 陳振雄 李鳴皋 陳學聖 邱創良 陳健治 蔡中涵 19 曾永權 韓國瑜 鄭永金 蕭金蘭 高揚昇 楊瓊櫻 王天競 關沃暖 黃昭順 "
20,29,"中華民國八十八年十一月十八日 ( 本聲請書附件略） 20"
