pdf_page,chars,preview
1,748,"司法院釋字第四九號解釋 中華民國 89 年 3 月 24 日 院台大二字第 07423 號 解 釋 文 一、憲法為國家根本大法，其修改關係憲政秩序之安定及全國民 之福祉至鉅，應由修憲機關循 正當修憲程序為之。又修改憲法 乃最直接體現國民主權之行為， 應公開透明為之，以滿足理性 溝"
2,874,"二、國民大會為憲法所設置之機關，其具有之職權亦為憲法所賦予 ，基於修憲職權所制定之憲法 增修條文與未經修改之憲法條文 雖處於同等位階，惟憲法中具 有本質之重要性而為規範秩序存 立之基礎者，如聽任修改條文 予以變更，則憲法整體規範秩序 將形同破毀，該修改之條文即 失其應有之正當性。"
3,822,"旨。所謂不能改選之正當理由， 須與本院釋字第三十一號解釋 所指：「國家發生重大變故，事實上不能依法辦理次屆選舉」 之情形相當。本件關於國民大會代表及立法委員任期之調整， 並無憲政上不能依法改選之正當理 由，逕以修改上開增修條文 方式延長其任期，與首開原則 不符。而國民大會代表之自"
4,903,"均有第四屆及第五屆立法委員任期之起止日期，惟總統具有解散立 法院之權限，此次增修並未改變；又增修條文第一條第三項前段既 規定國民大會代表任期中遇立法委員改選時同時改選，後段復將第 三屆國民大會代表任期固定為至第四屆立法委員任期屆滿之日止， 均不相一致，究應適用何者，滋生疑義。況立"
5,1001,"政府宣布之中華民國憲法草案（即俗稱五憲草），均將「憲法之 解釋由司法院為之」條文列於「附則」或「憲法之施行及修正」之 章節。迨現行憲法制定時，既已有前述第七章第七十八條及第七十 九條之規定，又於第十四章憲法之施行及修改，保留「憲法之解釋 ，由司法院為之」之文字作為第一百七十三條。"
6,863,"受理權限，實則聲請意旨所述之疑義，無一而非憲法本文或增修條 文規定之事項，又此項規定旨在防止聲請釋憲事項逾越範圍涉及與 憲法全然無關之事項，並非謂解釋憲法僅限對特定條文作文義闡釋 ，其質疑自不成立。 本件聲請無論就憲法、本院解釋先例及法理論斷，均與司法院 大法官審理案件法第五條第"
7,887,"依其議事錄及速記錄之記載，修憲之議事程序實有諸多瑕疵，諸如 ： ㈠ 二讀及三讀會採無記名投票， ㈡ 復議案之處理未遵守議事規則 ， ㈢ 散會動議既經成立未依規定優先處理， ㈣ 已否決之修憲案重行 表決與一般議事規範不符， ㈤ 二讀會後之文字整理逾越範圍等。第 按瑕疵行為依其輕重之"
8,903,"會在處理所有修憲提案表決時，採用記名投票方式行之。經表決結 果，在場人數二百四十二人，贊成者有八十七人，投票贊成者已超 過出席代表三分之一。依前述議事規則第三十八條第二項規定意旨 ，表決方式即應採用記名投票，方屬正辦，此不因大會主席就表決 方式有無裁決而有異，蓋上述規定之意旨，乃"
9,1137,"由國民大會依議事自律原則自行處理，但其處理仍應符合自由民主 憲政秩序之原則，並非毫無限制，本院釋字第三四二號及第三八一 號解釋分別闡釋有案。再所謂自律事項並不包括國民大會代表參與 會議時之一切行為，故未經依法宣誓或其宣誓故意違反法定方式者 ，即不得行使職權（諸如投票、表決等），其"
10,966,"題而不予司法審查，或仍可能屬於一般憲法問題得由法院予以解釋 ，在美國並未形成多數意見。一九八四年美國聯邦最高法院在關於 加州公民提議修改聯邦憲法之 有關事件中，大法官 Rehnquist 表達 該院之見解，認為不能以 Coleman 一案，即論斷一切修憲程序均屬 政治問題，而排除"
11,903,"之原則，具有本質之重要性，亦為憲法基本原則之所在。基於前述 規定所形成之自由民主憲政秩序（參照現行憲法增修條文第五條第 3 P ， 而應予尊重，但涉及基於前述基本原則所形成之自由民主憲政秩序 之違反者，已悖離國民之付託，影響憲法本身存立之基礎，應受憲 五項及本院釋字第三八一號解釋"
12,929,"八日八十八中選一字第八九一三五六號致本院秘書長函），是依 照此種方式產生之國民大會代表，已不具民意代表身分，充其量為 各政黨指派之代表，誠如聲請解釋意旨所稱，國民大會行使政權， 須以國民直接選舉之代表組成為前提，如適用新修改之增修條文則 無異由政黨指派未經選舉之人員代表國民行使政"
13,912,"條第三項增訂「國民大會代表之任期為四年，但於任期中遇立法委 員改選時同時改選」，則立法委員依增修條文第二條第五項規定， 經總統解散時，國民大會代表亦同遭解散，規範內容相互矛盾，亦 明顯可見。上開增修條文雖有以獨立參選之立法委員得票比例分配 同屬獨立參選之國民大會代表當選名額之設計"
14,821,"之增修，國民大會功能部分未見有任何變動，選舉方式之變更固屬 結構之一環，此次修憲廢棄區域選舉而改採依附式之所謂「比例代 表」，姑不論此種方式並非真正選舉，即使改變選舉方式，與任期 延長亦無關聯，縱如相關機關所言，延任有助於國會改革，惟手段 與其欲達成之目的並不相當。至以往國民大會"
15,890,"部分協同意見書 大法官 林永謀 本件解釋關於系爭憲法增修條文之修正，因程序瑕疵而不生效 力一節，其結論本席固予贊同。惟所持之法理論據，因與本席之確 信稍有出入，鑑於本件解釋攸關我國未來之憲政發展，相關法理之 闡釋自有更求妥善之必要，爰 就此部份提協同意見書如次： 本院歷年之解釋，"
