pdf_page,chars,preview
1,521,"蔡○智聲請書 為聲請解釋憲法事： 一、聲請解釋憲法之目的 （一）公路法第二十七條，違反授權明確性要求，應屬 無效。 （二） 汽車燃料使用費徵收及分配辦法 ， 無法律上依據 ， 任意推定汽車所有人每年使用汽油用量，並向汽 車所有人，徵收汽車燃料使用費（以下簡稱：汽 燃費） ，違反授"
2,464,"納（見附件一） 。 3. 聲請人繳納後，隨即提起訴願、再訴願及行政 訴訟，請求返還，惟均遭駁回（見附件二）而 確定。 （二）涉及之憲法條文： 1. 憲法第十五條有關人民財產權應予保障之規 定。 2. 憲法第七條、第二十三條之比例原則、公平原 則、法律授權明確性原則。 （三）公路法"
3,484,"歸 入公庫，其支出則按通常預算程序辦 理；特別公課之性質雖與稅捐有異，惟特 別公課既係對義務人課予繳納金錢之負 擔，故其徵收目的、對象、用途應由法律 予以規定，其由法律授權命令訂定者，如 授權符合具體明確之標準，亦為憲法之所 許。所謂授權須具體明確應就該授權法律 整體所表現之關聯"
4,507,"或管理人徵收；其為營建工程者，向營建 業主徵收。但 其販賣或使用易致空氣污染 之物質者，得依該物質之銷售數量向銷售 者或進口者徵收。二、移動污染源：依其 排放空氣污染物之種類及數量，向銷售者 或使用者徵收，或依油燃料之種類成分與 數量，向銷售者或進口者徵收。」 「空氣污 染防制費"
5,489,"五一號判決竟謂「燃料使用費之目的，乃 為籌集公路養護、修建及安全管理所需經 費，則其徵收之對象應為使用公路之人。 而以行駛汽車之方式使用 路之最重要且最普遍之態樣，汽車所有人 以自有之汽車行駛於公路，固為汽車所有 人使用公路之一種方式；汽車所有人將其 汽車交與他人行駛於公路上，亦"
6,504,"二十九日訂定之「各型汽車徵收汽車燃料 費耗油量計算表」 認定 （見附件三） ，依該 表以推定之方式，認定每車每月之耗油 量，即先假定：１、每一部車每一天行駛 若干公里；２、每一部車每 個月行駛若干 天；３、每車每公里使用若干公升汽油。 再基於以上之假設，以「每車每月之耗油 量＝每"
7,514,"其較公平 、 便利 、 高效率之徵收方式為之 ， 非必拘限於隨油徵收一途。依汽車燃料使 用費徵收及分配辦法之規定，汽車燃料使 用費之徵收係推定一定汽缸量汽車之耗 油量，訂出一部汽車每年使用燃料之多寡 而徵收，縱事實上於個別汽車使用 人燃料 費之負擔絕對公平，惟基於前述，仍屬相 對"
8,624,"升」 為計算單位 ， 且燃料中的汽油又分為九八 、 九五、九二等三種，每種汽油亦有不同之出廠 價格，而基於公平原則，汽燃費之徵收比率應 不分油品種類均屬相同，則不同種類汽油，因 出廠價格不同，所徵收之汽燃費不應相同。 2. 然汽車燃料使用費徵收及分配辦法何以竟可 不分油品 種類，"
9,434,"之要求，且公路法第二十七條並未授權被告得以推定汽 車所有人使用燃料之方式徵收，更未授權以違反公平原 則之方式徵收，汽車燃料使用費徵收及分配辦法，以推 定之方式認 定事實徵收汽燃費，侵害憲法上所保障之人 民財產權，規定應屬無效。 附件一：原處分影本。 附件二 ： 訴願決定 、 再訴"
10,543,"繳納通知書所載，繳交汽車燃料使用費新臺幣（下同）四、 八○○元。原告不服，循序提起訴願、再訴願，遞遭決定駁 回，遂提起行政訴訟。茲摘敘兩造訴辯意旨於次： 甲、原告起訴意旨及補充理由略謂： 一、 原處分所依據之公路法第二十七條違憲： （一） 司法院釋字第四二○號解釋指出 ： 「涉及"
