pdf_page,chars,preview
1,459,"抄本 司法院 令 發文日期：中 華 民 國 96 年 6 月 8 日 發文字號：院台大二字第 0960012176 號 公布本院大法官議決釋字第六二六號解釋 附釋字第六二六號解釋 院長 翁 岳 生 司法院釋字第六二六號解釋 解 釋 文 憲法第七條規定，人民在法律上一律平等；第一百"
2,749,"序提起訴訟，對於確定終局裁判所適用之法律或命令發生有牴觸 憲法之疑義者，得聲請解釋憲法，司法院大法官審理案件法第五 條第一項第二款定有明文。系爭「中央警察大學（以下簡稱警大 ）九十一學年度研究所碩士班入學考試招生簡章」為警大就有關 九十一學年度研究所碩士班招生事項，所訂定並對外發"
3,730,"限制，例如不得設立與警政無關之系別，且為確保其達成國家賦 予之政策功能，而應接受比一般大學更多之國家監督，自不待言 。是以入學資格為例，即使法律授權內政部得依其警察政策之特 殊需求，為警大研究所碩士班之招生訂定一定資格標準，警大因 而僅能循此資格標準訂定招生簡章，選取學生，或進一"
4,727,"民教育學校以外之各級各類學校訂定特定之入學資格，排除資格 不符之考生入學就讀，例如系爭招生簡章排除色盲之考生進入警 大就讀，尚不得謂已侵害該考生受憲法保障之受教育權。除非相 關入學資格條件違反憲法第七條人民在法律上一律平等暨第一百 五十九條國民受教育之機會一律平等之規定，而不當限"
5,483,"擔任警察之正當理由。是系爭招生簡章規定排除色盲者之入學資 格，集中有限教育資源於培育適合擔任警察之學生，自難謂與其 所欲達成之目的間欠缺實質關聯。雖在現行制度下，警大畢業之 一般生仍須另行參加警察特考，經考試及格後始取得警察任用資 格而得擔任警察；且其於在校期間不享公費，亦不負有"
6,623,"91039362 號函同意備查之中央警察大學 91 學年度研究 所碩士班招生入學簡章（以下簡稱招生簡章）第 7 點第 2 款及第 8 點第 2 款關於特定之體格檢查設限規定，牴 觸憲法第 7 條、第 2 條及第 23 條疑義，謹依司法院大 法官審理案件法第 5 條第 1 項第 2"
7,612,"並擴張大學自治範疇，導致各級行政法院消極地怠於 行使規範審查權限，懇請 鈞院大法官補充解釋，俾 釐清大學自治與法律保留原則之關係。 三、本件解釋應有拘束最高行政法院 94 年度判字第 01947 號判決與臺北高等行政法院 92 年度訴字第 208 號判決之效力，聲請人得依行政訴訟"
8,603,"檢。其至公立醫院複檢證明者概不受理。並以「辨色 力－色盲」檢查設限而剝奪聲請人就讀法律學研究所 之規定，構成： （一）違反人性尊嚴（ Menschenwuerde ）之尊重與保護： 維護人性尊嚴與尊重人格自由發展，乃自由民 主憲政秩序之核心價值。警察大學是否有充分理 由提出科學方"
9,610,"釋字第 588 號解釋彭鳳至大法官一部協同意見書 參照）。 （二）違反憲法對人民基本權利保障（受教育權、學習 自由權及學生自我實現權）之規定： １、人民為教育權之主體，人民無分性別、年齡、能 力、地域、族群、宗教信仰、政治理念、社經地 位及其他條件、接受教育之機會一律平等。「教 "
10,589,"創造能力……」、「教育之實施，應本有教無類 、因材施教之原則，以人文精神及科學方法，尊 重人性價值，致力開發個人潛能，培養群性，協 助個人追求自我實現。」我國教育基本法第 2 條 第 2 項關於教育目的之規定以及第 3 條之規定， 直接承認了學生的自我實現權。 ３、按凡人民之其他"
11,555,"人受法律學研究所教育權、學習自由權及自我實 現權之剝奪，最高行政法院及臺北高等行政法院 判決所適用之警察大學招生簡章第 7 點第 2 款及 第 8 點第 2 款規定，不僅牴觸教育基本法第 8 條 規定，更有牴觸憲法對人民基本權利保障（受研 究所教育權、學習自由權及學生自我實現權）"
12,579,"權利。尤其是足以剝奪學生受教育權及學習自由 權之處分，更應以法律明定其事由、範圍與效力 ，如以法律授權主管機關發布命令為補充規定時 ，其授權應符合具體明確之原則；不得僅以行政 命令或各校之招生委員會決議即予剝奪，此乃法 律保留原則之基本要求。 ３、遍查教育基本法、大學法及學位授予"
13,538,"基本權相競合（衝突）時，即失其正當性，應加 以限縮。 （四）違反比例原則： １、行政行為倘與憲法第 23 條所要求之目的正當性 、手段必要性、限制妥當性符合，即無乖於比例 ２、警察大學招生簡章訂定體格檢查項目，對於以辨 色力－色盲為由，剝奪聲請人就讀法律學研究所 之規定，其目的之"
14,564,"規定，係對於聲請人就讀警察大學法律學研究所 碩士班入學機會之終身剝奪且嚴重戕害人性尊嚴 ，對基本權之干預強度極為強烈，就比例原則（ 實質合憲性）檢驗操作應採「強烈審查內容（嚴 格審查標準）」，作為違憲審查標準。（司法院 釋字第 584 號解釋許宗力大法官協同意見書、林 子儀大法官"
15,577,"進入法律學研究所之受教育權、學習自由權及自 我實現權，其手段不具合憲性，目的不具合憲性 ，手段與目的之間更無任何合理關聯之合憲性， 顯然違反比例原則，最高行政法院怠於行使規範 審查權限，直接適用警察大學招生簡章第 7 點第 2 款及第 8 點第 2 款的結果，當然對於人民基本 權"
16,555,"件，接受教育之機會一律平等。對於原住民、身 心障礙者及其他弱勢族群之教育，應考慮其自主 性及特殊性，依法令予以特別保障，並扶助其發 展。」第 8 條第 2 項規定：「學生之學習權及受 教育權，國家應予保障。」故本件聲請人之人格 ２、按平等原則是從憲法第 7 條而來，也稱為禁止差 "
17,576,"），對於前揭發展目標有何妨礙？有何具體關聯 性？有何窒礙難行之處？對於社會秩序與公共利 益又有何妨害？是難足以作為剝奪聲請人就讀警 察大學法律學研究所碩士班之理由，衡諸該研究 所價值體系與研究目標與法官、檢察官、檢察事 務官、監獄官、內政部警政署或訴願委員會法制 人員、執業律師等"
18,593,"構辦理體格檢查。……於訓練期間得經司法院或 法務部指定之公立醫院辦理體格複檢，……。二 、本考試體格檢查標準，除依「公務人員考試體 格檢查標準」之規定外，……：（一）……司法 官、檢察事務官各組、……。（二）……監獄官 、……。三、公務人員考試體格檢查標準第三條 第一項規定，應考"
19,567,"學習自由及自我實現之機會，顯然違背憲法第 7 條平等原則、第 159 條受教育機會平等原則以及 前開教育基本法相關規定。退一步而言，本件體 格檢查之程序與判定，已明顯有判斷或裁量違法 或顯然不當之瑕疵，聲請人明是色弱而非色盲 ，然該校卻規避事後接受專業審查，且行政救濟 程序中，事"
20,579,"行政機關於為行政決定時，故意或疏忽漏未斟酌 當事人有利或不利的重要事證，即屬恣意的行為 。招生簡章第 8 點第 2 款【體格檢查（……）以 本校之檢查為準，事後不得辦理複檢。其至公立 醫院複檢證明者概不受理】，明顯屬於公權力之 濫用，違反法治國原則之制約，應接受專業審查 及司法監"
21,602,"服役，可否從事各項作戰任務？是否會誤認目標 ？聲請人服役期間接受各項戰技、射擊訓練及演 習任務，執干戈以衛社稷，表現優異並受勳章表 揚而光榮退伍，此攸關國家存亡與人民福祉之軍 事作戰任務都足堪擔任，依舉重明輕之法理，僅 對於就讀警察大學法律學研究所碩士班修讀碩士 學位卻有如此嚴苛"
22,571,"何重要關聯性與必要性？除警察大學外，遍查我 國所有國立大學法律學研究所（台灣大學法研所 、政治大學法研所、台北大學法研所、清華大學 法研所、交通大學法研所、成功大學法研所、中 正大學法研所、高雄大學法研所、海洋大學法研 所、國防大學法研所等），甚至台北大學或中正 大學犯罪學研究所"
23,615,"用釋字第 563 號解釋作為判決理由，略以大學自治 之事項，即屬學術自由之事項，包含研究自由、教 學自由及學習自由等事項，除法律別有明文規定外 ，應任諸大學自由決定，在此自由決定之自治範圍 內，並無法律保留原則之適用。……又教學自由之 範疇為大學自治之事項，惟屬教學自由本質上之需"
24,616,"２、釋字第 563 號解釋指出：碩士學位之頒授依學位授 予法第 6 條第 1 項規定，應於研究生「完成碩士學 位應修課程，提出論文，經碩士學位考試委員會考 試通過」後，始得為之，此乃國家本於對大學之監 督所為學位授予之基本規定。大學自治既受憲法制 度性保障，則大學為確保學位之授予"
25,492,"格之保護密度與射程不足，尤其本件警察大學招生 簡章第 7 點第 2 款及第 8 點第 2 款，係以歧視人的 生理缺陷（辨色力－色盲）戕害人性尊嚴為手段， 肆、關係文件之名稱及件數 附件一、最高行政法院 94 年度判字第 01947 號判決影本 乙份。 附件二、臺北高等行政法院 9"
26,560,"聲 請 人：鄭 ○ 中 華 民 國 95 年 2 月 28 日 （附件一） 最高行政法院判決 94 年度判字第 01947 號 上 訴 人 鄭 ○ 中 被 上 訴 人 中央警察大學 代 表 人 蔡 德 輝 上列當事人間因考試事件，上訴人對於中華民國 93 年 6 月 30 日 臺"
27,712,"反法律保留原則及授權明確性原則，並逾越大學自治範疇。 今遍查大學法及大學法施行細則規範意旨，均無針對以體格 檢查作為剝奪或限制入學修讀學士、碩士、博士學位之規定 ，就大學法規定作整體觀察，亦無法得出立法者有授權之意 旨。又公務人員考試法、警察教育條例第 5 條、特種考試警 察人員"
28,712,"法保障受教育權利侵害較小之方法足資採用，竟選擇侵害最 大之歧視方法，顯然違反比例原則。被上訴人就色盲鏡暨色 蓋排列檢查係對色盲、色弱之色覺異常分類或對顏色錯認程 度之進一步精密檢查儀器，亦予自認。是被上訴人之判定不 論歸類為行政裁量權或認屬判斷餘地，皆存有裁量瑕疵或判 斷瑕疵之違"
29,731,"點第 2 款中規定，複試項目包括體檢，複試日期為 91 年 8 月 5 日。依招生簡章第 8 點第 2 款規定「以本校之檢查為準 ，事後不得辦理複檢。其至公立醫院複檢證明者概不受理。 」體格檢查結果係以 91 年 8 月 5 日之上訴人之檢查結果為 準。在報請內政部核定後，被上訴"
30,750,"以學生有受教育權或學習權之存在，認在此範圍內有法律保 留原則之適用，致失憲法對於大學自治設為制度性保障之規 範價值。依中央警察大學組織條例第 2 條、大學法第 2 條 第 2 項、同條第 4 項、大學法施行細則第 18 條規定，被上 訴人自得基於以研究高深警察學術，培養警察專門人"
31,737,"按，依被上訴人 91 學年度研究所碩士班入學招生簡章第 7 點第 2 款中規定，複試項目包括體檢，複試日期為 91 年 8 月 5 日；第 8 點第 2 款規定「以本校之檢查為準，事後不得 辦理複檢。其至公立醫院複檢證明者概不受理。」故體格檢 查結果，係以 91 年 8 月 5 "
32,708,"並僅以國立臺灣大學醫學院附設醫院診斷書，即要求被上訴 人另為判定，顯與被上訴人 91 學年度研究所碩士班入學招 生簡章規定程序不符，是被上訴人核定上訴人體檢不合格， 五、本院經核原判決於法並無違誤。上訴意旨仍執前詞並主張略 以：上訴人究為色弱或色盲，涉及醫學上眼科專門知識所得 之"
33,716,"法規、違反證據法則、違反經驗法則等違法。又原審法院已 知悉「石原氏色覺檢查簿」與「色盲鏡暨色蓋排列檢查」屬 於辨色力之檢驗方法，又明知前者只能初步判定，而後者係 對於色盲、色弱色覺異常分類或對於顏色錯認程度之進一步 精密檢查，惟原審法院對此重要攻擊方法，卻消極地規避審 查，亦未於"
34,715,"央警察大學……隸屬內政部，以研 究高深警察學術，培養警 察專門人才為宗旨，並依大學法有關規定，兼受教育部之指 導。」大學法第 2 條第 2 項規定「凡取得學士學位，或具 有同等學力，經大學碩士班公開招生並錄取者，得入學修讀 學士學位。」同條第 4 項規定「前 3 項之公開招生辦法"
35,231,"未於判決中加以論斷者，惟尚不影響於判決之結果，與所謂 判決不備理由之違法情形不相當。至於上訴人其餘訴稱各節 ，乃上訴人以其對法律上見解之歧異，就原審取捨證據、認 定事實之職權行使，指摘其為不當，均無可採。綜上所述， 上訴意旨指摘原判決違誤，求予廢棄，難認有理由，應予駁 回。據上論"
