pdf_page,chars,preview
1,481,"抄本 司法院令 公布本院大法官議決釋字第六九四號解釋 附釋字第六九四號解釋 院長賴浩敏 司法院釋字第六九四號解釋文 中華民國九十年一月三日修正公布之所得稅法第十七條第一 項第一款第四目規定： 「 按前三條規定計得之個人綜合所得總額， 減除下列免稅額及扣除額後之餘額， 為個人之綜合"
2,748,"等 ， 而係保障人民在法律上地位之實質平等， 要求本質上相同之 事物應為相同之處理， 不得恣意為無正當理由之差別待遇（ 本院 釋 字第五四七號、第五八四號、第五九六號、第六0 五 號 、第六 一四號、 第六四七號、 第六四八號、 第六號解 釋參照） 。 法規 範是否符合平等權保障"
3,755,"十五條後段規定， 人民之老弱殘廢， 無力生活者， 國家應予以適 當之扶助與救濟。國家所採取保障人民生存與生活之扶助措施原 有多端， 所得稅法有關扶養無謀生能力者之免稅額規定， 亦屬其 中之一環。 如因無謀生能力者之年齡限制， 而使納稅義務人無法 減除免稅額， 將影響納稅義務人扶養"
4,263,"與目的之達成尚欠實質關聯， 其差別待遇乃屬恣意， 違反憲法第 七條平等原則。系爭規定有關年齡限制部分， 應自本解釋公布曰 起 ， 至遲於屆滿一年時， 失其效力。 大法官會議主席大法官賴浩敏 大法官蘇永欽 林錫堯 池啟明 李震山 蔡清遊 黃茂榮 陳 敏 葉百修 陳春生 協同意見書 "
5,732,"十歲或滿六十歲以上」為其限制， 違反憲法第七條的平等原則， 應自解釋公布日起， 至遲一年 内 ， 失其效力， 本席敬表贊同， 僅 簡單補充贊同的理由如下。 一 、 建立基本權保障原則的審查標準 本院對法令的違憲審查， 其性質為以特定憲法規範與法 律或命令的 内 容兩相比對， 檢視"
6,727,"則 ， 特別是對先例的尊重， 通過逐案的積累建立基本權的案 例 法 ， 以確保違憲審查最低的可預見性。 二 、 有關平等原則曾採用的審查標準 本號解釋是以平等原則來審查所得稅法的免稅額規定， 本院對於憲法第七條宣示的平等原則， 向來都是從實質而非 形式的理解出發， 所謂的實質平等"
7,806,"解釋參考引進了德國憲法院用在職業自由 ( Bemfsfreiheit ) 時的比例原則操作， 將其限制的對象依德國基本法第十二條 先二分為職業 内 容和職業選擇， 後者再區分主觀條件和客觀 條件的限制， 隨之進行三階由寬而嚴的審查， 在該號解釋另 為平等原則的審查時， 尚未比照建"
8,690,"院之另一合議庭管轄羈押救濟程序， 其在訴訟救濟功能上均 由職司獨立審判之法院為之， 實質差異亦甚為有限， 故無採 取較嚴格審查之必要。」至於有關科處行政罰事項， 本院釋 字第六號解釋理由書又認為「 如因處罰對象之取捨， 而 形成差別待遇者， 須與立法目的間具有實質關聯， 始與平等"
9,713,"權 ， 對於平等原則的審查才認為可有不同的考量。 所得稅法 中有關免稅額的規定， 若按一般租稅理論， 本有調和納稅義 務和生存權保障的意旨， 即在扣除納稅義務人一定生活所需 範圍後， 始為所得稅的合理起徵點， 其中確已寓有量能課稅、 反映負擔能力之意（ 可參看本席在釋字第六九三號"
10,725,"稅義務人扶養滿二十歲而未滿六十歲無謀生能力者之意願， 進而影響此等弱勢者生存或生活上之維持。」生存權的司法 審 查 ， 因其課以國家作為義務的性質而不同於防衛性權利， 本來就很難比照「 過度禁止」的方式建立所謂「 不足禁止」 的審查一最低要求因涉國家財政能力的保留而不易劃定一， "
