pdf_page,chars,preview
1,510,"釋字第六九六號解釋 部分不同意見書 大法官 蔡清遊 本號解釋關於所得稅法第十五條第一項有關夫妻非薪資 所得強制合併計算規定部分，多數意見認為： 「中華民國七十 八年十二月三十日修正公布之所得稅法第十五條第一項規 1 定： 『納稅義務人之配偶，及合於第十七條規定得申報減除扶 養親屬"
2,576,"於第十七條規定得申報減除扶養親屬免稅額之受扶養親屬 ， 有 前條各類所得者，應由納稅義務人合併報繳。」 （下稱系爭規 定） 就夫妻非薪資所得強制合併計算規定部分 ， 違背憲法第七 條平等原則 ， 顯係延續本院釋字第三一八號解釋上述 「與租稅 公平原則不符」之意旨。 惟釋字第三一八"
3,704,"1 法第十五條規定 （下稱舊所得稅法第十五條）而言。蓋舊所 得稅法第十五條並無如七十八年十 二月三十日修正公布之所 得稅法第十五條增訂第二項前段「納稅義務人之配偶得就其薪 資所得分開計算稅額，由納稅義務人合併報繳」 之規定。換言 2 1 之 ， 釋字第三一八號解釋係針對包括夫妻就"
4,826,"1 、 82 年度 (1) 標準扣除額、薪資所得特別扣除額及殘障特別扣除額之調整，採物價指數 連動法計算調整。 (2) 年滿 70 歲受納稅義務人扶養者之免稅額增加 50 ％。 (3) 擴大殘障特別扣除額之適用範圍 ， 同時將扣除額度由 4.5 萬元提高為 6.3 萬 元。 (4"
5,655,"二、適用系爭規定之結果，夫妻非薪資所得應由納稅義務人 及其配偶合併計算所得稅額，對納稅義務人並非必然不 利，亦可能有利或毫無影響 參照財政部一００年五月三十日台財稅字第一００００ 一九０八一０號函所示 「依九十七年度綜合所得稅統計資料， 有配偶申報戶中，毋需繳納所得稅者占該等申報"
6,619,"對納稅義務人不利 ， 割裂認為此部分有違租稅公平原則 ， 宣告 此部分為違憲（而非宣告系爭規定條文本身其中一部份之規定 為違憲）。 三、平等原則之審查應建立在相同事物之比較基礎上 誠如本號解釋理由書所引本院歷來多號解釋意旨 ， 認為憲 法第七條所揭示之平等原則 ， 係保障人民在法"
7,603,"婚後 ， 採以家庭為課稅單位之合併計稅制 。 且在現行夫妻所得 合併申報課稅制度下 ， 只要納稅義務人 、 配偶合併申報之綜合 所得淨額相同之家庭 ， 均應負擔相同之所得稅負 ， 並未因人而 7 異。而夫妻合併計算所得稅額，適用累進稅率，使高所得之家 庭負擔較高之所得稅負擔 ， "
8,661,"與家庭不利之差別待遇手段 。 因而認為有關夫妻非薪資所得強 制合併計算，較之單獨計算稅額，增加其稅負部分，與上述立 法目的之達成欠缺實質關聯。惟本席以為，上開解釋理由所 8 述 ， 其中縱有產生家計單位之節省效果 ， 並非得為加重課徵所 得稅之正當理由 ， 此乃立法目的不正當之問"
9,654,"分之經濟及消費單位 ， 兩者立法意旨不同 ， 制度設計亦有所差 異 ， 且分別計算制如配合採用合併申報方式 （夫妻之所得在一 張申報書各自分開計算），夫、妻應各自為納稅義務人或應分 別以夫或妻為納稅義務人 、 繳款書之送達效力 、 稽徵機關後續 核定發單對象 、 短漏報所得之裁罰"
10,649,"五、夫妻之所得應採取何種稅制，考量之因素甚多，宜高度 尊重立法裁量 誠如吳庚 、 張承韜兩位前大法官在釋字第三一八號解釋所 提不同意見書所述「關於夫妻（或其他共同生活之家屬），如 何申報課稅，各國稅法所採之方式有：單純合併制、單獨制、 多組稅率制、折半計算制、薪資分離其餘所得合併"
11,400,"制之複雜 、 嚴重增加稽徵成本 、 高所得者將大幅減稅是否符合 量能課稅及租稅公平原則，均值探討。凡此，實應高度尊重代 表民意之立法機關於慎思熟慮後所裁量決定之稅制。 六、本號解釋所造成對我國所得稅制影響甚大，主管機關於 將來稅制改革時，應避免對原本已低所得之納稅義務人 作較為不"
