pdf_page,chars,preview
1,617,"蔡○雪釋憲聲請書 （ 98 10 28 主 旨 ： 茲因聲請人業經臺北高等行政法院於民國 0 97 0 2 月 96 請人復向最高行政法院上訴，業經最高行政法院於 民國 確定，依司法院大法官審理案件法第五條第一項第 二款聲請解釋憲法。 說 明： 一、按人民、法人或政黨於其憲法上所"
2,589,"條及財政部 號、財政部 釋，未慮及事實上長期分居而未共同生活之夫妻， 對於他方財務及收入所得狀況難以知悉，暨若 合併 計算所得徵收所得稅，因累進稅率之適用，將造成 所得明顯較低之一方須繳納與其所得顯不相當，而 與單獨計算之稅額較高之稅額 ， 上開所得稅法第 15 條及財政部 號、"
3,616,"依財政部 3 3347 釋及財政部 釋，仍將夫妻所得合併計算，依其總額適用累進稅 率，計算應納總額後，再按夫妻個人所得總額占夫 妻所得總額比率計算，減除其以扣繳及自繳稅款 後，分別發單補徵，上開對因婚姻破綻而事實上長 期分居夫妻所得稅額之計算方式，仍將夫妻各自所 得合併計算，依其"
4,604,"解釋在案。上開釋字之解釋文即闡明如納稅義務人 與有所得之配偶及其他受扶養親屬合併計算稅額， 較之單獨計算稅額，增加其稅負者，即與租稅公平 原則有所不符，本號解釋認對共營婚姻生活之夫妻 若合併計算稅額，較之單獨計算稅額，增加其稅負 者，於租稅公平原則有所不符，主管機關仍宜隨時 斟酌"
5,629,"繼承人未同居共財，繼承人對被繼承人之財務狀況 無法知悉之或然率必然較高，故規定倘繼承人於繼 承開始時無法知悉繼承債務之存在，致未能於修正 施行前之法定期間為限定或拋棄繼承，且由其繼續 履行繼承債務顯失公平者，以所得遺產為限，負清 償責任。於人民之私法上繼承法律關係，立法者尚 且考"
6,419,"決 附件五 ： 最高行政法院 謹 呈 司法院大法官 聲請人：蔡○雪 中 華 民 國 （附件四） 臺北高等行政法院判決 96 原 告 蔡○雪（住略） 訴訟代理人 林富村 律師 複代理 陳雅珍 律師 被 告 財政部臺北市國稅局 代 表 人 凌忠嫄（局長） 訴訟代理人 朱文和 上列當事"
7,614,"4,996 48,883,128 補徵應納稅額 9,080,900 原告主張分居事實，被告乃依財政部 財稅第 體，並依應納稅額之比例分別發單 541,598 請復查，經被告 0960216570 不服，就應補稅額部分向財政部提起訴願，遭決定駁回 後，遂向本院提起本件行政訴訟。 二"
8,594,"自或輾轉告知原告其下落，且無任何管道據以 查知前夫任何訊息，合先敘明。 2. 信賴保護與基本生活保障： 原告既已依法完成本身 稅之申報繳納，且業經被告核定在案，原告自 當無未繳之稅額。而前夫所漏報繳之稅，由財 政部臺灣省南區國稅局（下稱南區國稅局）核 定 雖經被告分單計稅，然累進"
9,554,"扣除額） ，被告核定之應繳稅額竟 累進為 原來應繳稅額之 702,722 461,124 4.4 ） ，原告深感不服，亦與 量能課稅原則顯然有違。 (2) 本件被告於向原告及其前夫分別開單補 徵時，應以雙方如分別計算時之稅率分別 計算各自之應納稅額，自較接近雙方依其 各自所得額計"
10,573,"酌相關法律及社會經濟情況，檢討改進。」 5. 又按最高行政法院 1560 理由： 「按納稅義務人之配偶及合於第 定得申報減除扶養親屬寬減額之受扶養親屬， 有前條各類所得者，應由納稅義務人合併報 繳 ， 為行為時所得稅法第 15 夫妻分居時，其所得稅如何分擔，所得稅法並 未規定，財"
11,570,"原告稅額 ， 自有違誤 ， 一再訴願決定遞予維持 ， 亦嫌速斷，應將原處分及一再訴願決定均予撤 銷，由被告重行審酌後，另為適法之處分，以 昭折服。」故該應納稅額之比例計算顯應慮及 雙方稅率差異問題，而非僅依所得總額之比例 分配該應納稅額，如此方能符合稅法上「量能 課稅」與「租稅公"
12,604,"居，分別向其戶籍所在地稽徵機關辦理結算申 報，其歸戶合併後全部應納稅額，如經申請分 別開單者，准按個人所得總額占夫妻所得總額 比率計算，減除其已扣繳及自繳稅款後，分別 發單補徵。」經財政部 第 2. 原告 偶其他所得，經法務部調查局臺南市調查站查 獲其配偶 元，乃通報被告審理，併"
13,579,"題，致原告須負擔較之單獨計算原應納之稅額 超出甚多之稅負，依司法院 82 字第 云。 4. 查首揭財政部函釋意旨，係屬基於分居狀態之 納稅義務人，有難以即時合併申報之現實情 況，而予規定僅在一定條件之作為下，得暫就 個人之所得資料先行報繳， 已；該函釋係財政部基於職權，為執行所得"
14,630,"移送法務部行政執行署臺北行政執行處執行， 有相關公示送達證書等影本計 是 黃 君 17,649,323 6. 至其他有關人員漏報收入案件，如黃○ 郎、林 ○慶經高雄高等行政法院判決駁回原告之訴 （該院 決）﹔黃○明胞弟黃○禎就被告之核定則未申 請復查。就原告提出之協議書、亦慶公司"
15,619,"元，雖經分單依個人所得總額占 核定，但因此原告卻被認定之所得稅額為 已達原告綜 合所得總額 （未扣除利 息及所有扣除額） ， 與量能課稅原則顯然有違 ， 為此訴請 如聲明所示云。 三、被告則以：原告於系爭 89 人，故被告將其與其分居配偶之綜合所得稅總額合併計 算，並依所得比例分"
16,611,"（一）查有關原告前配偶黃○明於系爭年度是否有其他 所得 本件爭執，蓋黃○明系爭年度綜合所得稅核定通 知書及稅額繳款書 ， 業經被告於 94 12 21 以公示送達，未據黃○明提起行政救濟，此有公 示送達證書等在本院卷頁 雖曾對於系爭其他所 得表示不服，申請復查（見 原告復查申請理"
17,573,"分修正，主管機關仍宜隨時斟酌相關法律及社會 經濟情況，就其免稅額及扣除額等規定，通盤檢 討改進。」並未宣告合併申報課稅之相關規定為 違憲；且誠如吳庚及張承韜 意見書所述 ： 「……實則對 於夫妻申報所得稅 ， 在 手續上無論分別或合併申報，查本不生所謂違憲 問題，重要者乃申報後如"
18,494,"七、綜上所述，原告之主張，為無可採，原處分認事用法， 尚無違誤，訴願決定遞予維持，亦無不合，原告猶執前 詞，訴請撤銷，於法無據，應予駁回。 據 上論結 ， 本件原告之訴為無理由 ， 爰依行政訴訟法第 98 第 中 華 民 國 （附件五） 最高行政法院裁定 97 上 訴 人 蔡○雪"
