pdf_page,chars,preview
1,538,"釋字第六九六號解釋部分不同意見書 大法官 蘇永欽 本件解釋以中華民國七十八年十二月三十日修正公布 的所得稅法第十五條第一項（下稱系爭規定）有關夫妻合併 報繳個人綜合所得稅的規定，其中強制合併計算稅額造成稅 負比單獨計算稅額增加部分，違反憲法第七條的平等原則， 並以財政部七十六年三"
2,648,"財政學上對於稅制的評價有深入的討論，主要考量的無 非是稅負公平、租稅中立、經濟調適性和稽徵效率（包括程 序的簡便、防制逃漏的成本等），每個國家依其社經和歷史 條件各有其選擇，隨著社會變遷而變更選擇，沒有放諸四海 皆準、俟諸百世不惑的制度。惟稅制涉及國家凡百施政所需 的動能，其變革"
3,610,"效率明顯較高。因此在家庭制度全面衰退之前，此制的優勢 始終存在。 其次，以個人為課稅單位，分別申報分別計算，比起家 計制少了多數債務人的複雜問題，是其優點，最明顯優於家 計制的好處，則是可根本避免累進稅率造成的、進入婚姻後 可能立即發生的稅負加重問題，而受到懲罰婚姻的質疑。這 一"
4,622,"擇家計制，但 A 家庭面對總收入相同而同採個人制的 C 家 庭，仍然稅負較重 （ C 家庭夫妻收入差距更小），甲面對薪資 相同但單身的乙，仍可能因累進而稅負較重。更不要說開放 選擇在稽徵行政上造成的重大負擔 ─ 多套程序、多套查核， 所得稅以外的其他稅制多未開放多重選擇，其故在此"
5,470,"是從「量」的角度作整體的拉平，而是依所得性質從「質」 的角度去更細緻的處理公平問題。最常見的，就是把勞務所 得（薪資）開放分別計算，可以說是某種家計和個人混合的 稅制。對絕大多數家庭而言，財產所得的發生或大幅增長都 是在家庭成立的後期，也就是在薪資所得應付生活所需綽有 餘裕以後，"
6,653,"※各國個人所得稅課稅單位比較表 家計（財產所得） / 家計 / 個人（薪資所得）混 個人 ( 原型或折半乘二制 ) 個人任選制 合制 法國 美國 日本 義大利 瑞士 德國 韓國 冰島 盧森堡 挪威 英國 比利時 葡萄牙 西班牙 新加坡 中華民國 馬爾他 愛爾蘭 中國大陸 資料來源"
7,670,"對於已經確定牴觸憲法最低要求的規定仍要容忍，而毋寧是 對於價值與利益的權衡，考量社會變遷下制度效果的不確定 而為多數決部門保留較大的調適空間。 以所得稅制的多樣性而言，即儘量不直接或間接的排除 某種制度的選擇，而只是通過內容的審查，讓立法行政部門 更積極的去朝符合憲法價值的方向進"
8,636,"一律強制合併計算稅額）因「合併計算稅額，較之單獨計算 稅額，增加其稅負者，即與租稅公平原則有所不符」後，對 於解釋時（民國八十二年）已經將薪資所得部分開放選擇的 修正內容（民國七十八年），則只進一步要求：「主管機關仍 宜隨時斟酌相關法律及社會經濟情況，就其免稅額及扣除額 等規定，"
9,641,"人單獨課稅作比較，但據以審查的基礎 ─ 租稅公平，顯然不 是建立在個人稅負的同一，而是家計實質納稅能力的相當 上，從而已婚未婚者之間縱仍有稅負的不同，只要可以適當 反映「不同家計」納稅能力的實質差異，即無不公平可言。 唯其如此，才會把家庭家計特有的免稅額、扣除額當成平衡 其與單身"
10,573,"違租稅公平的要求，應該正是本案受理解釋可以重為審查的 重點。 三、 本件解釋在論證方法上大有商榷餘地 非常可惜的是，相對於釋字第三一八號解釋在分權上的 審慎拿捏，本件解釋雖逐字援引該號解釋，未作明確變更或 補充，但顯然已把該解釋從實質的、量能意義的平等，所理 解的租稅公平，扭曲為"
11,651,"一如釋字第六四九號解釋所處理的身心障礙者保護法，禁止 非視障者經營按摩業，或釋字第六九四號解釋，對扶養親屬 為二十歲到六十歲者，不得減除免稅額，都是直接就一定的 生理狀態或年齡，使其得到不同的法律待遇。因此當採家計 制的所得稅法，並未因各家計的婚姻狀態而規定不同稅率 時，當然不能"
12,652,"西元一九五七年德國憲法院認定非薪資所得合併報 繳的規定違憲（ BVerfGE6, 55f. ），其論證就是從基本法並不 排除家計制出發，這使得該判決必須用不少篇幅去回顧其所 得稅法的發展，確認所審查的個人所得稅制已經從早期的家 計制蛻變為個人制，從而強調其累進稅率的設計正是以個別"
13,646,"考量稽徵成本與財稅收入等因素」，然後逐一審查該差別待 遇與前開目的實質關聯，最後推出欠缺實質關聯的結論。 整套推論其實都是自說自話 ， 把財政部說明「為何採家計制」 的理由 ， 當成 「為何對已婚者差別待遇」 的理由 ， 牽強附會， 如何讓人信服？ 消極差別待遇的違憲審查，需要建"
