pdf_page,chars,preview
1,2074,"釋字第七0 九號解釋協同暨部分不同意見書 之規定， 劃定前排四十戶為都市更新單元（ 下稱「 都更單元」 ） 4 ， 擬具都市更新事業概要（ 下 稱 「 事業概要」 ） 5， 報經新北市政府 大法官湯德宗提出 以九十二年三月二十八曰北府城更字第0 九二〇二四一五九 本件聲請人陳〇 "
2,1853,"十四年三月二十八曰以北府城更字第〇九四〇—五三四七五一 等行政法院九十八年度訴字第二四六七號判決、 最高行政法院一 號公告， 核定自九十四年四月十一日發布實施。 聲請人不服9， 經 〇〇年度判字第二〇九二號判決及同院一〇〇年度判字第二〇 訴願10、 行政訴訟11未獲救濟， 爰依大"
3,2210,"率 ） 20。 之 ） 申請核定公告實施之「 同意比率」規 定 ， 按 「 憲法上正當法 都更條例採取私人（ 以權利變換方式 ） 主導實施都市更新的 律程序」， 應 屬 「 違憲」 。 爰提出協同暨部分不同意見書如后。 設 計 ， 各界不乏「 縱容財團插旗圈地」 、 「 少數壓制"
4,2677,"示我國憲法上「 正當程序保障」之 内 涵兼指「 程序上正當程序」 量標準」 （a balancing test ) ; 27至 於 「 實質正當」與否 - 系爭法律之 (procedural due proces ) 與 「 實質上正當程序」 （substantive due 内"
5,1909,"二 、多數意見所稱「 憲法要求之正當行政程序」係 指 「 程序 二 項 （ 申請核准「 計晝概要」之同意比率 ） 違憲？！ 31如上失誤 正當」，而 「 同意比率」之 規 定 乃 屬 「 實質正當」， 兩者 實因未能分辨： 所 謂 「 憲法要求之正當行政程序」乃 屬 「 程序正 "
6,2511,"33與 「 比例原則」兩者功能相當， 幾可視為同義語 - 「 逾越必要程 採 取 「 嚴格審查基準」審查時， 始壓縮立法裁量空間， 併檢視系 度」 （ 違反比例原則 ） ， 即 「 有違實質正當」！ 今改以「 比例原則」 爭規定是否「 限制過少」（ 或 「 涵蓋不足」 ） 。 惟"
7,2477,"於強制搬遷」之 「 居住自由權」 ， 尚非與「 個人自主」（ individual's 四 、防 禦 權 （自由權 ） v . 給 付 權 （ 保護權 ） autonomy ) 密不可分之「 根本的基本權」 （fundamental rights ) 37， 故 另， 自當代德國"
8,2233,"人之侵害， 俾能實現個人自由、 發展人格及維護尊嚴（ 本院釋字 有見地。 反觀本號解釋以「 規定之同意比率太低 . 顯未盡國家 第四0 0 號解釋參照 ） 。又憲法第十條規定人民有居住之自由， 保護人民財產權與居住自由之憲法上義務」為由， 逕自宣告都更 旨在保障人民有選擇其居住處"
9,1949,"(財產權& 居住自由 ） V . 生存權（ 適當生活水準請求權 ） 貳 、申 請 核 定 實 施 「 權 利 變 換 計 晝 」未 有 同 意 比 率 之 規 反對都更者 申請都更者 定 ， 應認違憲 從而凸顯第十條第二項（ 申請核准「 事業概要」之同意比率 ） 的 都更條例第二"
10,1168,"核定之前提， 兩者規範功能具有重要關聯性為由， 將之一併納入 使利害關係人充分獲悉相關資訊， 適 時 「 陳述意見」； 在核定實 審 查 ； 52同理， 第二十九條第一項之「 權利變換計晝」乃第十九 施 「 事業計晝」階 段 ， 應更將相關資訊「 送達」更新單元 内 申請 條第三"
