pdf_page,chars,preview
1,638,"釋字第七０九號解釋部分不同意見書 鄰人的自由意志就像他的呼吸與身體一樣，對我的自由意志 是無關緊要的。雖然我們都是為彼此而生，但我們彼此的支 1 配力量都有各自的功能，否則鄰人的惡即會造成對我的傷 害。這不是上帝的意願，因為上帝不會讓我因他們而遭到不 幸。 羅馬帝國皇帝‧馬可奧理"
2,677,"實力的營利機構周旋，容易致使部分個別住戶之居住自由與 財產權遭到侵犯，國家理應承擔起確保這些社會弱勢族群權 益的責任。 本席不贊同現行法制未區分三種都更的類型，對人民財 產權與住居自由造成三種程度不一的侵犯，同時建築標的是 2 否達到都更的必要性，也應當建立由公權力鑑定的分級制 "
3,754,"標的擁有自由依其意志自由的使用、處分之權利。這是憲法 財產權「制度性保障」（針對立法者所為的財產立法應有的 界限）之表現，即所有權人對財產標的擁有「私使用性」 1 原則。這個財產標的保障 ， 乃是一種所謂的「現狀保障」（Z u standsgarantie）， 不論財產標的現狀的"
4,764,"這個「居住安寧權」，雖然具有防衛權的色彩，不僅 防衛了來自於公權力侵害，對於來自於私權力的侵犯－例如 2 ？ 本席唯一贊成多數意見之處－認定依本條例第十條一 項，許可僅需十分之一住戶的同意，即可以進行都更計畫的 人民受到犯罪行為的侵擾，要求公權力來防衛之。私權力亦 啟動程序為違憲"
5,742,"害，已經侵犯了比例原則。且如果該都更標的尚未達到必須 立刻進行都更的程度時（下文將仔細論及），更足使此項規 定喪失公益性及合憲性也。 為此本號解釋多數意見 （理由書第六段），舉出了 「民主 精神原則」，認為：「…僅均超過十分之一即得提出合法申 請，其規定之同意比率太低，形成同一更"
6,1149,"然不同。 後者是由傳統憲法保障的住居自由（現狀保障之住居自 由）轉換到具有社會權性質的新型住居自由權。此新型自由 3 。故此「不斷改善之生活環境」，成為人權法之一，亦可 4 創設出類似社會權性質的新興人權 ， 將傳統住居自由正式擴 張出另一種新型性質的住居權也。 在都更的法制上，"
7,1077,"應向何方傾斜？其答案已經呼之欲出矣！ （四）都更合憲性的依據—優勢公益的存在 唯一能將上述憲法天秤移向贊成都更的一方，只有靠都 更所追求的優勢公益。惜乎多數解釋並未對此優勢公益與私 5 。依據德國公法界的探討，大 致上已經獲得一種共通的結論：公共利益並不是單純的利益 6 。這些較"
8,826,"值。這才可以導出公共利益超越私人利益的原則。如果公共 7 利益是以數量來判斷，即不免會形成「以大凌小」的問題 。 以一棟住戶的公共利益而論，並不是單純以二分之一以上住 8 。 最明顯的例子便是公益徵收。這裡可賦予公權力強制徵 9 戶的權益，即可侵犯其他少數人住居之權利。故此多數人"
9,957,"但在都更的「強制讓售制度」 ，顯然的便是含有「少數 服從多數」的意味，整個制度的實施卻不似於公益徵收。且 10 。 但這種圖利私人的徵收，也是由政府公權力所進行。公 被徵收的財產標的並非提供公共利益之使用（例如公路、公 10 例如德國著名的公法學者福斯多夫即認為這種屬於「過渡型的"
10,713,"進行都更的主要考量。俗語稱：「殺頭生意有人做、賠本生 意無人幹」，都更的實施者不會費心於公共利益的追求，當 1 可肯定 。 故我國的民辦都更的公益色彩，不無褪色之嫌，且與私 益混雜在一起。這和公辦都更—最明顯的莫過於為都更之目 1 參見陳立夫，我國權利變更方式之都市更新事業制度，"
11,736,"第一：應當區分三種不同都更型態，而異其許可與程序 都更的情形，以及對財產權人權利限制與侵害的程 度、強度與範圍的大小，可以分為維護、整建及重建（本條 1、最輕微侵犯—維護更新：此種更新乃加強原土地使 用與建築管理，以改善公共設施，並保持良好狀況（本條例第四條參照）。以最嚴重的重建"
12,770,"應當提升到絕對多數。至於此絕對多數的比率，則可由立法 者決定之。 3、最嚴重的侵犯－改建更新：已經達到了將原建築物 拆除，重新建築。所有原住戶都必須重新安置；包括同意都 更的原住戶可分配到新的住房、不願都更的原住戶必須遷出 12 ， 12 例如建築法第八十一條規定：「直轄市、縣（"
13,816,"或以徵收的方式為區段徵收。 「黃色等級」則指建築物雖有都更的必要性，但無急迫 13 ，都 可針對個別建築物申請都更，由主管機關以行政處分的方式 之虞，其發動門檻雖可以普通多數，但同意比率必須採高標 准駁之。但本條例卻欠缺對個別建築物的都更必要性予以評 強制拆除之。前項建築物所有人"
14,722,"機關應視實際情況，迅行劃定更新地區，並視實際需要訂定 或變更都市更新計畫：一、因戰爭、地震、火災、水災、風 災或其他重大事變遭受損壞。二、為避免重大災害之發生。 三、為配合中央或地方之重大建設。前項更新地區之劃定或 14 都市更新計畫之擬定、電更，上級主管機關得指定該管直轄 市、"
15,737,"之立論，這亦符合比例原則，凡是在進行都更時，如果有更 和緩的手段，就應當考慮之。例如透過維護可以達成目的 時，即可不必以整建方式達成之；同樣的可透過整建，也不 15 得用重建方式進行之。特別是在最嚴重的「重建」時，已經 涉及到權利的重新分配（權利變換計畫），則應當適用「最 後手段"
