pdf_page,chars,preview
1,495,"陳○鶯等五十二人釋憲聲請書 聲 請 人 陳○鶯、陳○泰、張○文、楊○玉、 劉○獎、曾○平、陳○鋒、陳○華、 陳○選、偕○雅、楊○秀、李○慶、 劉○呈、莊○宛、陳○章、王○業、 黃○森、莊○娟、鄭○文、潘○玉、 杜○山、許○鶴、周○枝、彭○錦、 徐○土、李○祥、吳○華、楊○珠、 吳"
2,609,"都市更新條例各條項 ， 形成 「以眾凌寡」 之 「多數暴力」 ， 並「強取豪奪」少數人賴以 安身立命之土地及建物，猶 如現代之圈地運動，不當侵害聲請人憲法上之財產權及 居住自由權甚鉅，茲有違憲條文如下： 一、第 2 事業計畫報核時……第七條劃定之都市更新地區， 應經更新單元範圍內"
3,609,"唆使公權力以強制力拆屋並徵收私地，假公益之名 行侵害他人財產權、居住自由之實。 上開規定，使實施者得拆除或請求主管機關代 為強制拆除他人之建築物，然行政機關兼有審核更 新計畫及強制執行拆除之過大權限，而非由較中立 客觀之司法權決定強制執行與否。行政機關掌控雙 重權限 ， 顯非合憲"
4,597,"迫同意到底而無法撤回。此種窘境形同要求所有權 人在冒未來不確定內容之一切風險而同意、或斷然 拒絕而只能接受補償金，此二者中擇一了斷，顯然 嚴重違背憲法上保護財產權之意 旨。 四、第 10 會，擬具事業概要……。前項之申請，應經該更新 單元範圍內私有土地及私有合法建築物所有權人 均"
5,625,"產權之不當侵害外，復未考量前因地震而受損即表 明該地帶地震頻繁、地質非屬穩固，同一基地復割 裂更新益增加建築上之風險；且該土地原係共有關 係，依民法規定本應由全體多數決行之，而割裂更 新亦可能減損其經濟效益，嚴重侵害聲請人之財產 權之處分自由。 前揭各條文，侵害聲請人憲法上財產權"
6,642,"意，且經本縣都更會審議通過者，亦得一併辦理更 新」 。又因前揭 90 使用執照 ， 且最初建造時 ， 即屬結構體相連之 90 呈現ㄇ字型之一體建築，宜併入同一更新地區範 圍。惟當初之主導重建者蕭○遙心懷私心，明知無 法主導 剖，以其餘 住戶之部分所有權人成立「土城○○路公寓都市更"
7,588,"0940005093 提起行政訴訟，經臺北高等行政法院以 字第 起上訴，經最高行政法院以 判決（附件五）認同聲請人之主張，將原判決除確 定部分外廢棄 ，發回臺北高等行政法院更為審理。 然此期間，系爭建物遭「土城○○路公寓都市更新 會」及市府動用公權力強行違法拆除。臺北高等行 政法"
8,523,"續狀態行使其自由使用、收益及處分之權 能，並免於遭受公權力或第三人之侵害，俾 能實現個人自由、發展人格及維護尊嚴。」 等語，歷 經貴院釋字第 671 解釋在案。復參釋字第 596 權作為人民所賴以「維繫個人生存之生活資 源」之意義。不動產之價值自古即存，人民 基於此而得安身立命，"
9,559,"二、都市更新條例第 2 、第 10 條、第 2 36 上原則： （一）憲法 第 （二）憲法第 （三）憲法第 （四）正當法律程序。 （五）憲法第 肆、聲請解釋憲法理由及聲請人對本案所持之立場與見解： 一、人民之自由權及財產權之保障為憲法原則，也是民 主法治的立國基本精神，如有侵害之"
10,526,"況，而有退讓之必要。然而，此種人民自由 權 、 財產權之限制 ， 係權利保障原則之例外 。 設計上，必須非常謹慎及嚴格，以避免遭到 濫用，反而失去憲法保障人民自由權、財產 權等原意。故我國憲法在第 的限制規定，但也嚴格其條件為「為防止妨 礙他人自由、避免緊急危難、維持社會秩序 或"
11,502,"對擁有之房屋，濫用警察公權力將之拆除。 且放任私人之更新會，以違法違憲方式將聲 請人等八人之房屋所有權，以低價購徵 收。造成市政府縱容更新會以三十二人之違 法多數決，就「以大吃小」將聲請人之房地 所有權「吃掉」 ，北市府放任更新會等私人 「強取豪奪」聲請人八人之財產，難道臺灣 沒"
12,473,"（一）第 1. 該項規定： 「實施者擬定或變更都市更新 事業計畫報核時，其屬依第十條規定申請 獲准實施都市更新事業者，除依第七條劃 定之都市更新地區，應經更新單元範圍內 私有土地及私有合法建築物所有權人均 超過二分之一，並其所有土地總面積及合 法建築物總樓地板面積均超過二分之一 "
13,468,"都市發展 。 是以 ， 都更條例第 2 1 之公益。惟按都更條例第 1 規定，其目的有四：第一，就「促進 都市土地有計畫之再開發利用」而 言，應係達成目的所採取之手段，而 非屬目的；且就第二點之「復甦都市 機能」而言，其客體為都市，與憲法 第 的之法律明確性亦屬不足。故此，前 二"
14,457,"手段 ， 應確實得以貫徹都更條例第 2 條第 目的，故其手段可認 具有達成立法目的之有效性。 (3) 然而，都更條例第 符合「最小侵害原則」 ，並非毫無疑 義。按多數決同意的手段多有走向多 數暴力的風險，並無法兼顧全體所有 權人之利益。目前都更條例第 1 少數人之制度，如此對少數"
15,468,"可能犧牲緊密程度較低之不動產所 有權人之利益，而僅片面追求土地有 效利用之利益，顯然不符狹義比例原 則而違反憲法第 之意旨。 3. 平等原則與體系正義之檢驗 (1) 民主國家，其與共產專制國家之不同 點，更重要的在於財產權的絕對保 障，此理念自 第 可侵害之權利」可知其歷史悠久。"
16,445,"有權人之原則而設之例外規定，使其 回復原則狀態，合先敘明。 (2) 按，共有物依民法第 819 第 有人同意始能處分、變更及設定負 擔，上開係共有財產權行使之基本原 則。目前都更條例第 有多數決原則而無相關保護少數人 之制度，如此對少數人甚為不利。復 按，土地法第 動產共有人之間"
17,465,"產所有權之制度設計，然並未謹慎所 有權具有之絕對保障，且未設有少數 人之武器平等機制，使少數人有價格 保障機制及意願尊重機制等抵抗權， 或法院介入裁量之制度設計。該規定 既係犧牲少數人重要之不動產所有 權之存續，自應於此設有相同規範， 以防免少數人之利益受過度之侵害 風險。緣此，"
18,492,"經中央主管機關核准延長六個月，並以二 次為限。但應拆除或遷移之土地改良物為 政府代管或法院強制執行者，實施者應於 拆除或遷移前 ，通知代管機關或執行法院 為必要之處理。」 2. 所有權保障、所有權受保護，即使是少數 人之所有權亦受保障，正是民主國家之象 徵：實則，民主國家中，不論"
19,520,"3. 本項性質為公法上的義務或私法上的義 務？縱認本條有其合憲之限縮解釋空間， 惟都更條例第 36 應先釐清其法律性質究係公法上義務或 私法上義務。都更條例第 對 照以及用語為「代拆」 ，且依前開（一） 多數決之說明，其形同私人之徵收，自應 屬於私法上的義務。既然是私法上義務， "
20,513,"期滿時為準。所有權人不同意公開展覽之 都市更新事業計畫者，得於公開展覽期滿 前，撤銷其同意。但出具同意書與報核時 之都市更新事業計畫權利義務相同者，不 在此限。」 其立法理由略為： 「考量更新案 件操作實務……以維都市更新事業推動 之 安定性，爰增訂第三項。」 2. 安定性之考量"
21,507,"3. 對欲撤回者而言，撤回之限制違反比例原 則：該限制對欲撤回同意者而言，係限制 其不動產財產權之處分自由。然而倘大多 數之已同意者皆欲撤回，表示該實施者之 更新程序處理，顯然與多數人同意時所預 期之利益不符，則謹守程序之安定性對多 數所有權人缺乏意義，僅對建商或實施者 有 利。"
22,501,"民，不僅欠缺專業知識，政府亦未提供專 業法律從業人士以供諮詢。上開規定僅予 短三十日之期限，不僅未考量雙方實力 差距，且於本件聲請人中案例可知，經同 意而未能及時受專業意見協助，可能將導 致受詐欺而被迫 「被分配到惡劣位置」 ， 亦 已於現行法下喪失救濟可能性。顯然該過 短期限之"
23,496,"法財產權保障之意義及功能均屬空談。 （四）第 過低門檻 1. 該條規定 ： 「經劃定應實施更新之地區 ， 其 土地及合法建築物所有權人得就主管機 關劃定之更新單元，或依所定更新單元劃 定基準自行劃定更新單元，舉辦公聽會， 擬具事業概要，連同公聽會紀錄，申請當 地直轄市、縣（市）主"
24,521,"剖 ， 以其餘 40 排 ○○路公寓都市更新會籌備處」 ，故開始 一連串之紛爭。顯見本條僅以所有權人、 土地、建物面積達 1/10 ，即得組織更新團 體，亦遭少數有心人操縱，進而造成更新 單元內部之分裂 、 對立 ， 以謀取個人私利 ， 甚至使整體更新過程爭議不斷。 3. 被迫劃"
25,499,"於行政行為，無論其為法規命令、行政處 分或其他行政行為，其內容應符合實質正 當程序，其決定並應符合程序上之正當程 序。本條僅要求進行公聽會程序，惟公聽 會程序欠缺行政法上聽證程序之嚴格要 求，就都市更新此一涉及人民不動產財產 權之重大處分，不僅保護不足，且由私人 舉辦公聽會更欠缺"
26,508,"院於第一次判決發回意旨明白指摘，後排 50 明，且攸關被上訴人核准前排 可以適用都市更新條例第 1 單獨辦理重建之處分，是否有違誤（附件 四，第 37 同一建築基地內，分幢單獨辦理之合法性 已有疑義。然本案發生後，本法另為修正 為數棟亦可單獨辦理更新，惟此疑義更 增。 3. 本法"
27,500,"考究可知 ， 九二一震災重建暫行條例第 條並未慮及同一建築基地之安全性及經 濟性之考量，惟本件系爭都市更新條例第 2 市更新之可能性，目的為促進因地震等因 素而受損壞建築物之迅速更新。就其目的 所能達成之利益來看，都更條例第 及私有合法建築物所有權人均超過二分 之一，並其所有土地"
28,527,"增加其危險性。就此觀之，容許同一建築 基地上之數幢或數棟建築割裂更新，所能 提升之促進更新利益有限，卻導致 割裂更 新而新增建築之風險且喪失一體利用土 地之利益，其追求之目的與侵害之利益相 較之下顯失均衡，違反狹義之比例原則， 而屬違憲侵害財產權。 謹 狀 附件一：最高行政法院 "
29,376,"代理人：鄭文龍 律師 中 華 民 國 （附件一） 最高行政法院判決 100 上 訴 人 陳○鶯、陳○泰、張○文、楊○玉、 劉○獎、曾○平、陳○鋒、陳○華、 陳○選、偕○雅、楊○秀、李○慶、 劉○呈、莊○宛、陳○章、王○業（原名： 王○一） 、黃○森、莊○娟、鄭○文、 潘○玉、杜○"
30,706,"訴訟代理人 蔡進良 律師 上列當事人間都市更新事件，上訴人對於中華民國 月 提起上訴，本院判決如下： 一、位於臺北縣土城市（改制後為新北市土城區，下同）○ ○段○○小段○○號土地 ， 建有 5 （即○○○○） ，為民國 91 331 中臺北縣土城市○○路○段○至○號○至○樓計 及"
