pdf_page,chars,preview
1,639,"釋字第釋字第釋字第釋字第七００００九號解釋協同意見書號解釋協同意見書號解釋協同意見書號解釋協同意見書 大法官 陳春生 前言： 本件乃就都市更新條例（以下簡稱都更條例）系爭規定 合憲爭議問題所為之解釋。 本號解釋認為，系爭都更條例第十條第一項，有關於核 准都市更新事業概要階段，未設"
2,663,"管機關必須於作成決定前，廣泛賦予其對公益與各種私益為 比較衡量權限，因此行政機關之決定有較大的形成自由。但 另一方面，對於行政計畫之控制，必須使計畫確定程序明確 化，同時導入人民積極參與程序，以監督行政是否遵循計畫 確定程序，此亦適用於都市更新之實施程序。本件重點即在 於公權力如"
3,737,"共事務，若基於引入民間活力之政策考量，國家仍須為必要 產之存續狀態行使其自由使用、收益 及處分 之權能， 並免於遭受公權力或第三人之侵害，俾能實現個人自 惟本號解釋並未具體地指出，於實施都更 之監督及負有保護人民自由、權利之憲法上義務（肆）等議 過程中，當事人其財產權於存續狀態中"
4,561,"益之權能，於都更完成前一定時段， 「暫時」予以凍 結，惟此暫時之期間，是否因毫無限制，以致於實質 上可能構成存續狀態（如都更之實現遙無期）依社 會觀念已不存在，而成為財產權之限制？長期以觀， 依目前都更之實際情況觀察，若能完成都更，當事人 之土地建物之價值，不僅未必減少，依現在社"
5,804,"三、一般行為自由 本件原因案件之當事人乃「欲維持財產權現 狀 」 ，而不欲參與都更行為。此時似不須問其動機為 何，此正如同釋字第六八九號解釋理由書所宣示： 「基 。 四、適足居住權 本號解釋亦可能從經濟社會文化權利國際公約 於人性尊嚴之理念，個人主體性及人格之自由發展， 第十一條"
6,590,"會於一九七年所公布之第七號一般性意見： 「適足 居住權中，所有人均有免遭強迫驅逐之權」 。惟基於 公約在本院釋憲過程其地位是否得作為宣告審查客 體違憲之根據，不無疑問。另一方面，經濟社會文化 權利國際公約第十一條指出，人有權享受不斷改善 生活環境之權云，此似從主張都更者之權利出發"
7,698,"推適用憲法第八條、或各該基本權利內含正當程序保 。 二、以正當行政程序作為憲法解釋原則之依據 （一）雖然行政程序法對正當法律程序效力之定位，從 同法第一百七十四條及第一百零八條第一項之 障，或可適用憲法第二十二條，惟本院解釋已將正當 與行政 法院法第四十四 a 條之規定而訂定 ，"
8,770,"規定外，並應斟酌全部聽證之結果。但法規明定 從該條 後段但書之規定為反面解釋，則除非「法規明定 。 惟行政機關若依行政程序法第一百零八條 第一項規定，作成與聽證結果不一致之處分，所 應依聽證紀錄作成處分者，從其規定。」 應依聽證紀錄作成處分」 ，否則行政機關未必均 Selbstz"
9,562,"違反正當行政程序之效力 — 違憲情況 本院釋字第六三號解釋乃關於行政程序 上之送達，其理由書第三段指出： 「惟基於法治 律程序 ，諸如作成處分應經機關內部組成立場公 正之委員會決議，委員會之組成由機關首長指定 立相關制度為妥善之保障 。」本號解釋就關於受 憲法保障之基本權利之正當"
10,579,"程序之義務 。建構程序基本權概念，可去除程序 功能只是實體基本權利之附隨地位之迷思。 1. 本院釋字第六一０號解釋理由書第一段指出： 「憲法第十六條所定人民之訴訟權，乃人民於 方得 以充分實現。」 2. 釋字第六七號解釋理由書亦指出： 「人民之訴 其權利遭受侵害時得請求司法救濟之"
