pdf_page,chars,preview
1,438,"本 釋憲聲請書. 聲請人： 羅家基 吳守成 張范儀方 孟胡少英 - . 至立禮 耿李靜貞 陳雲 常學光 宋宇剛 王華友 黎熾光 林尤秀欽 陳義萍 兹依司法院大法官審理案件法第3 條 第 1項第2款及第8 條 第 1項之規定， 聲請解釋憲法， 並將有關事項敘明如下： 壹 、 聲請解"
2,1032,"防部所屬總政治作戰局依行為時（ 即90年 10月31日修正版） 國軍老舊眷村改建條例相關規定辦理眷村改建事宜， 並作成 92年 11月 2 5 日勁勢字第0920014643號公告， 於 92年 12 月 5 日召開高雄市自治新村改建基地法定說明會， 以原眷戶 同 意 參與改建者"
3,935,"棄， 發回臺北高等行政法院更為審理， 臺北高等行政法院102 年9 月25曰以100年度訴更一字第200號判決（ 附件三） 聲請 人敗訴， 聲請人仍不服， 提起上訴， 復經最高行政法院103 年2 月 13日以103年度判字第68號判決（ 附件四） 驳 回上訴， 全案乃告終局確定"
4,977,"號解釋 意 旨， 認為特別犧牲之判斷標準， 在於財產權侵害之 嚴重性是否妨礙其自由收益和安全。 釋字第564號解釋則強 調比例原則為衡量特別犧牲之主要判斷標準， 佐以政府對於 受侵害之財產權人有無提供不同形式之優惠， 來判斷財產權 侵害之、 輊 重 。因此， 憲法保障人民之財產權"
5,929,"止妨礙的他人自由」 、 『 所欲避免的緊急危難』 、 『 所欲維持的 社會秩序』或 『 所欲增進的公共利益』的相對重要性， 該規 範對於所擬達成的目的可以提供的貢獻或功能， 以及該規範 對憲法上權利所造成限制或影響的程度等。 在權衡與平衡此 等因素之後， 憲法解釋者應進一步考量客"
6,906,"缺 席 。 故系爭規定與增進公共利益之實質關連性是否存在， 洵堪質疑。 (五） 《 經濟社會文化權利國際公約》第 11.1條 ， 與第4 號一般性 意 見書（ 附件六） 第 8 點中， 均提及住屋之文化的適當性： 「 住 房的建造方式、 所用的建築材料和支持住房的政策必須能恰 當"
7,950,"制財產權， 於我國法律體系中， 可見諸共同之團體法律關係。 參與共有關係之所有權人或相關權利人， 基於其所有物之性 質 ， 為能促進財貨流通， 因而容許藉由多數決方式來處分所 有物之歸屬（ 土地法第34條 之 1 參照） 。 惟查， 一則無論是 眷村改建地區土地與房屋之財產存續保"
8,535,"建條例第22條規定確實牴觸憲法第23條之比例原則， 難逃 違憲之指摘。 肆 、關係文件之名稱及件數 附件一： 臺北高等行政法院99年度訴字第40號判決影本乙份。 附件二： 最高行政法院100年度判字第1702號判決影本乙份。 附件四•最局行政法院103年度判字第68 虎判決影本乙"
9,442,"最高行政法院 - 行政 -103 判 68 7 最高行政法院裁判書 - 行政類 【 裁判字號】 103 , 判， 68 【 裁判日期】 1030 2 13 【 裁判案由】國軍老舊眷村改建條例 【 裁判全文】 最尚 彳 了政法院判決 103年度判字第68號 上訴人羅家基 吳守成 張"
10,1334,"最高行政法院 - 行政 -103 判 68 2 of 1 7 被上訴人國防部 代 表 人 嚴 明 上列當事人間國軍老舊眷村改建條例事件， 上訴人對於中華民國 102年9月25日臺北高等行政法院100年度訴更一字第200號判決， 提起上訴， 本院判決如下： 主 文 上訴 i 訴訟費"
11,1508,"最高行政法院 - 行政 -103 判 68 7 人所屬轄下機關所 爲 ， 逾越機關權限， 被上訴人據上開基礎 作成之原處分自非合法； 另明建新村無改建及合 倂 改建之必 要 ， 原處分有違比例原則。 （ 二)明建新村所出具經認證高雄市 「 自治新村改建基地」原眷戶改（ 遷）建申請"
12,1486,"最高行政法院 - 行政 -103 判 68 7 14383號令規定協商由1戶承接眷改權益者， 應先扣除多餘之 7份認證書， 若未出具協商承受權益者， 即應將該12份認證 書全數扣除。 （ 十二)綜上， 就被上訴人所提出之412份經認證之 高雄市「 自治新村改建基地」原眷戶改（ 遷"
13,1454,"最高行政法院 - 行政 -103 判 68 7 ， 並不足採。 （ 六)就上訴人所稱陳業等28戶權益承受核定逾期 乙節， 其中陳業、 牟永鐘已屬逾期認證眷戶， 本即扣除而未 計算在改建戶數內。 其他26戶部分， 依眷改條例第3條第2項 、 辦理國軍老舊眷村改建注 意 事項第1條第"
14,1452,"最高行政法院 - 行政 -103 判 68 6 of 1 7 最高法院86年度台上字第2142號判決 意 旨， 應認提出認證書 之眷戶， 確 爲 同 意 改建之眷戶無疑， 被上訴人將此等認證書 計入同 意 辦理改建之法定門檻， 尙 難認有何不合法之處。 且 就認證書中有關「 本人"
15,1522,"最高行政法院 - 行政 -103 判 68 7 of 1 7 共設施用地， 並改善都市景觀」均在其中， 是以， 是否 爲 老 舊眷村應以各該眷村所佔用地房屋整體以觀， 而非以眷村內 各房屋獨立判斷， 上訴人主張以眷村於69年12月31日興建後 ， 房屋及道路是否整潔而論究各該眷村"
