pdf_page,chars,preview
1,794,"聲請解釋憲法函 司法院大法官公鑒 一. 茲聲請人徐少亭等十人因國軍老舊眷村改建條例事件， 遭國防部註 銷眷舍居住憑証及原眷戶權益， 並限期返還現居眷舍房地 (103 年 1 月復另對吾等提民事訴訟按月給付相當於租金之不當得利起訴， 上 訴中） 。 為維護權益經向行政院提起訴願遭駁"
2,1068,"解釋蕙法聲請書 壹 、 主 旨 ： 為聲請人因國軍老舊眷村改建條例事件遭國防部 註銷眷舍居住憑証及原眷戶權益被判決確定。 但對於確定 判決所適用之國罕老舊眷村改建條例第22條規定， 依合 理之確信， 認為者牴觸憲法第2 3 條所定比例原則， 侵害 人民受憲法第 10 條 、 第 "
3,1196,"人等不服， 提起訴願， 亦遭決定 驳 回， 遂提起行政 訴 訟 。 歷經 北高萼行政法院99年度訴字第 40 號 判決 驳 , ^ ， . 回 v 請人孽猶未甘服， 提起上訴， 最高行 政法院 100 年度判字第 1 7 0 2號判決將原判決廢棄， 發回台北高專行政法院更為審理，"
4,986,"i l 宫 於信解得上官請； ^ 戶定； 理認憲之成釋 案 為 法 為 確 。之 件有， 信 時 牴 以 決 法 由 於法決裁違本完^ ^ m i 之 者 有 法， 前氙理立 依 其， 並 請 解 號 條 合先各提本 理行級出院 雀清究貌去 f , 觸求 是 證 所 4 * | "
5,1335,"司第人益之尊產號任上所 院 采 条 產 分 ，司 法1依 及 侵 嚴 權 、 43 § ' - ^ 士買 書 公 發 釋 違 法 參 預照旨由力人照憲對釋次舍屬證以眷配釋律戶迄 由 憲 保 、三維 MW — 自又確用第及款第民第 C 之 ; 4 t 5 u t 法個收人護 財 處"
6,982,"自由。 核屬憲法第 10 條所保障之人民居住自 由。 又依法享有 H 以成本價格）承購依該條例 興建之住宅及由政府給與輔助購宅款之權 益」 ， 為法律所設及保障且具相當財產價值之 法律上利益， 亦屬憲法第 1 5條所保障之人民財 產 權 。 2 . 國軍老舊眷村改 聋 條例第22"
7,1041,"照顧原眷戶、 中低收入戶及志願役現役軍（ 士） 官 、 兵 ， 彳呆存眷#文化， 協助丨 4 方政府取得 公共設施用地， 並 改 善 都 市 景 觀 除 具 有 使人民得享有安全、 和平與尊嚴之適足居住 環境之意義（ 經濟社會文化權利國際公約第 1 條 第 1 項規定蔘照）外 ，"
8,1040,"效利用， 以增進公共利益， 土地法第 34 條 之 1 規 定 ， 共有土地或建築改良物， 其處分、變更 及設定地上權、 農育權、 不動產役權或典權， 雖得僅以一定比率共看人及其應有部分之同意 為 之 ， 惟仍應保降不同意共有人應得之對價或 補償， 並給予不同意共有人得以同價格卷"
9,1031,"是主管機關註銷不同意改建眷戶之「 原 #戶 籍 益 」， 並非授益行政處分之廢止， 自無行政程序法笔 I 2 4 條所規定2 年除 斥期間之適用最嵩行政法院 10 2年 10 月 份庭長法官聯席會議決議參照） 。 ( 2) 惟按權利之行使應言時效（ 包括請求權之消滅 時效及形成權"
10,1114,"護原眷戶之權益及法律秩序之安定。 惟國軍老 舊眷村改建條例就主管機關行使註銷權未設 有除斥期間之規定， 此一法律漏洞， 使主管機 關註銷權之行使欠缺除斥期間之限制， 非但有 害於法律秩序之安定性， 對於原眷戶更構成過 度之傷害， 與比例原 对 亦有未符。 (4 )由於廣義之時效制"
