pdf_page,chars,preview
1,499,"司法院秘書長函 受文者： 本院大法官書記處第一科 主旨： 本院大法官為審理張珍及黃克正等二聲請釋憲案， 請惠予就 說明二所列事項， 提供法律意見及相關立法資料供參。 請查 照 。 說明： 一 、 依據司法院大法官審理案件法第1 3 條第1項規定辦理。 二 、 旨揭聲請認90年10"
2,834,"國 防 部 函 | 受文者：司法院秘書長 j 、 改建基地規劃圈眷村明細表， 紙本， 5 ， 頁 。 主旨： 檢送國軍老舊眷村改建條例第22條第1項規定之立法理由 ： 等相關資料， 請查照。 ； 說 明 ： ! 一 、 依據貴處民國100年12月1 6 日秘台大二字第10000 "
3,112,"定修正案之立法院關係文書、 立法院第 6 屆第2會期第11次 國防委員會審議條文對照表， 以及尚未完成改建眷村明細 表 。 部 4 等 本案依分層負責規定授權業務主管決行 正本：司法院秘書長 副本： 第2 頁， 共2 頁"
4,1563,"立法院法律系統 1 of 9 r 全文檢橐I「分姻 镰 漼•瀏霓11臁止法瀏賣 I r 停 止 遍 用 法 测 霣 1馨榭 嫌 明 第一條(08 6 〇112制 定 } 第四條( 0 6 0112 制定> >p . g 友籌^印 ■ 鼸楠貴童蘭 國 軍 老 舊 眷 村 改 建 條"
5,2219,"立法院總系統 2 of 9 J 1由 孵 KiOA 條文通遢• <100121 摊 正 ） I 文 國軍老舊春村土地及不總用營地之名稱， 位置•主管棚 M 應 薄 政 ft 核定• 主管機_1 » 期行爾軍老 I 誊 村改建成 tA # ^ 文化保存之燊 ■ 期 ■ 用_ 軍老 "
6,2000,"立法院法律系統 3 of 9 第八條( 08 5 0112 « 定> 第九條(_112制赳 第 十 條 （ ( 08 5 011棚 定 } (100121 3 ^$ ) 第~| — 僻 (08 5 011 ■ 定） 二、 Mtfint 葬 J ■ 鄒市針盡簡_ 者•依有《法令變 "
7,1587,"立嫌法律系統 4 o f 9 第十二條 < 08 5 0112 « ^ ) 第十三條( 08 5 0112 制定》 (0900 5 11修正） 條文 第四條第二項之土地•除主管機期自行改建外•得按下列方式曬理： - ， 期 1寶興建住宅社矗 * … 二 - 撕 娜 mi 1_ 住"
8,1392,"立法院法 禅 系統 5 of 9 osc 改建基金資金來源如下： 第十四條 (08 5 0112 制定） 三 * 本 碁 金 麟 息 收 入 ■ 四 、 s 金 運 用 後 之 收 益 • 五 ，處 分 成 輕 營 改 建 完 成 之 房 舍 價 款 收 入 。 六•眷 衬 土地"
9,1939,"立法院法律系統 6 of 9 第 十五條 (08 5 0112 制定） 第十六條< 08 5 0 ” 2 制定） 第十七條( 08 6 〇 112 » (定） 第十八條(〇 0 5 〇 1121 « 定> 第十九條<〇 8 5 〇 ” 2 制定） 第二十條 (08 5 0112 "
10,2042,"立法院法律系統 7 of 9 羅眷戶可獲得之__宅歙及自備•金籲•依各舂村之條件•於 规 KIK 段•由主管機臞以審固向琢 # 戶銳明 之. 申0 自費增加住宅坪型之雎眷戶•仍依 JR 坪型核算 铺 肋購宅其 M 申請價購房地練價之差顗由明鬌戶自行負 « • (100121 3 "
