pdf_page,chars,preview
1,522,"呂碧蓮、呂家昇釋憲聲請書 為聲請釋憲事： 一、聲請釋憲之主旨： 祭祀公業雖係地方習慣，仍不得違反憲法第七條男 女平權之原則，其未經全體派下員同意所訂立欠管理章 程，限制死亡派下員所遺派下權財產，女系子孫不得繼 承，違反該規定，該違反部分之規定無效，各級審判法 院不得援用。 二、聲"
2,654,"顯然影響於裁判，所謂是否消極的不適用憲法第七 條，以 致影響裁判，涉有疑義，聲請人為該確定判決 當事人，非不可依上規定聲請釋憲。 ( 五 ) 該確定判決之二審判決之理由稱 ： 「上訴人主張 ： 呂進 榮為使上訴人繼承本家宗祧，故令上訴人呂碧蓮招贅 夫 ， 生子從母姓 ， 且呂進榮"
3,576,"以糾正二審判決之違法，亦有消極的不適用憲法第七 條男女平權之規定，以致上列二審判決違法，顯然影 響於裁判，最高法院該項核定亦係違反憲法第七條。 ( 七 ) 祭祀公業呂萬春制定之管理章程其第四條違反憲法 第七條，該違法部分各級審判法院，不得授用，說明 如下： (1) 祭祀公業派下員"
4,490,"務事項 ， 依中央法規標準法之規定 ， 應以法律定之 ， 該管理章程為部分派下員限制死亡派下員多數繼 承人而規定公推男子派下員為代表派下員，該規定 歧視女子，認女子無宗祠繼承權，而不得享有派下 權益分配金之分配權，違反憲法第七條男女平權之 規定，其為違憲之判決。 三、謹此聲請釋憲"
5,624,"法院應受其決議之拘束，聲請人提出之民事訴訟案號為 板橋地院 度 上 字第 度 台上字第 張聲請人依最高法院 2 家祖先之女子及生子從母姓，均有祭祀公業繼承權，該 判決採取該決議所採乙說前段認定相對人有繼承權，理 應依該決議後段確認聲請人雖為女子，但係奉祀本家祖 先及招夫生子從母姓"
6,472,"4 般女子依政府法令之規定無宗祠繼承權者無繼承權，至 於依上民庭決議有派下權繼承權之非一般女子，仍有該 項繼承權。 八、綜上以觀，凡依民庭決議乙說，有繼承權，仍非不得繼 承。 謹 呈 司 法 院 聲請人：呂 碧 蓮 呂 家 昇 中 華 民 國 呂碧蓮、呂家昇補充理由書（二） 為提"
7,529,"50 而本件被繼承人呂進榮之祭典金 ， 因 為子女爭奪不休，經該公業保留於帳戶者達新台幣二千 八百餘萬元，有該公業呈庭之 狀附件 知被上訴人一旦勝訴，立刻可領 28 、 527 、 300 法院以 之快速，效率之超過，以及事涉二千八百餘萬元之訴訟 利益，其公然挑戰違背憲法第七條 "
8,503,"元。涉及重大利益迴避，承審法官豈有不知之理？為何 要打電話給律師轉請本人撤回訴訟？ 三、本件二審駁回呂碧蓮變更之訴，承辦法官於呂碧蓮抗告 後，立即電話訴代，勸諭訴代請呂碧蓮等撤回抗告及上 訴，可以退費捌拾餘萬元裁判費，回鍋一審再打貳仟捌 佰餘萬元新官司，訴代轉告呂碧蓮後，對造呂 "
9,622,"90 ○ ，合稱陽男三 大房，於其妻墓碑鐫刻陽三大房立石，進榮公逝後，學 山、 ○ 及家昇共立墓碑亦鐫刻陽三大房立石，以示家 昇雖為贅婚王有坤所生，但不從父姓王而從母姓呂，且 出於進榮公之指示，則進榮公已視家昇與學山、 ○ 為 其宗祧男系共同繼承人」該判決以上列情事，不足排除 祭"
10,506,"四、從而該判決違反憲法第七條及上列民庭決議，認呂進榮 已有男子繼承，呂碧蓮無繼承權，顯然違反憲法第七條 及上列民庭決議。 五 、 習慣違反憲法第七條女男平權之原則 ， 該習慣應為無效 ， 法律，政令，各審民事判決及習慣，違反此原則者亦均 為無效，憲法既無例外之規 定，當然如此解釋"
11,538,"( 一 ) 被繼承人呂進榮於榮總病危通知時，因呂碧蓮與呂進 榮共住二樓，上下不便，因此通知呂 ○ ，請提供其 一樓，以供呂進榮往生之所，但為呂 ○ 拒絕，則呂 ○ 對於其父呂進榮生不扶養，病不醫療，甚至拒絕 提供病危往生之所，顯見呂 ○ 對於呂進榮生前承認 呂家昇為男系子孫第三房"
12,598,"呂 家 昇 中 華 民 國 呂碧蓮、呂家昇補充理由書（六） 為提出釋憲補充理由書事： 一、中華民國憲法第七條規定： 「中華民國人民無分男女、宗 教、種族、階段、黨派，在法律上一律平等。」大法官 釋字第 保障人民在法律上地位之實質平等，並不限制法律授權 主管機關，斟酌具體案件事實上"
13,673,"年起至 子同 住○○市○○街○○號○樓及○樓，受呂碧蓮母子之扶 養 ， 其生老病死 ， 均由呂碧蓮母子為之照顧 ， 民國 75 呂進榮妻呂許梅死亡，樹立墓碑，呂進榮原有大房呂學 山 、 二房呂 ○ ， 另行指名呂家昇為其男系第三房子孫 ， 而在呂許梅墓碑上刻男三大房立石， 呂進榮"
14,433,"奉祀本家祖先之未出嫁或出嫁從夫之女子而言，呂碧蓮 係奉祀本家祖先之女子，且贅婚生子從母姓呂，而非前 段所稱之一般女子。而依院字第 「家族中之祭祀公業，以男系子孫輪管或分割，或分析 者，係本於從習慣為家族團體之公共規約，在女子向無 此權，苟非另行約定，自不得與男系同論」云，呂碧 蓮"
15,512,"共 同 訴訟代理人 陳正磊 律師 被 上訴 人 呂 ○ 訴訟代理人 廖湖中 律師 上列當事人間請求確認權益分配金請求權存在等事件，上訴 人對於中華民國九十八年十二月二十二日台灣高等法院第 二審判決 （九十七年度上字第六一七號） ，提起上訴，本院判 決如下： 主 文 上訴駁回。 第"
16,650,"呂家昇對於被上訴人有其中五九六一分之二七三點二五權 益分配金請求權存在；被上訴人應向祭祀公業呂萬春申請領 取呂進榮算至九十七年十月三十一日之權益分配金（即祭典 費）新台幣（下同）二千八百五十二萬七千三百元之二分之 一即一千四百二十六萬三千六百五十元給付呂碧蓮、呂家 昇，並加計自領"
17,698,"招贅生有男子或收養男子冠母姓者，該男子亦得為派下員。 其立法理由為：基於尊重傳統習俗及法律不溯既往之原則， 對於已存在之祭祀公業明定其派下員依規約定之 ，無規約或 規約未規定者，派下員為設立人及其男系子孫 （含養子） 。派 下員無男系子孫，其女子未出嫁者，得為派下員。該女子招 贅"
18,448,"派下權之資格。呂碧蓮、呂家昇既無繼承呂進榮派下權之資 格，其自無權領取祭祀公業呂萬春發放之權益分配金。故呂 碧蓮、呂家昇請求確認被上訴人就祭祀公業呂萬春之已故派 下員呂進榮持分額五九六一分之五四六點五之權益分配金， 於被上訴人領取該持分額之權益分配金時，呂碧蓮、呂家昇 對於被上訴"
