pdf_page,chars,preview
1,1121,"釋字第七三九 號解釋 協 同意見書 黃茂榮大法官 提出 壹、自辦市地重劃 之 多數決原則 一、 前言 當財產之管理處分，由其所涉權利人自己為之時，與其財 產權保障有關之制度的建制，基本上應立基於私法自治原 則。依私法自治原則，當一件事務涉及多數人之權益時， 應 由其共同決定， 該"
2,736,"程序或正當行政程序論之。然即便將之論為屬於法律正當程 序或正當行政程序之問題，特別是在法律規定由事務所涉 及 之 權利人自治時，縱使其自治 事項 規定於公法中，例如 自辦 市地重劃 （平均地權條例第五十八條） ，其規範仍應符合私 法上之私法自治原則或公法上之民主原則的意旨，不得使"
3,958,"權人辦理市地重劃辦法 」 。 三 、獎勵土地所有 權人辦理市地重劃辦法 之 規定 違憲 獎勵土地所有權人辦理市地重劃辦法 （下稱 獎勵 辦法） 第八條第一項規定 自辦市地重劃應由土地所有權人過半 數或七人以上發起成立籌備會，並由發起人檢附範圍圖及發 起人所有區內土地所有權狀影本，"
4,776,"果，必對於 擬辦重劃範圍內之土地及地上改良物產生使用、 收益及處分之限制， 並 隨之產生 重 劃費用之分擔義務 ， 且 重 劃 之 結果 亦 將 改變土地所有權人及他項權利人之權利義務 關係 。 因此， 為防止 不如意之重劃結果、 過大之應分攤重劃 費用 ， 以及 保障 擬辦 重"
5,776,"十八條第三項 規定 ：「重劃會辦理市地重劃時，應由重劃區 內私有土地所有權人半數以上，而其所有土地面積超過重劃 區私有土地總面積半數以上者之同意，並經主管機關核准後 實施之。 」 依上開規定， 在 私有土地所有權人 自辦市地重劃 時 ， 公有土地之管理機關（所有權人）、土地面積，"
6,792,"土地 管理機關 （所有權人） 支持私有土地所有權人 數及 面積 占比 屬於 多數 意見 之一方 ， 則 不會 影響 原本 私有土地 多數意 見 所形成之決議 ； 反之，當公有土地 管理機關（所有權人） 支持私有土地所有權 人數及面積占比屬於 少數意見之一方 ， 則可能使該少數意見"
7,970,"劃之私有土地 所有權人（面積） 為多數， 依平均地權條例第 五十八條第三項之規定，應 無從 辦理此市地重劃案 。 然倘規 定 公有土地計入同意比率 市地重劃 時 ，則與私有土地 所有權人（面積） 之多數決結果一致；反 之，當公有土地 選擇 支持 市地重劃 時 ，則 原本贊成市地重"
8,871,"經上級機關核准後辦理之 （ 亦即公辦市地重劃 ） 。 因此， 當 公有土地管理機關有意願辦理市地重劃時， 應依 公辦市地 重劃之相關規定 ， 按 法 定程序 辦理 ， 並負擔 相關 責任及義務 （市地重劃實施辦法參照 ） 。 在制度設計上，不 宜使 公有土 地管理機關 有機會 透"
9,836,"計算基 ，未許 議 ，尚無違憲之疑慮，謹此併予說明。 參、 土地重分配之公平 分配 機制 私有 土地之取得及重分 配， 涉及人民財產權及居住自由 之限制 。 本院曾 針對 都市更新、區段徵收 、一般徵收 之相關 規定，作成多號解釋 （ 本院 釋字第 七０九號、第七三一號、 第七三"
10,839,"其供私有土地所有權人分配之土地 在面積與區位皆已不可 能與各該私人原來所有之土地的面積與區位相同 是故，只 能以 區段徵收或市地重劃前， 私有土地 原來以公告現值表徵 之貨幣形式的經濟價值為 區段徵收或市地重劃前後土地 或換算 的基礎。 這當中，公開競標 能 以市場的方法 ， 反"
11,783,"價值 部分，得 以其剩餘價值再參與其他土地之競標，或 下 轉讓予 其他土地所有權人 或 重劃會。 ( 4 ) 公開競標之出價高於某筆土地之標定價值時， 超出 部 分，土地所有權人應以現金繳給重劃會， 設置 共 同基金 存放 。該共同基金 由全體參與重劃之土地所有權人 所 共有 ，"
12,338,"給付時， 則 由基於該（自辦）市地重劃 無償取得公共設 施用地之主管機關補足。 承上所述， 透過公開競標之方式， 可避免 低估 或高估部 分 重劃後土地 之 價值， 導致參與重劃之土地所有權人利益受 損； 且 使 有價值、搶手之土地， 因公開競標 而得以 適切反映 其價值，能 以"
