pdf_page,chars,preview
1,667,"釋字第七三 九 號解釋 部分協同、部分 不 同意見書 蘇永欽大法官提出 本件解釋審查有關市地重劃法令的若干規定，因市地重 劃的基本理念與都市更新相近，都是對多筆不動產通過土地 使用的全面再規劃與權利的重分配來創造更高的土地總體效 益，可在我國憲法高度社會化的土地政策規定（憲法第一"
2,709,"及同辦法第九條第六款、第二十六條第一項由籌備會為重劃 計畫書 的申請核定及公告，並通知土地所有權人等規定，都 已與平均地權條例第五十八條第一項規定意旨不符，且超出 同條第二項規定之授權目的與範圍。本席對於正當程序原則 的審查，一如在第七０九號解釋所提意見書，就前述「不作 為」部分"
3,690,"找答案。 本院自釋字第六八九號後，對於正當行政程序原則的理 解即在強調： 「應視所涉基本權之種類、限制之強度及範圍、 所欲追求之公共利益、決定機關之功能合適性、有無替代程 序或各項可能程序之成本等因素綜合考量，由立法者制定相 應之法定程序。」考量的因素包括基本權和公共利益這兩個 "
4,717,"啟抗爭。民推公辦則使財產權人在人數與面積都達半數時， 得由地方政府於核准後優先實施，一方面鼓勵民眾積極發 動，減少實施的阻力，另一方面仍由公權力承擔規劃及實施 的工作，與前一程序差異不大。至於民推民辦，也就是自辦 重劃，已經讓公權力完全退居監督者的角色，才真正可說是 契約合意模式"
5,689,"七０九號解釋審查都更條例第二十二條第一項有關同意更 新事業計畫的三種門檻時 ， 所做的論證即堪稱簡潔清晰 ： 「考 其立法目的，一方面係為落實推動都市更新，避免因少數人 之不同考量 而影響多數人改善居住環境、促進都市土地有計 畫再開發利用之權益，因而規定達一定人數及一定面積之同 "
6,724,"可能會改變結果，有時使私財產權中明占多數的方案因此 無法跨過門檻，有時反使私財產權的少數輕易跨過門檻。究 竟計入公地呈現的比率才是真正的多數或少數，或者排除公 地因素呈現的比率才是純粹的多數或少數？正因為公地如 果一律不參加此類大規模的土地規劃，必大減少高效益的 選項，且形式上計"
7,739,"「多數」、「少數」、「居民」等，觀其脈絡即知僅指真正 的「人民」，非常清楚。足見正當行政程序原則在此概括的 要求多數決即可，立法者應保有就如何計算比率，或區隔特 別多數，做進一步裁量的空間。故本解釋對平均地權條例第 五十八條第三項的審查也沿用相同思維，簡單俐落的推出合 憲的結論。"
8,554,"劃，實際上即採契約模式，國家 所有 土地總面積及合法建築物總 介入的重點不在於強制，而在提 樓地板面積 均超過四分之三以上 供誘因引導自辦。 的同意。 (92.1.29) 實施者擬定或變更都市 更新事業計畫報核時，其屬依第 十條規定申請獲准實施都市更新 事業者，除依第七條劃定之都"
9,518,"劃時，應由重劃區內 私有土地所 都市更新地區，應經更新單元範 有權人 半數以上，而其所有土地 圍內 私有土地及私有合法建築物 面積超過重劃區 私有土地總面積 所有權人 均超過二分之一，並其 半數以上者的同意，並經主管機 所有土地總面積及合法建築物總 關核准後實施。 樓地板面積均超"
10,695,"所有區內土地所有權狀影本，向直轄市或縣（市）主管機關 申請核定。」違反正當行政程序原則的理由很簡單； 「如土 地所有權人未達十二人時，僅須過半數所有權人，即可申請 核定成立籌備會，不問發起人所有區內土地面積之總和與擬 辦重劃範圍內土地總面積之比率為何；土地所有權人十二人 以上時，"
11,702,"的質問似乎顯示，人數過半就不會有問題，只是這時產權加 總也要過半，但如果籌備會發起人的門檻就要拉高到和重劃 會同意重劃計畫的門檻齊一，使只有準備決策功能的籌備會 和有決策功能的重劃將會有相同的「民意基礎」 ，後者如果 夠高 ，如前段所述，則顯然前者的門檻已經太高，豈有以這 樣的「"
12,702,"或擁有更多面積之其他 土地 所有權人，面臨財產權與居住自 由被侵害之危險，難謂實質正當，不符憲法要求之正當行政 程序，有違憲法保障人民財產權與居住自由之意旨。」 （本 解釋） 。 這些多數少數的對稱到底是指多少所有人和產權的比 率，已經過於含混，而令人無所適從，所謂迫使參與和面臨"
13,706,"險的另一面，不也是增加財產利益或改善居住品質的機會， 一如受領要約的相對人？更何況對應此一風險的就是國家 的介入管制 ，對於少數人擬定重劃或更新範圍的申請，主管 機關依法必須審查其合法性與妥適性，並連同擬定的重劃計 畫，綜合考量財產權人財產與居住權益，及公共利益的增 減，評估其最"
14,712,"的成本（都更條例第二十六條第一項、第三十條第一項規定 參照） ，這種成本分配的方式已經可以起到節制浮濫的作 用，本院又是根據什麼理論或實務，認定必須在此一階段作 這樣的干預。以都市更新需求最高的臺北市而言，據臺北市 都市更新處到本院所做說明，從民國八十九年到一０二年二 月底為止，"
15,565,"人造成什麼危險，或 不易順利組成重劃會。將來 因本解釋 要 求提高 門檻 ，也許情況不會變得更好或更壞， 但一定要說這 樣比較正當，恐怕還是很難自圓其說。 表二： 臺 北市 近十年自辦市地重劃案 辦理期間 序 案名 ( 成立籌備會 ~ 辦理進度 號 解散期間 ) 內湖區石潭里 ("
16,404,"南港區南港國宅東北側 15 96 ~ 已成立籌備會 自辦重劃區 北投區稻香路 ( 住 自辦 16 97 ~ 已成立籌備會 重劃區 士林區住六之五、住六 17 97 ~ 已成立籌備會 之四自辦重劃區 文山區福興路自辦重劃 18 103 ~ 已成立籌備會 區 士林區住二十六自辦重 1"
