pdf_page,chars,preview
1,717,"司法院釋字第七 三 九 號解釋 部分 協同、部分 不 同 意見書 葉百修大法官 提出 本件解釋 延續本院釋字第七０九號解釋之意旨， 以土地 所有權人於土地面積達一定 比率 ， 以進行更有效率 的土地 使 用 與促進發展為目的 ， 於 進行都市更新時 ， 應遵守憲法正當 行政 程序"
2,693,"尚難 遽 謂違反憲法平等原則及比例原則 ； 以及多數意見將 未 為確定終局判決所適用 、 亦未經當事人聲請解釋 之 系爭 辦法 第九條第三款 、 第六款規定 ， 認與系爭辦法 第二十條規定具 有重要關聯性 ， 一併納入審查範圍 等三節 ， 本席均不表贊同 ， 爰提出部分協同、部分"
3,690,"號解釋 分別提出個別意見書加以闡釋 。 無論如何認定適用 ， 本院作為憲法守護者 ， 必須堅守一貫原則 ， 不宜前後不一、 標準不定。 以近例之本院釋字第七三二號解釋，多數意見當時 就聲 請人所聲請主張違憲之法令 ， 以 「未為確定終局裁判所適用」 而予以不受理 ， 何以本件解釋"
4,754,"旨 ， 並不排除得以法律明確授權之命令加以合理限制之可能 性， 本席亦表贊同 。 惟就自辦市地重劃所涉及人民居住自由 部分 ， 多數意見仍以援引本院釋字第四三號解釋之意旨， 闡釋其保障內涵為 「 保障人民有選擇其居住處所 ， 營私人生 活不受干預之自由 。 」 然而 與本件解釋所"
5,755,"劃之同意比率 ， 仍應以法律 適時檢討 ， 則一 方面既稱 居住自 由得 以法律明確授權之命令 加以限制 ， 另一方面又認 「允宜」 於法律隨時修正檢討 ， 兩者是否 亦 前後矛盾 ？本席認為 ， 凡 居住自由之限制 ， 一旦涉及人民身體自由 ， 均應屬絕對法律 保留之範疇，不宜"
6,751,"按 自辦市地重劃之主要程序，依據系爭辦法第六條規定， 分別為： 一、重劃之發起及成立籌備會。二、申請核定擬辦 重劃範圍。三、徵求土地所有權人同意。四、重劃計畫書之 擬定、申請核定及公告，並通知土地所有權人。五、成立重 劃會。六、測量、調查及地價查估。七、計算負擔及分配設 計 。 "
7,773,"會成立人民團體一般 。 本件解釋多數意見係以籌備會僅係重劃會 所得行使之職權 ， 亦僅得為過渡任務 ， 而認定系爭辦法第九 條第三款、第六款、第二十條及第二十六條等規定，將原應 由重劃會行使之職權 ， 委由籌備會為之 ， 有違平均地權條例 第五十八條第一項之 立法目的 ， 逾越同"
8,736,"第一次會員大會選定理事、監事後成立 。 籌備會所 為相關任務 ， 均須於召開第一次會員大會並選定理事 、 監事 成立重劃會 ， 由會員大會及重劃會理事會 、 監事會依據系爭 辦法相關規定 決議並行使職權。 換言之，籌備會所為籌備任務，仍須經由會員大會及重 劃會加以確認 、 執行 "
9,760,"與之民主精神相符 ， 顯未盡國家保護人民財產權與居住自由 之憲法上義務 ， 即不符憲法要求之正當行政程序 ， 亦有違於 憲法保障人民財產權與居住自由之意旨 。 」 而於本件解釋所 涉 平均地權條例第五十八條第三項規定 ： 「重劃會辦理市地 重劃時 ， 應由重劃區內私有土地所有權人"
10,982,"符。 且系爭辦法第八條 第一項 亦僅稱土地所有權人 ， 其意依 上開規定原應指私有土地所有權人 ， 亦將使公有土地所有權 人之財產權有受侵害之虞。 按 所謂公有土地， 依其財產權之歸屬， 可區分為 國有及 直轄市 、 縣市 及鄉鎮市 等地方所有 土地等四種 ； 其中國有財 產 之"
11,321,"財政部國有財產署 基於管理機關 ， 為國庫利益考量 ， 即應納 入 該同意比率之計算 ； 而公有土地屬公用財產 ， 亦非不得 基 於國家政策需要 ， 由 財政部徵商主管機關同意 ， 報經行政院 核准 ， 將公用財產變更為非公用財產 ， 或公用財產 於斟酌公 共利益之情形下，亦有參"
