pdf_page,chars,preview
1,745,"釋字第七三九號解釋部分協同部分不同意見書 陳 碧玉 大法官 提出 吳 陳鐶 大法官 加入 本件 聲 請人之一 為 不同意參與自辦市地重劃者， 認 其財 產權與居住自由 因自辦市地重劃案 受到 之 限制與侵害，與 國 家 實施區段徵收 處分 並無不同， 國家 應經由公權力委託之程 "
2,674,"序之規定，亦不符憲法要求之正當行政程序，均 有違憲法保 障財產權與居住自由 意旨部分 ， 本 席敬 表同意 。 然 對於 多數 意見認 合憲 部分 ， 礙難贊同 。 爰 提出部分協同意見 ， 部分不同意見 如下 。 壹、 協同意見 部分 一、 憲法要求之正當行政程序 內涵，包含 "
3,843,"住環境所為自主性之選擇，難謂其財產權與居住自由 因自辦 市地重劃而 受有限制。對於不同意參與 市地 重劃者 ， 自籌備 會設立 、 發動自辦市地重劃個案起 ， 有被迫面臨財產權與 居 住 自由受侵害之危險 ； 於 擬辦 重劃範圍核定後 ， 就土地及其 上建築改良物之 自由使用 、"
4,894,"依 獎勵 重劃 辦法第八條 第一項 規定 ，於 以 重劃範圍內 私 有土地所有 權 人七人以上為發起人時 ， 即可檢附擬辦重劃範 圍圖，申請 核 定 成立籌備會，以發動自辦市地重劃案 。 既未 規定發起人 重劃範圍內 率，又未規定其等 所有重劃範圍內 土地面積 之總和 應占 擬 "
5,713,"無 最低門檻限制 規定 ， 而得以成立籌備會發動 重 劃個案， 將 使多數人或所占土地面積比率多數者被迫參與自辦市地重 劃程序 ， 上開獎勵辦法規定 難謂實質正當，不符憲法要求之 正當行政程序 。 三 、 獎勵重劃辦法第九條第三款 、 第六款 、 第二十條第一項、 第二十六條第一"
6,745,"重劃計畫，以及重劃計劃執行、費用分擔、土地分配為自辦 市地重劃之三大主要事務， 此等事務之本質非屬「籌組」重 劃會之 「 過渡 」 任務，而 應屬重劃會之職權。惟 獎勵重劃 辦 法第九條第三款、第六款、第二十條第一項、第二十六條第 一項規定 ， 重劃範圍之擬定與申請核定擬辦重劃範"
7,641,"貳、 不同意見 部分 關於平均地權條例第五十八條第三項 規定 （下稱系爭規 定） ， 多數意見 僅 論「有關同意之比率如非太低而違反憲法 要求之正當行政程序，當屬立法形成之自由」 ，並 未就 此 規 定之 同意 之 比率 是否太低 、 未納入公有土地之所有權人數及 土地面積 為同"
8,673,"比率計算之基準應包含重劃範圍內全體土地所有權人及 全部土地面積，以正確反映「實質多數者」之「共同利 益」 。 3 、 重劃計畫 之 內容與土地所有權人各自應分擔之公共設施 用地、工程費用、重劃費用、貸款 及受配土地範圍 等相關 （ 平均地權條例第六十條規定參照） ， 此涉及財產 "
9,774,"市地重劃區內全體土地所有權人均為重劃辦法第三條規定參照） ， 公有土地管理機關若不同意 重劃計畫內容，仍可於會員大會依獎勵重劃辦法第十三 條第二項規定，以全體會員二分之一以上，及其所有土 地面積超過重劃區總面積二分之一以上同意之決議，修 正業經主管機關核准實施之重劃計畫書，即以 "
10,685,"（ 1027/1795 ）及私有土地面積之 （ 34.88/61.7 ） 而合乎上開規定，然若公有土地之所有權 人數與 其 土 地面積均列入計算基礎，且其中土地面積 18.5 有土地總面積 意重劃計畫，則在面積之計算上將未過半數（不同意重 劃計畫之私有土地面積 +18.5 重劃計"
11,135,"範圍是否業經主管機關列入當地分區發展計畫土地 ， 或有進 行市地重劃之急迫性等因素，均適用同一同意比率 （獎勵重 劃辦法第四條、都市計畫法第二十四條、都市更新條例第二 十二條第一項規定參照） ，未審酌公益性程度、社會情狀之 需要，亦與憲法要求之正當行政程序有違。 1"
