pdf_page,chars,preview
1,588,"釋字第七三 九 號解釋 部分不同意見書 陳新民 大法官 提出 黃虹霞大法官 加入 你這個一再被狩獵欲望所趨策的人啊！ 許多死亡的規則就被寧靜的制定下來； 我知道你在鐘乳石洞內輕懸掛布條， 彷彿為慶祝和平的標幟，但卻是 陷阱與羅網 ！ 奧地利詩人 ‧ 里爾克 ‧《 致 奧費斯的十四"
2,746,"合理化 人民負擔重劃區公共建設費用 ， 與 本號解釋所涉及的 「自辦重劃」 制度 的 合憲問題。 本號解釋雖亦提及保障財產 與居住自由 甚 至 「存續保障」 之名詞 ，但只是泛 援引用語 ， 沒有任何憲法詮釋意義的重要性與說 服 力可言。故多數意見 捨此實體 核 心部分於不論，而"
3,631,"故有鑒於 自辦 重劃制度，既可能造成「吃 小」 （侵奪少數 不願重劃者之權益） ，以及「吃公」 （侵奪公有財產） 之 虞 ， 凡此皆觸及了自辦重劃制度的嚴重弊害 。 甚且地方政府實行 的重劃政策 之目的 ， 乃為 謀求財政利益 ，避免支付徵收補償 費，而以實行重劃取代徵收， 以 "
4,677,"條例第六十條之一） 。 由上述重劃制度的目的，可以得知下述的特徵： 第一， 是兼顧私益與公共利益。 由重劃的目的可知，乃是政府對於土地，不論是市區或 者是農地，依據社會現實與未來的需要，重新開發、並興建 完備公共設施，除了提升原有居民的生活品質外，亦可能滿 足更大範圍 （重劃區以"
5,806,"行土地重劃，將區內各宗土地重新規定其 地界：一、實施都 市計畫者。二、土地面積畸零狹小，不適合於建築使用者。 三、耕地分配不適合於農事工作或不利於排水灌溉者。四、 將散碎之土地交換合併，成立標準農場者。 」 其中，除了第一款為 公益取向優先，第四款 「合小為大」 仍為私益考量為主"
6,805,"目的也。 故上述三個規範重劃的法律，固然亦有保障與提升私人 財產利益的立法目的，但無疑的，追求公共利益的份量，亦 不在私益維護之下。 第 二 ，與徵收相同之處─ ─ 達到重要公共目的、可替代 徵收手段。 按重劃制度 既然承擔了追求公共利益的目的，同時公權 力也介入了重劃事務 ，例"
7,794,"計畫保留地之徵收或購買，都市計畫法第四十八條規定，依 同法指定之公共設施保留地供公用事業設施之用者，由各該 事業機構依法予以徵收或購買。其餘由該管政府或鄉、鎮、 縣轄市公所依（一）徵收、 （二）區段徵收、 （三）市地重劃 之方式取得之。 ……」 。 所以，原本不願重劃者被強制劃入"
8,864,"社會義務」 。 然而， 這種傳統 的重劃制度之特色 既然在「換地」 ，乃 會將土地大部分在重劃後， 扣除公共建設外， 仍然交付在原 來財產權人的手中 。 此 重分配的 過程中 ，原有財產權人不僅 不會損失財產現值，且有增加之 潛在性 ， 且重劃帶來公共建 設也是明顯的 有利於 重"
9,1380,"不是財產權人的 變動，而是財產標的變動，亦即財 產權人 對於原有財產標的上的權利，已經移轉到另一個財產標的之 上也 ，並不損於財產權人原有的財產權限與其價值也。 即所 謂的「非財產標的 之 同一性」 （ Identitä t des Objekts des Eigentums ）"
10,1054,"我國 對 重劃 之 制度 ，不論是立法者，甚至大法官在釋字 第四０號已經約略的提出重劃乃可與徵收達到同樣目的手段， 但在其他 相關的 大法官解釋（第七０九號解釋及本 號解釋）都未論及此屬性，顯然的認為這些財產權利乃是可 為公共利益而受到限制 ，是否亦贊成其乃社會義務乎？ 這種重劃"
