pdf_page,chars,preview
1,757,"「 會台字第12771號聲請人臺北市政府及會台字第12674號聲請人祁 家威聲請解釋案」鑑定意見書 壹 、民法第4 編親屬第2 章婚姻規定是否容許同性別之二人結婚？ 陳愛娥， 2017/03/21 依函附本件聲請解釋案「 言詞辯論爭點提綱」， 相關爭點包括： 1 . 民法第4 編"
2,1037,"貳 、 美國同性婚姻合法性要求之憲法裁判發展 六歲者， 不得結婚」， 本節雖未宣示「 應由男女當事人」締結婚姻， 而直接規定 男女各自之最低結婚年齡， 惟解釋上應無不同， 蓋結婚既係延續婚約而來， 自無 再重申「 應由男女當事人」締結婚姻之必要1 ;民法第982條規定： 「 結婚"
3,1006,"已為紐約州所承認， 但 因 1996年國會制定的婚姻防衛法 ( Defense of Mariage Act , DOMA ) 第 3 條 規 定 ， 任何聯邦法令所定婚姻須係一男一女的結合， 且配偶限於 異 性 ， 因此不能免除稅負。 本件判決多數意見指出： 規範婚姻的定義屬於"
4,1130,"斯卡利亞大法官強調， 憲法第十四修正案通過時， 所有州都將婚姻主體限制在一 男一女的結合， 並強調應由立法機關決定婚姻的意涵； 湯瑪斯大法官則強調， 憲 綜合以觀， 聯邦最高法院 Obergefel v . Hodges 裁判的多數意見主要是基於個 人尊嚴與自主選擇權利的強調， "
5,1226,"參 、 國際法對同性婚姻採取的開放立場 求權利的根源， 據此理解， 禁止同性婚姻是正當的； 然 而 ， 據此劃定享有婚姻權 的範圍， 似乎失於武斷。 就同性婚姻的議題而論， 並無正當理由可以禁止同性婚 姻 ， 考量到對於性傾向的歧視， 法院更須審慎檢視， 有何理由可以否定同性婚姻"
6,1087,"肆 、 德國法制強調婚姻之制度保障與生活伴侶法的關係 義 ， 締結婚姻的權利仍應依各成員國的法秩序而為主張； 歐洲人權法院2011年 的裁判， 在明確考量歐洲基本權憲章第9 條規定下認定， 締結婚姻並非絕對限於 異性伴侶之間， 是否同意同性婚姻， 由成員國法制決定。 然 而 ， "
7,1326,"面也不能取決於， 在法律規定中顯示出來的社會上的支配性見解。 此 外 ， 對憲法 婚姻概念的掌握亦不能僅取決於制憲當時的一般文義理解， 蓋如是將導致制度的 僵 化 ； 毋寧應以制憲當時的一般文義理解為探究保障意涵的出發點， 並且將實際 發生並已取得普遍共識的演變納入考量， 在 涉"
8,1173,"成立婚姻之強制性要素、 婚姻應受特別保障的理由係因： 由異性伴侶的結合潛在 可能誕生後代(雖然個案中婚姻當事人可能決定不生育或不能生育）， 此一特徵為 同性伴侶結合所無； 婚姻此種目的性( Finalitet ) 將同性伴侶排除於婚姻之外， 未將 同性伴侶納入基本法第6 條 第 "
9,1304,"但立法者逐步消除婚姻與生活伴侶的差距22。 就 此 ， 聯邦憲法院不僅加以認可 (因為由婚姻特殊保障不能推導出「 保持距離的命令」一 Abstandsgebot ) ， 在一些 案例甚至要求立法者必須採取此等措施。 雖然原則上仍容許立法者， 相對於其他 生活形式賦予婚姻一定的優惠"
10,1034,"伍 、 結論 應 係 ： 取向於相互支持與負責之生活團體此一要素。 Frauke Brosius-Gersdorf 認 為 ， 婚姻受憲法特殊保障的核心在於， 其足以實現相互支持與負責之功能， 並因 此減輕國家的負擔； 並據此主張， 同性伴侶既亦能滿足此等功能， 即不應將男女 的"
11,979,"有一定的意義， 因此探討同性婚姻的課題， 實不應全然忽略婚姻之制度保障的面 向 。 相對於此， 倘將婚姻自由的保障限縮在傳統的制度理解之下， 則不免受制於 既有的倫理評價， 而有桎梏或僵化婚姻自由保障之虞； 因此應確保婚姻制度內涵 在當代多元價值體系下持續演進的空間， 在民主憲政"
12,881,"婚姻與家庭為社會形成與發展之基礎， 受憲法制度性保障 (本院釋字第三六二號 、 第五二號、 第五四號及第六九六號解釋參照） 」。 此 外 ， 釋字第365號解釋理由書表示： 「 『 中華民國人民， 無分男女、 宗 教 、 種 族 、 階 級 、 黨 派 ， 在法律上一律平等』『 "
13,949,"分別情形給予適度之法律保障」 。 該號解釋理由書指出「查系爭規定就配偶間財 產權之移轉免徵贈與稅， 係立法者考量夫妻共同生活， 在共同家計下彼此財產難 以清楚劃分等現實情況， 基於對婚姻制度之保護所訂定，目的洵屬正當。 復查有 配偶之人於婚姻關係外與第三人之結合 ， 即使主觀上具"
14,66,"等保障之疑義， 亦難認其違反憲法第22條保障婚姻自由之意旨， 蓋迄今穩定的 釋憲實務所理解之婚姻仍為一夫一妻之異性婚姻制度。 14"
