pdf_page,chars,preview
1,408,"釋字第 詹森林大法官提出 本解釋認為， 行政罰法第 規定 ，其中關於 檢察官所為命被告向國庫支付一定金額或向政府機關等機 構或團體提供義務勞務之緩起訴處分確定後，得 就同一行為 再處罰鍰 及持相同意旨之財政部 09600090440 違 憲。 本解釋又認為，行政罰法第 得扣抵緩起"
2,1046,"一、緩起訴處分所命被告應遵守或履行事項 依 刑事訴訟法第 項 規定， 檢察 官 依同法第 條之 項 規定 為緩起訴處分者 ，得命被 告於 不逾 檢察官所定緩起訴期間 （一 年以上 三 年以下） 之 一 定期間內 ， 遵守或履行 下列事項： （ 1 ） 向被害人道歉 （ 2 ） 立"
3,1084,"訴處分，繼續偵查或起訴 ； 於此情形 ， 被告已履行之部分， 不得請求返還或賠償。 緩起訴處分所命應遵守或履行 合計 8 種 事項 ， 可分為 「 公 益負擔 」及「非公益負擔」二類 ； 「非公益負擔」 ，又可區別 為「 以被害人為 相對人」及「無相對人」 。 公益負擔，包含 ："
4,620,"2. 無 相對人 ： （ 2 ）立悔過書，但非以被害人為相對 人 （ 6 ）完成戒癮治療等處遇措施 （ 8 ）預防再犯 所為之必要命令 （例如： 接受交通安全 或 環保 等 教育 之講習課程 等 ） 二、緩起訴處分 所命被告應遵守或履行事項 之性質 （一） 本解釋所持見解 就緩起"
5,1099,"（二） 本解釋見解之商榷 1. 行政罰法第 ： 「刑罰優先行政罰 原 則 」 、 「一行為不二罰原則」 按 行政罰法第 規定 ： 「 （第 1 項）一 行為同時觸犯刑事法律及違反行政法上義務規定者， 依刑事法律處罰之。但其行為應處以其他種類行政罰或得沒 入之物而未經法院宣告沒收者"
6,958,"經法院 依刑法宣告 沒收者，則仍得裁處該其他種類之行政罰 或沒入該物。 因此，本於行政罰法第 26 條第 項，而主張我 國業已承認刑罰與行政罰為同種類（或具相同性質）者，有 一行為不二罰原則之適用， 應屬有 據 。 此外， 為貫徹前述行政罰法第 優先行政罰」之意旨 ，並避免人民之"
7,786,"年後， 於 年 月 始公布 之行政罰法第 條第 定所稱之檢察官處分， 卻僅限於不起訴處分，而 未包含緩起 訴處分在內。實務因而發生下列爭議：檢察官為緩起訴處分 並依刑事訴訟法第 1 行一定事項者，於該緩起訴處分確定，且被告通常業已遵守 或履行緩起訴處分書所命事項 之後 ，是否仍有"
8,713,"認為應區分緩起訴處分負擔的種類。另關於時間點的問題， 發言之委員似均贊成不必等期滿才做行政罰，而是在緩起訴 處分確定，即可進行政 罰 程序。本次會議意見係供參考， 不作成結論。」 其後 ， 財政部以 96 年 1 月 29 日台財稅字第 09604505140 號函，向法務部詢問"
9,737,"（ 2 ） 行政罰法 第 條、第 法務部鑑於 同一行為經檢察官緩起訴處分並命被告遵 守或履行一定事項後，就同一行為是否仍得 依違反行政法上 義務規定裁罰，實務爭議不斷，遂起草 修正 行政罰法第 條 第 ，並於同條增訂第 修正， 乃 一併修正同法第 條。 全部 修正條文經立法院 於"
10,642,"事部分移送該管司法機關。 （第 2 項）前項移送案件，司法機 關就刑事案件為不起訴處分、 緩起訴處分 確定或為無罪、免 訴、不受理、不付審理、 不付保護處分、免刑、緩刑、撤銷 緩刑之裁判確定，或撤銷緩起訴處分後經判決有罪確定 者 ， 應通知原移送之行政機關。 （第 3 項） 前二"
11,721,"（ 1 ） 依前開會議結論，檢察官為緩起訴處分時 ， 依刑事訴 訟法第 ， 對被告所為之指示及課 予之負擔，係一種特殊的處遇措施，並非刑罰。然而， 何謂「特殊的處遇措施」？有何「特殊」？與何種其他 處遇措施相比之下，該指示及負擔顯現「特殊」？本會 議結論並無任何理由，實不足以服人"
12,634,"所稱之「附條件緩起訴 」 ） ，被告即有應遵守或履行 該指 示或負擔之義務與壓力 ； 此與不起訴 處分 之情形，顯有 極大差異。而且， 一般老百姓，尤其受不起訴與緩起訴 處分之被告本人， 絕對 能 輕易感受其差異。 （ 4 ） 綜上，法務部前開結論 及本解釋上開解釋理由 ， 論證"
13,679,"一定金額 ）及第 提供義務勞務 ）所定事項（以 下合稱應履行之負擔） ，而 認為 ： （ 1 ） 應履行之負擔，並非刑法所定之刑罰種類，而係檢察 官本於終結偵查之權限，為發揮個別預防功能、鼓勵被 告自新及復歸社會等目的 ， 審酌個案情節與公共利益之 維護，經被告同意後，命其履行之"
14,622,"（本解釋理由書第 2 依 本席 所見，本解釋前開理由，尚待商榷，詳如下述： （ 1 ） 本解釋選擇刑事訴訟法第 告應遵守或履行合計 於不問，固可以其餘 為依據，但 此種「鋸箭式」處理法，能否 處理 將來對附 該其餘 之憲法解釋 聲請案，已非無 疑。 此由本解釋理由訴諸該 項應履行"
15,760,"緩起訴如附有應遵守或履行之事項 ， 並經被告完全遵守 或履行者 ， 更等同於法律上已命被告承擔應負之刑事責 任。 又，緩起訴處分期滿未經撤銷者，有實質之確定力， 非有刑事訴訟法第 260 條規定之情事 ， 不得再行起訴 ， 亦即有禁止再訴之效力 。 此時之已確定緩起訴處分， 與確"
