pdf_page,chars,preview
1,762,"臺灣苗栗地方法院解釋憲法聲請書 聲請人臺灣苗栗地方法院 承審法官蔡志宏 上聲請人因審理100年度交聲字第403號等3件 ， 違反道路交通管理 處罰條例聲明異議案件， 對於應適用之法律， 依合理之確信， 認 爲 有 牴觸憲法之疑義 > 茲提出客觀上形成確信法律 爲 違憲之具體理由，"
2,818,"以適當施行日期之指定以供人民或行政機關預先準備應變， 倘經 比較修正前後規定， 修正後規定確實不利於人民， 則其溯及既往 即已侵害人民應受保障之既得權益或合理信賴預期， 應自解釋公 布之日起， 不再適用， 並回歸法律不溯及既往原則。 上開修正前 後規定之比較， 應由行政機關或法院"
3,733,"贰 、 疑義之性質與經過， 及涉及之憲法條文 一 、 疑義之性質與經過 ( 一 ） 各原因案件案號 本件解釋憲法聲請之原因案件， 爲 臺灣苗栗地法院100年 度交聲字第403、 404號 、 101年度交聲字第8 號違反道路 交通管理處罰條例聲明異議案件。 ( 二 ） 各原因案^"
4,839,"甲 、 對於系爭違憲法律之閱釋 1 、 行政 罰法第26條第1 項規定： 「 一 行 爲 同時觸犯刑事法律及 違反行政法上義務規定者， 依刑事法律處罰之。 但其行 爲 應 處以其他種類行政罰或得沒入之物而未經法院宣告沒收者， 亦得裁處之」此係一行 爲 不二罰原則之宣示規定， 並肯"
5,847,"3 、 又同條第3 項至第5項規定： 「 第一項行 爲 經緩起訴處分或緩 刑宣告確定且經命向公庫或指定之公益團體、 地方自治團 體 、 政府機關、 政府機構、 行政法人、 社區或其他符合公益 目的之機構或團體， 支付一定之金額或提供義務勞務者， 其 所支付之金額或提供之勞務， 應"
6,938,"爲 不二罰之原則」作 爲 違憲審 査 基準， 是^-行 爲 不二罰」 原則已然具有憲法位階， 無待詞費。 2 、 據上開釋字第503號解釋所 閲 釋〃一行 爲 不 二罰」 原則之適 用範圍， 應以其處罰之性質與種類是否不同 爲 核心判斷標 準 。 倘同一行 爲 之兩次以上處罰， "
7,807,"相互折抵， 而可能規避上開實體面向要求， 但其二次處罰程 序之進行， 仍違反程序面向之雙重危險禁止要求， 自應不得 爲 之。 丙 、 確信系爭法律違反該憲法規範之論證 1 、 附有公益性負擔之緩起訴處分或緩刑宣告， 其所可能附加之 負擔包括： 向公庫或指定之公益團體、 地方自治團"
8,845,"4 、 承 上 ， 公益性負擔之種類與性質， 不僅在實質上與刑罰均相 同 ， 且行政罰法第26條第3 項至第5 項更規定其得以折抵行 政罰鍰， 此一折抵關係， 等同直接從法律上承認兩者 （ 即 公益性負擔與行政罰鍰 ） 具有相同之性質與種類， 否則如 何得以折抵？既然如此， 揆諸"
9,793,"而認 爲 不得以行政罰重複裁罰 （ 該論文第279頁 ） 。 以上論文 內 容 ， 更加深化了聲請人原來違憲之確信， 足認本件各該原 因案件， 確有停 I . 卜.訴訟， 聲請解釋憲法之必要， 以維憲法秩 序 。 ( 二 ） 關第二項請求解釋 甲 、對於系爭違憲法律之闡釋 1 、"
10,819,"項所規定「 緩起訴處分確定不受一行 爲 不二罰原則保護」 （ 詳 如第一項請求解釋中「 對於系爭違憲法律之闡釋」項下所述 ) 之意， 否則倘緩起訴處分確定即受一行 爲 不二罰原則保護， 根本無從再行裁處行政罰鍰， 又何從以緩起訴處分所附公益 性負擔折抵行政罰鍰？ 是依系爭條項規定"
