pdf_page,chars,preview
1,830,"臺灣苗栗地方法院解釋憲法聲請書 聲 請 人 ： 臺溽苗栗地方法院 承審法官： 陳文貴 聲請人因審理本院101年度交字第13號行政訴訟交通裁決事件， 對 於應適用之法律， 依合理之確信， 認 爲 有牴觸憲法之疑義， 茲提出客 觀上形成確信法律 爲 違憲之具體理由， 聲請憲法解釋如下"
2,867,"貝 IJ ， 應自解釋公布之日起， 失其效力。 貳 、 聲請疑義之性質與經過並所涉及之憲法條文 一 、 本案疑義之性質與經過 (一） 原因案件案號 本件解釋憲法聲請之原因案件’ 爲 臺灣苗栗地法院行政訴訟 庭 101年度交字第13號行政訴訟交通裁決事 件 。 (二） 原因案件之性"
3,900,"保護原則」， 致生違憲之疑義。 二 、 本案所涉及之憲法條文 . 憲法第23條 、司法院大法官釋字第503號 、 第 604號解釋所闡 釋 之 「 一行 爲 不二罰原則」， 釋字第525號 、 第 589號解釋所闡 釋 之 「 信賴保護原則」， 行政訴訟法第178條 之 1 。 "
4,963,"司法之公權力作用均應 S 卽胄於憲法， 而憲法之目的不外乎 爲 達成 國家的一個整體目的， 這種憲法公權力行使之作用， 雖然劃分由 行 政 、 立 法 、 司法分別行使， 但是公權力僅有一個的本質， 殆不 可改 變 。 (二 ） 實質的法治國家之任務不僅是在危險防止而已， 同時亦"
5,997,"罰 ， 顯屬形式且亦屬極端機械式之法學解釋。 況檢察官所 爲 緩起 訴處分之命令， 如屬刑事訴訟法第253條 之 2 第 1 項第 4 款 「 向 公庫或該管檢察署指定之公益 圑 體、 地方自治團體支付一定之金 額 」， 及 第 5 款 「 向該管檢察署指定之政府機關、 政府機構"
6,973,"government ) 依據授權及有罪判決， 有意使被告承擔痛苦或者是 其他通常人認 爲 是不愉快的後果時， 此人有可能被認 爲 是遭受了 刑 罰 ， 儘管所繳納的罰款（ fine ) 是不充分的， 但罰款一般被認 爲 是不愉快的後果； 同理定罪後的強制公共服務也是刑罰3。 檢"
7,877,"法一行 爲 不二罰原則。 二 、 關於第二項對於系爭違憲法律之閨釋 行政罰法第45條 第 3 項 規 定 ： 「 本法中華民國一百年十一月八日 修正之第二十六條第三項至第五項規定， 於修正施行前違反行政 法上義務之行 爲 同時觸犯刑事法律， 經緩起訴處分確定， 應受行 政罰之處罰"
8,1663,"示: f ■法無明文規定不 爲 罪， 法無明文規定不處罰」 ( nulum crimen, nula poena sine lege scripta ) 4 5 6 ， 「 沒 有事先的立法警告， 就不存在 犯 罪 ， 也不存在刑罰 j ( The is no crime, no"
9,948,"由權之保障規定， 以及刑法第1 條之規定， 亦可得出同一結論， 無待再予推論。 因 此 ， 罪刑法定原則與禁止溯及既往次原則， 今 日迨已成 爲 民主法治國家制裁法之基本原則， 且係憲法原則， 自 無庸置疑。 (三 ） 罪刑法定原則禁止立法者制定事後法條款， 溯及既往的予 以制裁"
10,939,"命履行刑事訴訟法第2甲 - 之 2 . 第 } 項第4 款及第5 款之條件時， 司法實務上業已認 爲 係^受彳•目當於刑罰之制裁， 不得再裁處行政 罰 緩 ， 迨已成 爲 定論 U t li 灣 赛 等法院:96年法律座談會刑事 類 提 案 第 36號、 9 4 度 法 津 刑 "
11,49,"中 華 1 栗地方法院行政訴訟庭 法官陳文鳧 2 書記官廖仲一 L ： > 1 月 3 曰 1"
12,782,"臺灣苗栗地方法院併案聲請解釋憲法聲請書 聲 請 人 ： 臺灣苗栗地方法院 承審法官： 陳文貴 聲請人因審理本院102年度交字第35號 、 102年度交字第51號 行政訴訟交通裁決事件， 對於應適用之法律， 依合理之確信， 認 爲 有 牴觸憲法之疑義， 且客觀上有確信法律 爲 違憲"
13,550,"庶 民 ， 惟渠等雖不能正確陳述法律用語， 然 尙 且能知所主張， 可見一 行 爲 不二罰與法律不溯及既往， 乃現代法治國家法律原則之基本常識 ( comonsense ) ，適用上如欲除外規定’ 自應從嚴解釋， 否 則 「 原 則反成例外， 例外反客為主， 法律原則即蕩無所依存"
