pdf_page,chars,preview
1,701,"臺灣桃園地方法院解釋憲法聲請書 聲請人臺灣桃園地方法院 承審法官周玉蕈 【 案件當事人： 1.101 年交字第42號 原告陳彥斌 被告交通部公路總局新竹區監理所（ 代表人張朝陽) 代 理 人 黃 玫 雀 （ 中壢監理站 ） 2 .10 2年交字第7號 原告王恩婷 被告交通部公路總"
2,802,"行政罰法第45條第3 項規定：「 本法中華民國 1 0 年 1 月8 曰修正之第26條第3 項至第5 項規定， 於修正施行前違反行 政法上義務之行為同時觸犯刑事法律， 經緩起訴處分確定， 應受行政罰之處罰而未經裁處者， 亦適用之； 曾經裁處， 因 訴願、 行政訴訟或其他救濟程序經"
3,1153,"填製舉發通知單， 嗣經交通部公路總局新竹區監理所（ 下稱 新竹區監理所 ） 於 1 0 1 年2 月 1 5日以壢監裁字第裁53 - DB 279 0 號裁決書， 裁處原告罰鍰新台幣（ 下同 ） 45, 0 元 ， 吊 扣駕駛執照 1 2個 月 ， 並應參加交通講習（ 見桃院 1"
4,1040,"定標準（ 0. 5 mg / L 以上 ） 」之違規情事， 遂於 1 0 1 年 1 2月 1 9 日開立壢監裁字第裁53 - DB 2485729號裁決書（ 見桃院 1 0 2交 7 卷第7 頁 ） ， 裁處原告罰鍰45, 0 元 ， 記違規點數5 點 ， 並應參加道路交通安全"
5,836,"則 ， 獲得撤銷罰鍰處分之救濟， 且已形成相當普遍之法律秩 序 ， 而對行為人有正當合理信賴基礎。 未 料 ， 行政罰法於 1 0 0 年 1 月8 日修正， 將此類案件排除一行為不二罰原則之保 護 ， 並使其溯及既往適用於修法前行為， 且全無過渡條款之 設 計 ， 因而產生違反"
6,870,"非刑罰。 故一行為同時觸犯刑事法律及違反行政法義務規 定 ， 經檢察官為緩起訴處分確定後， 行政機關自得依違反 行政法上義務規定裁處， 此為現行條文第2 項之當然解釋 。 惟因實務上有不同見解， 爰於第2 項增訂「 緩起訴處分 確定」之文字， 以杜爭議； ⑵第一項行為如經緩刑之裁"
7,850,"緩起訴處分或緩刑宣告， 排除於一行為不二罰之適用範圍 。 是此項有違憲疑義之法律規定，已不存在任何使附公益 性負擔之緩起訴處分或緩刑仍有適用一行為不二罰原則之 合憲解釋空間， 否則形同法官未經釋憲， 即行拒絕有效法 律之適用。 乙 、 對據以審 査 之憲法規範意涵之說明 1 . "
8,876,"例原則。申言之， 既然實體上不能給予重複處罰， 程序上 之雙重危險即顯無必要， 而欠缺正當性。 從 而 ， 同一行為 在法律上分別有性質、 種類相同之二次處罰規定， 縱然可 因相互折抵， 而可能規避上開實體面向要求， 但其二次處 罰程序之進行， 仍違反程序面向之雙重危險禁止要求，"
9,884,"處罰之替代作用， 實質上與刑罰性質相同。 4, 承 上 ， 公益性負擔之種類與性質， 不僅在實質上與刑罰均 相 同 ， 且行政罰法第26條第3 項至第5 項更規定其得以折 抵行政罰鍰， 此一折抵關係， 等同直接從法律上承認兩 者 （ 即公益性負擔與行政罰鍰 ） 具有相同之性質與種"
10,815,"更加深化了聲請人原來違憲之確信， 足認本件各該原因案 件 ， 確有停止訴訟， 聲請解釋憲法之必要， 以維憲法秩序 ㈡ 關於第二項請求解釋 甲 、 對於系爭違憲法律之闡釋 1 . 行政罰法第45條第3 項規定：「 本法中華民國 1 0 年 1 月 8 曰修正之第26條第3 項至第5"
11,875,"行為不二罰原則保護， 根本無從再行裁處行政罰鍰， 又何 從以緩起訴處分所附公益性負擔折抵行政罰鍰？是依系爭 條項規定適用之結果， 對於修正前之行為， 經緩起訴處分 確 定 ， 但尚未經裁處者， 均須依修正後之第26條第2 項再 行裁處， 如該緩起訴處分附有公益性負擔， 再依修正後"
12,813,"將法律溯及既往適用。 3 . 法律修正之溯及既往， 究竟有無侵害受規範人民之權益， 應由法律修正前後之整體法律秩序有無變動加以客觀判斷 ， 並非單純比較法律修正之文義或由立法者主觀判斷。 換 言 之 ， 法律修正前後之整體法律秩序已經改變， 受規範人 民之權益在修正前後已有不同，"
13,879,"2, 由於修正前行政罰法第26條第2 項並無「 緩起訴處分確定 」之文字， 究竟同一行為在經檢察官緩起訴處分確定後， 得否再行政裁罰， 容有解釋空間。 此在權力分立之國家權 力作用分工下， 本委由法院以其法續造功能加以闡釋確定 。而依聲請人職務上所已知， 在臺灣桃園地方法院轄 内"
14,859,"語 ， 可見其端倪。 此亦所以系爭條項之溯及既往適用， 並 未以明文指定包括第26條第2 項在 内 （ 但解釋上須包括在 内 ， 而無其他解釋空間，已如前所述 ） ， 蓋其認為修正前 之行為， 經緩起訴處分， 適用第26條第2 項再行裁罰， 乃 屬當然解釋， 此次修法加列「 緩起"
15,804,"未必相同， 故本項請求解釋並未無條件地請求宣告系爭條 項違憲， 而係委由各行政機關及法院在具體個案令， 基於 既有法律秩序之形成狀況而決定是否不予適用系爭條項規 定 。 前開說明， 僅就臺灣桃園地方法院所轄為立論， 用以 明確闡述系爭條項適用於臺灣桃園地方法院之管轄案件（ 舉附件"
16,158,"件裁定網路列印本（ 關於一事不兩罰部分 ） 。 附件二、 陳文 贵 著，「 違反行政義務行為之處罰競合關係研究」 ， 101 年 1 月， 博士論文節本（ 含論文封面、 提要、目 錄及 内 文第269至第287頁 ） 。 此 致 司法院大法官 中 華 民 國 1 0 2 年 8 "
17,763,"臺灣桃園地方法院解釋憲法聲請書 聲請人臺灣桃園地方法院 承審法官周玉羣 【 案件當事人： 1.10 2年度交字第2 0 號 原告梁鄭有 、 被告交通部公路總局新竹區監理所（ 代表人張朝陽 ） 2 .10 2年度交字第55號 原告江瑞枝 被告交通部公路總局新竹區監理所（ 代表人張朝"
18,839,"金額之金錢， 或提供一定時數之義務勞務， 均導致同一行為 於實質上先後遭受刑事及行政法律之雙重處罰， 有違法治國 家一行為不二罰之原則， 此不因同條第3 項 、第4 項規定其 公益性負擔得以折抵行政罰鍰而有異。 況該折抵而裁處差 額之規定， 亦係源自道路交通管理處罰條例第35條第"
19,983,"一 、 疑義之性質與經過 ㈠ 原因案件案號 本件解釋憲法聲請之原因案件， 為臺灣桃園地方法院 1 0 2年 度交字第2 0 號 、 1 0 2年度交字第55號等二件交通裁決事件之 行政訴訟案件。 ㈡ 原因案件之性質與經過 1 , 桃院 1 0 2年度交字第2 0 號 ： 桃園縣政"
20,1010,"35條第 1 項第 1 款規定， 開立桃警局交字第 DB 235578 0 號舉 發違反道路交通管理事件通知單， 記載應到案日期為99年 1 2 月24日前。而原告上開酒後駕車行為， 經桃園地檢署檢察官 於 1 0 年 1 月23日以99年度偵字第32362號為緩起訴處分， 諭知"
21,844,"在 1 0 1 年7 月各地院成立行政訴訟庭之前， 受處分人對此類 事件不服之救濟程序係向刑事庭聲明異議 ） ， 於臺灣桃園地 方法院轄 内 ， 均以違反「 一行為不二罰」原 則 ， 獲得撤銷罰 鍰處分之救濟， 且已形成相當普遍之法律秩序， 而對行為人 有正當合理信賴基礎。 未 "
22,868,"訴處分時， 依刑事訴訟法第253之2 第 1 項之規定， 對被 告所為之措施及課予之負擔， 係一種特殊之處遇措施， 並 非刑罰。 故一行為同時觸犯刑事法律及違反行政法義務規 定 ， 經檢察官為緩起訴處分確定後， 行政機關自得依違反 行政法上義務規定裁處， 此為現行條文第2 項之當"
23,924,"務得於裁處罰鍰 内 扣抵， 即僅就該差額部分裁處繳納即可 ， 而該部分規定即係源自道路交通管理處罰條例第3 5條第 8 項 。 是 查 ， 立法者顯然亦發覺在某些違規及違法的刑事 個案中， 出現有罰金刑輕於法定最低罰鍰之情形， 惟此本 應藉由修正刑法第 1 85條之3 法定罰金刑"
24,865,"路交通管理處罰條例第35條第8 項規定， 均明顯違反憲法 律規定， 文義 内 容清楚明白， 經由立法理由之說明’ 並搭 配行政罰法第3 項至第5 項之規定， 可明確知悉立法者已 展現強烈意志， 將附有公益性負擔之緩起訴處分或緩刑宣 告 ， 排除於一行為不二罰之適用範圍。 是此項有"
25,874,"煎 熬 ， 同一行為既然在實體上不應給予重複處罰， 在程序 上即不應給予雙重危險。而在我國憲法上之依據， 則可求 諸正當法律程序（ 釋字第384號解釋 ） 及憲法第23條之比 例原則。申言之， 既然實體上不能給予重複處罰， 程序上 之雙重危險即顯無必要， 而欠缺正當性。 從 而 "
26,887,"緩起訴處分或緩刑期滿後， 即有與不起訴處分確定之同一 效 力 （ 刑事訴訟法第26 0 條參照 ） ， 或發生刑之宣告失其 效 力 （ 刑法第76條 ） ， 是公益性負擔之履行， 具有刑事處 罰之替代作用， 實質上與刑罰性質相同。 4 . 承 上 ， 公益性負擔之種類與性質， 不"
27,820,"部 分 ， 該論文亦以緩刑乃在救濟自由刑之流弊而設， 為宣 告刑之一種特別執行方式， 其本質仍為刑罰， 而認為不得 以行政罰重複裁罰（ 該論文第279頁 ） 。 以上論文 内 容， 更加深化了聲請人原來違憲之確信， 足認本件各該原因案 件 ， 確有停止訴訟， 聲請解釋憲法之必要，"
28,862,"第26條第2 項所規定「 緩起訴處分確定不受一行為不二罰 原則保護」 （ 詳如第一項請求解釋中「 對於系爭違憲法律 之闡釋」項下所述 ） 之 意 ， 否則倘緩起訴處分確定即受一 行為不二罰原則保護， 根本無從再行裁處行政罰鍰， 又何 從以緩起訴處分所附公益性負擔折抵行政罰鍰？是依"
29,818,"理信賴。未溯及既往尚且如此， 則將法律溯及既往，自應 有更高之信賴保護要求， 與更強之實質正當基礎， 以確保 通過合憲性之檢驗， 否則即不能藉口立法形成自由， 任意 將法律溯及既往適用。 3 . 法律修正之溯及既往， 究竟有無侵害受規範人民之權益， 應由法律修正前後之整體法律秩序"
30,845,"無從適用同條第3 至5 項 ） ， 規定雖然明確， 但其理由只 有 「 宜一律適用」 ， 顯然欠缺實質正當之溯及既往基礎， 無法通過信賴保護之憲法原則檢驗。 2 . 由於修正前行政罰法第26條第2 項並無「 緩起訴處分確定 」之文字， 究竟同一行為在經檢察官緩起訴處分確定後， 得"
31,860,"及違反行政法上義務規定， 經檢察官為緩起訴處分確定後 ， 行政機關自得依違反行政法上義務規定裁處， 此為現行 條文第二項之『 當然解釋』 。」 ， 其所用「 當然解釋」一 語 ， 可見其端倪。 此亦所以系爭條項之溯及既往適用， 並 未以明文指定包括第26條第2 項在 内 （ 但解"
32,859,"經由反覆裁判， 所形成相當普遍之既有法律秩序」 ， 而法 院裁判係以管轄權存在為前提， 各法院對於相同案件， 是 否經由一致性裁判， 形成相當普遍之既有法律秩序， 可能 未必相同， 故本項請求解釋並未無條件地請求宣告系爭條 項違憲， 而係委由各行政機關及法院在具體個案中， 基於 "
33,407,"肆 、關係文件之名稱與件數 附件一： 桃園地院 1 0 2年度交字第2 0 號全案卷證及停止訴訟裁定 1 份 ， 及桃園地院 1 0 2年度交字第55號全案卷證及停止 訴訟裁定 1 份 。 附件二： 陳文貴著，「 違反行政義務行為之處罰競合關係研究」 ， 1 0 1 年 1 月 "
34,684,"釋憲聲請書 聲請人臺灣桃園地方法院 行政訴訟庭昭股法官周玉羣 【 案件當事人： 原 告謝明東 被 告交通部公路總局新竹區監理所 代表人張朝陽 訴訟代理人卓玉琦 上聲請人因審理 1 0 2年度交字第245號違反道路交通管理處罰條 例之交通裁決案件， 對於應適用之法律， 依合理之確信"
35,825,"於實質上先後遭受刑事及行政法律之雙重處罰， 有違法治國 家一行為不二罰之原則， 此不因同條第3 項 、第4 項規定其 公益性負擔得以折抵行政罰鍰而有異。 況該折抵而裁處差 額之規定， 亦係源自道路交通管理處罰條例第35條第8 項之 規 定 ， 該規定明定在行為人已受刑事判決罰金刑"
36,976,"卜)原因案件案號 本件解釋憲法聲請之原因案件， 為臺灣桃園地方法院 1 0 2年 度交字第245號交通裁決事件之行政訴訟案件。 原因案件之性質與經過 1 . 原告謝明東於99年 10 月24日22時 1 4分 ， 駕駛〇 〇 - 〇 號自用 小客車， 行經大園鄉埔心街52號 前 "
37,850,"刑法第 1 85之3 之不能安全駕駛罪， 及違反道路交通管理處 罰條例第35條第 1 項酒後駕駛酒測值超標違規， 經檢察官為 緩起訴處分附以公益性負擔後， 復遭被告新竹區監理所再行 裁 罰 ， 而依法提起行政訴訟請求司法救濟。 原於行政罰法 1 0 0 年 1 月8 日修正前， "
38,872,"定裁處之。」 ， 此規定則對於前項一行為不二罰原則設定 排除適用之對象， 其中涉及本件釋憲聲請爭點之「 緩起訴 處分確定」及 「 緩刑之裁判確定」遭排除適用， 係 1 0 年 1 月8日修法時所增訂， 其立法理由分別為： ⑴緩起訴處 分之性質， 實屬附條件之便宜不起訴處分， 檢察"
39,916,"銷確定。」 。由此顯見， 同條第2 項所規定不受一行為不 二罰原則保護適用之「 緩起訴處分」 、「 緩刑」 ， 係有意 包括實務上常見之附公益性負擔之緩起訴處分及緩刑， 否 則同條第3 項至第5 項將無毫無適用餘地。 4 . 而上開行政罰法第3 項雖規定已支付之公益金或提供之勞 "
40,869,"使立法者在修改行政罰法第26條第2 項將緩刑、 緩起訴排 除於刑事處罰外時， 得以藉口已於第3 項 、第4 項規定與 道路交通管理處罰條例第35條第8 項規定相同得繳補差額 部 分 ， 來迴避一事不兩罰之憲法概念。 5 . 據上所述， 行政罰法第26條第2 項 、 第3 項 、第"
