pdf_page,chars,preview
1,482,"釋憲聲請書 處罰案件， 為原告酒後駕車之違規案件。 被告機關 c 新竹區監理所， 壹 、 聲請解釋憲法之目的： 聲請人審理一 0 —年度交字第九四號苗千璇違反道路交通管理 現業務由桃園市政府交通裁決處承受） 依據行為時之道路交通管理處 罰條例第三十五條第一項第一款、 第八項（ 前"
2,647,"後駕車（ 經警方酒精濃度呼氣檢測值為零點九三 MG / L ) ， 且已距駕駛 DB 246632 0號舉發違反道路交通管理事件通知單（ 下稱舉發通知單） ， 壢監裁字第裁5 3 — DB 246632 0號裁決書（ 下稱原處分） 裁處原告罰鍰 一 、 疑義之性質與經過： 原告於"
3,614,"罰鍰二萬四千八百五十元， 並填製壢監裁字第裁5 3- DB 246632 0號裁 期滿， 被告依行為時道交條例第三十五條第八項規定， 繳納不足最低 決書， 該裁決書並於一 0 —年十一月十四曰送達原告。 嗣原告不服， 遂向本院提起行政訴訟。 查原告對於客觀違法事實並不爭執， 惟質"
4,600,"之機構或團體， 支付一定之金額或提供義務勞務者， 其所支付之金額 或提供之勞務， 應於依前項規定裁處之罰鍰 内 扣抵之」 。 被告並指出行政罰法第二十六條關於一事不二罰之規定， 顯見上 開處罰條例規定之立法目的係考量適用行政罰法第二十六條後， 在酒 後駕車違規應受刑事處罰者， 避"
5,584,"聲請人認為， 本件原告的違規行為是在九十九年七月二十一曰， 行政罰法第二十六條第二至五項的增修係於一 0 年十一月二十三 曰修正施行（ 同年月二十五日生效）， 修正前第二項規定為「 前項行 為如經不起訴處分或為無罪、 免訴、 不受理、 不付審理之裁判確定者， 得依違反行政法上義務"
6,601,"3. 第一項行為如經免刑或緩刑之裁判確定， 因法院為免刑或緩刑 宣告所斟酌者， 係情節輕微、自首、 難以苛責、 行為人年紀尚輕而給 予自新機會或維護親屬間家庭和諧關係等因素， 無庸斟酌行為人所違 反行政法上義務規定之立法目的。 故為兼顧該等法律立法目的之達成， 並考量經免刑或緩刑"
7,586,"同一行為再課以行政罰鍰（ 參見九十六年 H — 月二十八曰臺灣高等法 院暨所屬法院九十六年法律座談會第三十六號提案研討結論）。 特別 是道交條例第三十五條第八項有所謂補足差額規定， 依其文義僅適用 於審判程序， 增訂緩起訴處分確定， 顯然是為了「 彌補」 偵審程序的 不一致： 審"
8,623,"務勞務時數核算」 ； 「 依第二項規定所為之裁處， 有下列情形之一者， '尤有甚者， 一 0 年 H — 月二十三日修正行政罰法第二十六條第 為裁處者， 亦同」；「（ 第四項）本法中華民國一否年 H — 月八曰修 由主管機關依受處罰者之申請或依職權撤銷之， 已收繳之罰鍰， 無息 "
9,770,"增 ; iT r ?政 削 潘 R 丨 / |:條第• :、 丨叩如<泣法邱山整邱如 K : 1. 修 TF 條 文 第 二 十 六 條 第 二 第 斤 項規 定 ， H 於修正施行前， 一行 爲 同時觸 犯 刑 ‘ 彳 〖 法 f ( 及違反彳]政法上茬務 规 定， 經檢察 宫"
10,824,"匕 七 、 t : . 號解釋， 均以不冽及既往 l i ; 以沾違憲審 卉 標 堆 。 二 、 涉及之憲法條文： 罰鍰處分涉及人民依憲法第十五條保障之財產權。 道交條例第三 十五條第八項就同一行為經刑事處罰後， 尚須補繳行政罰鍰差額的 規定， 以及修正後行政罰法第二十六條第二項"
11,590,"參 、 聲請解釋憲法之理由及聲請人對本案所持之立場與見解 一 、 刑事罰及行政罰併存且交錯之法制現況 關於酒醉駕車之處罰， 現行法制採「 刑罰」與 「 行政罰」 併存的 規定。 前者即刑法苐一百八十五條之三之「 醉態駕駛罪」， 後者主要 指道路交通管理處罰條例第三十五條第一項第一"
12,1025,"條之一第一項規定， 此處法定刑「 十五萬元」 之貨幣單位為「 新臺幣」 ， 修 I . i 始叻用 f '酺精 谪 度過墩， 此較明確的法汴 槪 念 1 肷捫後 M ； 丨 i m A 捫 f i 1 丨 成份超過 毎 公升〇 . 二 i 毫 兑 以 上 者 ， 个 r m i "
13,1014,"行為同時觸犯刑事法律及違反行政法上義務規定者， 依刑事法律處罰 以 H if 晰 卜 / ! . 條 ; : ( i 切中 … ！ i 丨 _ ■ !丨 彳 • 應 此 丨 挪 丨 | m i o 之效氺 爲 m ( 行焱 跗敏貌 細 继 以蘄 镞 幣六 鸹 ^§鍰） . 始 爲"
14,764,"人， 以其所駕 驶 者為機器腳踏車、 小型車及大型車種， 及區分 ：（一 ） iV , ft 數!以 3 」 () 件， 被: 1, 人 败 W 6 !人 '卯遊 fitifl 讣 川!以力沁之丨 7.4 :處拘役柯 丨 分 之 u i 川 1 以卜 ― 心 1 丨 1 ! 匕 "
15,596,"困擾， 例如假釋中的受刑人只因為一次單純酒駕刑罰， 因為一定是有 期徒刑以上之刑， 很可能就面臨被撤銷假釋重新入監的命運。 當然這 又涉及撤銷假釋法律不符比例原則， 不重視受刑人聽審權的另外一個 違憲命題 以原因案件當時的法律現狀， 單就罰金刑部分， 立法者顯然發覺 在刑事個案出"
16,714,"如此結果造成行政裁罰與否及數額若干， 竟須待刑事法處罰體系 法律程序原則」 （ due proces of law ) ， 確 立 「 同一行為不得重覆 原則」與訴訟法上之一事不再理原則、 歐洲法傳統上的 ne bis in idem 原則以及美國法上的 double jeopa"
17,602,"則） 關係密切， 但仍非完全相同之概念 。 nebis in idem 原則與 double j copard y 原則意義相當， 追溯其理念史， 可知係適用於刑事程序法 上之概念， 即禁止就同一違法行為， 為重複之刑事訴追與處罰， 是其 概念相當於我國刑事訴訟法上之一事不再理原"
18,604,"罰， 始符一行為不重覆處罰之法治國基本原則（ 參見司法院大法官釋 字第五〇三號解釋、 六〇四號解釋意旨） 。 從 而 ， 如同一違反不作為 義務之行為， 同時科以罰金及罰鍰， 則從其一重處罰之罰金已足達成 處罰目的時， 即不得再執行政罰之罰鍰， 以符憲法保障人民權利之 意旨。 「"
19,620,"特別規定， 否則即應以刑事法律之處罰為優先， 且同時排除行政罰之 規定， 至於依刑事法律處罰之實質結果， 是否反而輕於行政法令之處 罰 ， 並非所問。 聲請人以為 ， 本條項不僅是宣示「 一行為不 二 罰」之憲法原則， 更是宣示「 刑事處罰優於行政罰」 、 「 刑事程序優先行政程"
20,567,"「 不起訴處分 J 、 「 無罪、 免訴、 不受理、 不付審理之裁判」者 ， 俱屬 2 0 附帶一提， 道交條例第三十五條第一項第一款之處罰種類， 尚有 「 當場移置保管其車輛」及 「 吊扣其駕 驶 執照一年」 處分， 究其處罰 性質， 前者罰鍰處分係對過去義務違反而為秩序罰之目"
21,576,"不處罰之行為， 依違反行政法上義務規定裁處， 自不致有一行為二罰 之意見， 認為二者可以併行且不相牴觸， 而無何者優先之問題 D n 办 离等坑院哿喵屬洗院 / 之情。 換言之， 所以得依行政罰法裁處， 係因為於刑事程序中之該被 告並未受到刑事處罰之效果。 惟實務上檢察官對於第一"
22,688,"分之禁止再訴效力 M 。 就此爭議， 有肯、 否見解及所謂折衷說， 也各 來由臺灣高雄地方法院所提出之法律問題係：「 行為人因酒醉駕車行 為遭緩起訴處分並附條件為捐款命令， 行政機關得否不待緩起訴處分 猶豫期間屆滿未經撖銷確定， 即對同一行為逕課予行政罰鍰」？ 換言 之， 此一提"
23,875,"甲 說 ： mi 說 。 1 起 訴 I 處分扑:屬刑罰。 異議人酒後駕車之行 爲 ， 雖屬一行 爲 M 時觸犯刑 事法律及違 R 行政法上義務， 然就刑事處罰部分已認定異議人確實冇體 内 原處分機關再依法 爲 行政裁處， 並無違反一事不二罰之原 m 。 至興議人捐 款 H u "
24,909,"訴處分之確定力 1 雖 打 政罰法第十六條第二項未將緩起訴處分納入， 然 n 態 ， 爲 判斷決定之準據（ 而既定之法制狀態係緩起訴處分已確定） M fl ] ’ 無從 慮及 H 後或 4 能發牛或不發屮之未定事實， 本案中緩起訴既5 確 定 ， 鬥應比 I - 六年度交抗字第二"
25,992,"處以丨〔 他破類行政罰外， 關於行政罰鍰部分 1 即應依行政訓 7 :沒 厂 . - I •六條、 政 罰 法 第 ： 十六條第二項所定不起訴等事由， 不得裁處行 爲 人罰鍰。 而 I :開 如 、 免 訴 、 不受埋、 不付審理之裁判確定者， 始得另 G 猓決處罰， 未明文 h"
26,874,"實則， 刑事處罰之程序及種類繁多， 解釋上自不限於「 刑事審判 行 爲 人隨時有受撤銷緩起訴再受刑事追訴之風險， 行政機關丨 Y 不得就同一事 山裁處行 爲 人罰鍰處分， 以免行 a 人 受 苻 $ 二罰之危險。 聲請再議後， 經上級法院檢察署檢察 K •駁 问 W 議者與確定之"
27,665,"程序」所決定之處罰， 偵查程序中之「 緩起訴處分」 （ 刑事訴訟法第 二百五十三條之一以下參見） ， 亦應包括在 内 。 蓋 所謂「 緩起訴處分」 是指雖然合乎起訴要件及門檻， 惟檢察官基於便宜原則的考量 （ 尤是 一般預防與特別預防之目的）， 課予被告一定的負擔或指示後， 予以"
