pdf_page,chars,preview
1,460,"釋憲聲請狀 聲 請 人羅喆強 龎玉華 黃紹業 共同代 理人文 聞律師 彭若晴律師 楊啟源律師 壹 、 鼙請解釋憲法之 目的： 請求貴院解釋臺北高等行政法院105年度訴字第1116號判決及 最高行政法院106年度裁字第377號裁定， 就聲請人因違反私立 學校法所適用之行政罰法第26"
2,1010,"民及學前教育署（ 下稱國教署 ） 補助特教班經費核銷事宂。案 經臺灣臺北地方法院檢察署（ 下稱臺北地檢署 ） 偵查認定聲請 人羅喆強等三人觸犯商業會計法第7 1 條第 1 款填載不實會計憑 證罪及刑法第2 1 5條業務登載不實文書罪， 考量聲請人羅喆強 5 等三人並無前科、 犯後"
3,762,"第 2 項所為之 缓 起訴處分， 倘經檢察官 谕 知命向公庫繳納一定 金額， 則其處罰方式與目的核與刑法之罰金無異， 即聲請人羅 喆強等三人已受到等同刑罰之制裁，自不應再以同一行為違反 行政法上義務規定為由， 另予行政裁處， 否則即違反一行為不 二罰原則。又檢察官考量聲請人羅喆強"
4,834,"W 、 向公庫支付一定金額， 並得由該管檢察署依規定提撥一 定比率補助相關公益團體或地方自治團體… 。」 (六 ） 私立學校法第80條第 1 項第2 款 ： 「 學校法人董事長、 董事、 監察人、 私立學校長、 主辦及經辦相關業務之人員， 執行 5 職務時， 致有下列情形之一者，"
5,705,"參、聳請解釋憲法之理由及聲請人對本案所持之•化場與見解 一 、 程序事項 (一 ） 司法院大法官審理案件法第5條 第 1 項第2 款 、同法第8 條 第 1 項： 查 ， 「 有左列情形之一者， 得聲請解釋憲法： …二 人 民 、 法 人或政黨於其憲法上所保障之權利， 遭受不法侵"
6,786,"原則及憲法第23條之比例原則、 法安定性原則與信賴保護原 則 ， 且行政罰法第2 G 條第2項規定， 亦違反憲法規定及貴 院大法官解釋， 對 此 ， 聲請人羅喆強等三人自得依前揭司法 院大法官審理案件法之相關規定， 聲請貴院大法官解釋憲 5 法 ， 殆無疑義。 二 、 實體事項 "
7,817,"r u ' i r sh n l 1 , - h t v p D i's n b e subject for th e S r i n i r ofense to be twice put in jeopardy of life or limb )') 我國 憲法第二十二條係 關"
8,822,"所支付之金額或提供之勞務， 應於依前項規定裁處之罰鍰 内 扣抵之。」行政罰法第26條第 1 至 3 項固定有明文。 (2)惟查， 聲請人羅喆強等三人上揭行為， 固經臺北地方法院檢 察署檢察官認定違反商業會計法第7 1 條 第 1 款填載不實會 5 計憑證罪及刑法第2 1 5條業務"
9,822,"5 人之行為該當刑法之罪 责 ， 但於綜合考景後， 認為不須起 訴 ，已足使聲請人羅喆強等三人受到教訓並知所警惕， 故為 附條件緩起訴處分之諭知。 然 ， 行政機關卻因此認定羅喆強 等三人之行為應另處更重之行政罰鍰處分， 如此一來， 反而 較檢察官未給予緩起訴處分， 而直接起訴之"
10,852,"分 ' 是否已充分反應聲請人之違法行為： ( 1 )按「 立法者0 得以法律規定行政機關執法人員得以連續舉發 及隨同多次處罰之遏阻作用以達成行政管制之目的， 但仍須 符合憲法第二十三條之比例原則及法律授權明確性原則。 鑑 5 於交通違規之動態與特性， 則立法者欲藉連續舉發以警惕及"
11,822,": 苎 w ， ; ’ j 十、 ， . 乂 、 变 及 拘 f 性 二 _原則， 而術景， 味原叫又梢 狭 義.之 比例原則•， 適當性指行為應適合於目的之達成； 必要性則謂 行為不超越實現目的之必要程度， 亦即達成目的須採影響最 輕 微— 之手段； 至衡量性原則乃指手段應按目"
12,735,"關再就帮請人羅蛣強等三人之同一行為， 再予裁罰， 則國家 對聲請人羅喆強等三人所造成之損害， 顯然已重於其欲達成 之行政目的， 而違反衡量性原則。 3.綜 上 ， 本件原處分機關於聲請人羅喆強等三人經檢察官命向 5 國庫繳納一定金額， 並論知緩起訴處分後， 就聲請人羅喆強 等三人"
13,784,"笄三人向网庫 缴 納一定金額之緩起訴處分確定， 則綮請人 羅喆強等三人於受國家之處罰後， 國家自不應另就聲睛人 羅喆強等三人之同一行為再施行其他制裁權， 而應維持法 秩序之安定， 否則即違反法安定性原則。 5 (2)又聲請人羅喆強等三人於檢察官依法定程序偵查終結， 並 經檢察官命"
14,794,"界•是以此等稃序悉 铒 審判 ' 處罰具冇不可分離之關係， 亦 即偵查、 泝追、 審判、 刑之執行均屬刑事司法之過程 1 其間 代表國家從事「 偵 査 i 「 訴 追 i 「 執 行 I 之檢察機關， 其所行 使之職權，目的既亦在達成刑事司法之任務， 則在此一範園 5 内 之國家"
15,811,"則市訴訟 轵 序所為= 之處罰， 始足當之又緩起訴4 分 忽忖 贸 ， 實屬附條件之便宜不起訴處分， 檢察官為緩起訴處分 時 ， 依刑事訴訟法第二百五十三條之二第一項規定， 對被告 所為之措施及課予之負擔， 係一種特殊之處遇措施， 並非刑 罰 。 故一行為同時觸犯刑事法律及違反行"
16,654,"戈原則等原則， 行政機關自無再就聲請人羅喆強等三人經檢 察官評價後， 為附條件緩起訴處分之同一行為， 另為評價， 並予裁罰之理 U 3.綜上， 本件行政罰法第26條第2 項所定「 前項行為如經…緩 5 起訴處分確定…者 ， 得依違反行政法上義務規定裁處之。」 ， 除違反司法院大法"
17,209,"函一 汾 。 附件四： 教育部 1 05年 3 月 24日臺教法（ 三 ） 字第 1 050030635號訴願 決定書 附件五： 臺北高等行政法院 1 05年度訴字第 1 6號判決。 5 附件六： 最高行政法院 1 06年度裁字第377號裁定。 中 華 民 國 1 06 年 6 "
