pdf_page,chars,preview
1,635,"解釋憲法聲請書 聲 請 人 ： 黃 麗 兒 送達代收人： 郭疆平律師 為聲請解釋憲法事： 一 、 聲諳解鞸憲法之目的： (一） 按人民、 法人或政黨於其憲法上所保障之權利， 遭受不法侵害， 經 依法定程序提起訴訟， 對於確定終局裁判所適用之法律或命令發生 有牴觸憲法之疑義者， 得"
2,743,"第09700286460號訴願決定：「 關於扣除額部分， 原處分機關應於 訴願決定書到達後2個月 内 作成復查決定。關於罰鍰部分， 原處分 (復查決定）撤 銷 ， 由原處分機關另為處分。」 。 嗣經財政部臺灣 省北區國稅局以97年9 月25日北區國稅法二字第0970014974號"
3,731,"有助於社會及政府之行為時， 給予免除租稅之優惠措施， 與 民法私法自治原則下， 雙方意思表示合意成立之贈與契約成 立 ， 稅捐稽微機關雖作成贈與稅之處分， 然非亦應作成核准 綜合所得稅捐贈扣除之處分， 仍應客觀具體判斷， 查核該贈 與契約及行為是否符合稅法中捐贈扣除之公益目的， "
4,685,"〇。 . 」及 「 o 」之納稅義務人， 其等實際僅支付預定捐贈 金額2 成左右不等價額， 再經由被告〇。〇等人交付由石碇 鄉公所出具感謝函、 感謝狀及〇〇 ◦ 〇 ◦ 、〇〇〇〇 . 開 立不實金額之發票予高所得之納稅義務人， 使其等得於申報 綜合所得稅時， 以捐贈名義扣列該項"
5,704,"贈之實際支付金額為6 U 萬元。 方法院檢察署函板檢榮玄％ 偵 18471字第10284丨號函， 檢 察官係以假設性問題設算漏稅金額， 並非提出漏稅之事實， 財政部臺灣省北區國稅局以此認定逃漏稅及裁罰，自失所據 〇 (2 ) 依遺產贈與稅法施行細則第24條規定所載：「 林木依其種"
6,720,"收及防止浮濫， 並以捐贈有助政府或相關機構 B ] 體財力之增 僅 t 付 600,000元 ， 短報綜合所得額2,400,000元 ，自願依稅 機關不得再就同一行為課以行政罰錢 3 、臺北高等行政法院98年度訴字第397號為聲請人敗訴判決之主 要理由為： (1 ) 所得稅法第1"
7,721,"納稅義務人 a 入款項之金融機構， 提領匯入面額 s 成左右不 稅署稽核報告附原處分卷 内 可稽。 從而財政部臺灣省北區國 稅局機關據以核定系爭捐贈扣除額為600,000元 ， 洵無不合 。 另參以臺灣板橋地方法院97年度重訴字第2 號刑事判決 17頁第六點已詳細載明綠美化捐贈案"
8,763,"被告所為之指示及課予之 I 、 擔 ， 係一種特殊的處遇措施， 並 所得稅法第14條規定之各類所得外， 尚包括虛報免稅額或扣 除 額 ， 有漏繳納稅額者，皆應受處罰。 聲請人既於申報捐贈 列舉扣除額時， 即知悉該實際捐贈之價額為600,000元 ， 竟 未依法誠實申報， 虛報捐贈"
9,694,"非刑罰。 因此， 刑事案件經檢察官為緩起訴處分確定後， 宜 視同不起訴處分確定， 依行政罰法第26條第2 項規定， 得依 違反行政法上義務規定裁處之。」上揭財政部函釋， 與行政 罰法第26條規範意旨， 並無違背， 稅捐稽徵機關辦理相關案 件 ，自得適用之。 (5 ) 從而財政部臺"
10,726,"短報情事者」 ， 是否包括 虚 報扣除額在 内 ？所得稅法第11 U 條 對政府之「 捐獻」等之可列舉扣除的金額， 究應以捐贈人取得 該捐贈實物之實際成本為準？ 抑或應以捐贈時之市價為準？ 所 得稅法第17條 第 1項第二款第（ 二） 目之1 規定有不明確之處， 本件確定終局裁判"
11,722,"A 條， 規定有不明確之處， 原確定判決所適用之財政部96年3 1、 按人民有依法律納稅之義務， 且法律或命令有涉及限制人民權 利 者 ， 必須符合憲法上比例原則、 法律明確性原則及正當法律 程序之要求， 合先敘明。 2 、 系爭所得稅法第丨7條第1項第二款第(二） 目之1 有關"
12,690,"月6 日台財稅字第09600090440號函釋， 謂 「 刑事案件經檢察 官為緩起訴處分確定後， 宜視同不起訴處分確定， 依行政罰法 第26條第2 項規定， 得依違反行政法上義務規定裁處之。」導 致人民有一行為而受到兩罰，自抵觸憲法第15條人民財產權應 予保障、 第 19條租稅法"
13,716,"值估定之 。」 ， 亦均以市價（ 時價）為贈與物之估價標準。 (3 ) 於捐 赠 人所購入捐贈物之成本， 高於捐贈時捐贈物市價之案 例 中 ， 稅捐機關係站在受贈人所受利益範圍之立場， 認應以 捐贈時捐贈物之市價核定其捐贈扣除額， 則本於公平及一致 性原則， 於捐贈人所購入捐贈物"
14,678,"其應申報課稅之所得額有漏報或 M 報為限， 而不包括納稅義務 言 ， 受贈之機關或團體既然有享受贈物利益之事實， 則稅 捐機關及法院自不能不探究受贈機關或團體得到受贈物之客 觀利益價值， 而即以捐贈人於捐贈時知悉曰後可能會有退款 為由剔除其捐贈額。 (6 ) 所得稅法第1丨條第6"
15,719,"3 、緩起訴處分， 係屬行政罰法第26條第1項 「 依刑事法律處罰 u 。 三 、曾經大赦者 n 四 、 犯罪後之法律已廢止其刑罰者。 五 精 神 ，自不應在法律明文規定之外， 任意擴張解釋該規定適 用範圍， 而謂納稅義務人列報之扣除額經稅捐機關依職權剔 除或核減後， 即構成所得"
16,743,"參酌刑法第57條所列事項， 認為以不起訴為適當者」為對象 (刑事訴訟法第252條 、 253條參照）， 而緩起訴處分則以 「 被告所犯為死刑、 無期徒刑或最輕本刑三年以上有期徒刑 以外之罪， 檢察官參酌刑法第57條所列事項及公共利益之維 護 ， 認以緩起訴為適當者」為對象（ 刑事"
17,741,"訴處分者， 得命被告於一定期間 内 遵守或履行各款負擔， 這 其中不論是「 回復損害性質」 （ 向被害人道歉： 立悔過書； 向被害人支付相當數額之財產或非財產上之損害賠儐： 或實 務上常見之向公庫或指定之公益團體、 地方自治團體支付一 定之金額等） 、「 社區服務性質」 （ 向指"
18,335,"四 、 關係文件冬名稱及件數： 訴處分， 被告於履行緩起訴處分所附之負擔， 尚須遭行政機 關裁罰者， 則被告必寧可捨緩起訴處分而不取， 轉而於起訴 後以向法院認罪之方式， 換取緩刑或易科罰金之輕刑判決， 既可省去捐助公益捐之負擔， 又可免去行政機關之再次處罰 。 惟如此一來， 不"
