pdf_page,chars,preview
1,636,"統一解釋法令聲請書 聲請人林世惟 代理人蔡朝安律師 鍾典晏律師 汪家合律師 為聲請人受最高行政法院以102年度判字第93號終局確定判決， 該確定終局裁判適用行政罰法第26條第2 項所表示之見解， 與臺 灣高等法院98年度交抗字第2209號裁定暨97年度交抗字第607 號裁定等確定"
2,736,"件行政法院原確定判決逕自擴張解釋行政罰法第26條第2項 「 不起訴」之範圍及於緩起訴處分， 台灣高等法院所持確定 终 局判決與本件行政法院所持確定終局裁判， 適用行政罰法 第26條第2 項所表示之法律見解有異， 乃向鈞院聲請統一 解釋法令， 懇請鈞院惠予統一解釋， 以資救濟。 貳"
3,645,"聲請人仍表不服， 經提起訴願及行政訴訟， 均遭 驳 回 。 (二） 本件原確定判決意旨率以聲請人受檢察官緩起訴處 分 ， 北區國稅局仍得就聲請人之稅捐違章事實處以 行政罰， 認為北區國稅局適用行政罰法第26條第2 項， 而不適用行政罰法第26條第1項之罰鍰處分為合 法 。 (三）"
4,576,"援引臺灣高等法院交通法庭裁判見解， …乃刑事法 庭之個案判斷， 尚無以拘束本院」 為由， 不予採用。 (六 ） 綜 上 ， 本件最高行政法院之終局確定判決與臺灣高 等法院前揭終局確定裁定， 就依刑事訴訟法第253 條之2作成之緩起訴處分究竟應否適用行政罰法第 2 6條第2項之法律"
5,778,"(四） 行政罰法第26條第2項規定： 「 前項行為如經不起訴 處分或為無罪、 免訴、 不受理、 不付審理之裁判確 定者， 得依違反行政法上義務規定裁處之。」 (五） 行政罰法第24條第2項規定： 「 前項違反行政法上義 務行為， 除應處罰鍰外， 另有沒入或其他種類行政 罰之處罰者"
6,680,"款及第5 款所作成之處分。 其所依據之法源及 作成之構成要件及對人民產生負擔於否（ 參照 之整理）均迥不相侔，自不能與行政罰法第26 條 「 不起訴處分」等同視之。 2 、行政罰法第26條第2項不得類推適用至緩起訴 處 分 或有以為刑事訴訟法第253條之2 訂立於行政 罰 第 2"
7,582,"律評價上相似， 而未經規定之事項5 (附 件 8 ) 。 C. 「 類推適用」 於公法事件之限制一法律保 留原則 於干涉行政 内 ， 普遍適用法律保留原則， 須有法律之授權始得干涉人民自由權 利 ， 應避免以類推適用之方式修正法律， 從而創設或加重人民之負擔。 其以超越實 定法之"
8,603,"受理」 、 「 不付審理」之法律效果， 其於程 序法上，皆為程序繫屬終結： 於實體法 上 ， 則皆未施加行為人任何實體法上之負 擔 。 職是， 僅依據刑事訴訟法第253條之 1所作成之「 單純緩起訴處分」 ， 因其未附 加任何刑事訴訟法第253條 之 2 所列條 件 ， 其程序法"
9,617,"保留原則之適用。又行政罰法第26條 第 2 項既未就「 緩起訴處分」納入條文規範， 復 未有任何經行政罰法授權之法規命令允許 行政機關得於檢察官作成「 緩起訴處分」 後 ， 得就同一事件對於行為人作成行政罰。 行政機關即不得擅將行政罰法第26條 第 2 項適用於「 緩起訴處分」之"
10,603,"的刑事審判程序之制度性機能與立法初衷有 違 。 2 、 緩起訴處分作成前後之刑事程序特質不容否認 緩起訴處分確定後， 尚須經過一至三年不等之 「 緩起訴期間」（ 長短由檢察官決定）後 ， 始能 發生與不起訴處分確定相同之「 一事不再理」 效力。 而在「 缓 起訴期間」 ， 受處分"
