pdf_page,chars,preview
1,630,"統一解釋法令聲請書 聲請人徐萬興 代理人蔡朝安律師 鍾典晏律師 注家合律師 為聲請人受最高行政法院以101年度裁字第2240號裁定及臺北高 等行政法院100年度訴字第1749號確定判決， 該確定終局裁判適 用行政罰法第26條第2 項所表示之見解， 與臺灣高等法院98年 度交抗字第"
2,735,"應適用行政罰法第26條第1項 ， 免再受行政罰； 惟本件行政 法院原確定判決及原確定裁定逕自擴張解釋行政罰法第26條 第 2 項 「 不起訴」之範圍及於緩起訴處分， 台灣高等法院所 持確定終局判決與本件行政法院所持確定終局裁判， 適用行 政罰法第26條第2項所表示之法律見解有異，"
3,676,"補報分別處以1倍及2倍罰鍰， 合計1 , 982, 075元 ( 1,977,723元 * 1 + 2,176元 * 2 ) 。 聲請人仍表不服， 經提起訴願及行政訴訟， 均遭 驳 回。 (二） 本件原確定裁定及原確定判決意旨率以聲請人受檢 察官緩起訴處分， 北區國稅局仍得就聲請"
4,636,"(五） 聲請人於向行政法院提出行政救濟時亦援引前開台 灣高等法院判決為主張， 惟所受裁判卻以「 原告雖 引前開台灣高等法院裁定， 有認為行為人一行為同 時違反刑事法律及違反行政法義務時， 檢察官所為 附條件之緩起訴處分與實質刑罰無異， 故違反道路 交通安全處罰條例苐35條第1項第"
5,669,"機 構 、 行政法人、 社區或其他符合公益目的之機構 或團體提供四十小時以上二百四十小時以下之義務 勞務。」 (三） 行政罰法第26條第1項規定：「 一行為同時觸犯刑事 法律及違反行政法上義務規定者， 依刑事法律處罰 之 ° 」 (四） 行政罰法第26條第2項規定： 「 前項行為"
6,647,"法理解之含義， 即非可能之字義。 2 (附件7 ) 。 是 以 ， 細察行政罰法第26條所指「 不起訴處 分」 ， 應係指經檢察官認定行為人之行為符合刑 事訴訟法第252、 253條情事， 依前揭法條作成 之處分。 惟緩起訴處分乃係檢察官認定行為人 之行為符合刑事訴訟法第253條"
7,685,"此種漏洞為「 公開之漏洞」 。 3 B . 法律漏洞之 填 補 一 「 類推適用」及其前 提 而於法學方法上， 法律之「 公開漏洞」 ， 得以法律之「 類推適用」 填 補之。 4而所 謂 「 類推適用」者 ， 係基於憲法平等原 則 中 「 相同者為相同處理」之要求， 將 對 「 "
8,550,"用 ， 乃係以所欲比照適用之事項， 其與 法律已規定之事項， 於性質上相同為前 提 。 此外， 於公法事件中， 縱有法律漏 洞 ， 惟仍應有法律保留原則之適用， 而 不得逕採「 類推適用」此項解釋方法， 合先敘明。 ( 2 ) 行政罰法第26條或有法律漏洞， 惟不及於 依據刑事訴"
9,563,"等構成要件要素， 刑事處分之本質上即 大異其趣。 C . 綜 上 ， 從法律制定以觀， 尚難認原先立 法計畫之範疇及於緩起訴處分， 而認為 緩起訴處分屬於行政罰法第26條第2項 之法律漏洞。 從法律適用以觀， 緩起訴 處分之性質既與行政罰法第26條第2項 所列舉各項構成要件要素之"
10,585,"權限 細查緩起訴處分之形成背景， 係由於近代刑事 政策改採教育刑、目的刑主義等特別預防觀 點 ， 並配合解決我國刑事訴訟制度調整為改良 式當事人進行主義後之法院審理負擔問題， 故 立法者乃在起訴與不起訴外， 另行制訂緩起訴 處分制度。 此一介於起訴及不起訴間之緩衝制 度 ， 以擴"
11,574,"殊的處遇措施， 而非刑罰， 則為何當行為人未 履行其應遵守之事項時， 檢察官仍得重新開啟 刑事追訴程序， 請求刑事法院以刑事審判程序 審理？換言之， 不論其前後程序皆被定性為刑 事 程 序 ， 其所作成之處分焉能保留其刑事性 質 ， 而謂其非為「 刑 事懲 處」？ 又臺灣高等法院"
12,626,"事判決所生之刑罰與行政罰之區隔， 固然有作 成程序之落差（ 前者乃經刑事審判程序， 後者 則為行政程序） ， 惟作成程序之落差， 乃係緣於 刑事判決所生之刑罰對於人民造成基本權利之 影響較一般行政罰嚴重。 是 故 ， 基於正當法律 程序原則， 形成該較嚴重不利效果之刑罰， 必 須"
13,610,"對同一行為再課以行政罰鍰（ 實到67人 ， 54票 贊成） 。 不罰之理由有認為緩起訴處分並附條件 為捐款命令是刑事處分； 亦有認為因未經法院 裁判所為之處罰非刑事處分， 但捐款行為具行 政罰鍰的性質， 故行政機關不得再就同一行為 課以行政罰鍰。 」 （ 見附件10 ) 由是可知"
14,661,"一重處罰已 足以達 成行政 目的， 則不得 重複裁 處 ， 俾使人民避免遭受相同之制裁。」此 外 ， 「 … 似乎不必一直侷限在緩起訴處分是否刑事處分 的問題點上， … ， 以行政法保護人民權利之觀 點 來 說 ， 緩起訴處分是實質刑事處罰也好， 是 偏向於行政罰也好， 重點應置"
15,520,"(四） 承上述第 （ 二 ） 及 （ 三 ） 大段所言， 行政目的是否 達 成 ， 應以所維護法益是否相同及法律效果裁量權 行使之審酌範圍是否涵蓋為據 1 、 維護法益若已相同， 則不同法律條文之個別構 成要件所欲規範之事項及其規範目的已獲關 注 ； 法律效果裁量行使之審酌範圍若"
16,542,"A . 本件緩起訴處分 * 所據法條除前揭刑事 訴訟法第253條之1， 尚有稅捐稽徵法第 42條第1項（ 以不正方法短報扣繳稅捐） (附件14 ) ， 探其立法理由及檢察官作成 本件緩起訴處分之行政目的皆在制裁以 詐術或其他不正當方法匿報、 短報、 短 徵的扣繳義務人， 以儆效尤"
17,641,"依刑法第57條規定： 「 科刑時應以行為人之 責任為基礎， 並審酌一切情狀， 尤應注意下 列事項， 為科刑輕重之標準： …八 、 犯罪行 為人違反義務之程度。 九 、 犯罪所生之危險 或損害。 十 、 犯罪後之態度。」（ 附件16 ) 乃檢察官作成緩起訴處分時， 裁量權行使之 依"
18,674,"權 時 ， 仍須考量先前緩起訴處分之作成予以酌減罰鍰， 以符比例原則 (一） 依據行政程序法第10條及第4 條「 行政機關行使裁 量 權 ， 不得逾越法定之裁量範圍， 並應符合法規授 權之目的。」 、 「 行政行為應受法律及一般法律原則 之拘束。 」 ， 行政機關行使裁量權時， "
19,730,"額 ， 方與比例原則無違。 四 、綜 上 所 結 ， 緩起訴處分應為刑事裁罰或至少為行政罰 鍰 、 舆 行政罰鍰同一種類之行政罰， 而應適用行政罰法 第 26 條 第 1 項或行政罰法第24條 第 2 項本文前段或但 書 ， 而不得再作成行政罰鍰重覆裁處。 退萬步言之， 縱 得依"
20,211,"附 件 14 :稅捐稽徵法第42條第1項影本乙份。 附 件 15 :所得稅法第114條第1項影本乙份。 附 件 1 6 : 中華民國刑法第57條影本乙份。 附 件 1 7 : 稅務違章案件裁罰金額或倍數參考表所得稅法第114 條該節影本乙份。 附 件 1 8 : 行政罰法第26條"
21,611,"憲法解釋聲請書 聲請人徐萬興 代理人蔡朝安律師 鍾典晏律師 汪家合律師 為聲請人受最高行政法院以101年度裁字第2240號裁定及臺北高 等行政法院100年度訴字第1749號確定判決， 該確定終局裁判適 壹 、聲請憲法解釋之目的 本件緣於台灣桃園地方法院檢察署檢察官依據刑事訴訟法第"
22,666,"政罰法第26條第2 項 「 不起訴」之範圍及於緩起訴處分， 致 使人民因同一事實行為遭受刑罰與行政罰之對待。 北區國稅 局適用系爭二函釋， 作成之裁罰處分已不法侵害聲請人受憲 法保障之財產權， 且聲請人已用盡訴訟程序， 乃向鈞院聲 請憲法解釋， 懇請鈞院惠予宣告系爭二函釋無效， "
23,657,"1， 982, 075元。 聲請人仍表不服， 經提起訴願及行 政訴訟， 均遭駁回受終局裁判確定在案。 (二） 原確定判決之裁判理由率以「 按刑事訴訟法第256 條… ， 不服緩起訴處分， 與不服不起訴處分之救 濟途徑相同， 均得聲請再議…足見刑事訴訟法規 定之緩起訴實具有附條件不"
24,664,"刑事訴訟法第256條規定自明， 既為不起訴即依 不起訴處理。 檢察官為緩起訴處分時依刑事訴訟 法第253條之2 第 1 項規定對被告所為之指示及 課予之負擔， 係一種特殊的處遇措施， 並非刑罰。 因此， 刑事案件經檢察官為緩起訴處分確定後， 宜視同不起訴處分確定， 依行政罰法第2"
25,636,"前揭函釋而作成。 是 以 ， 聲請人併就法務部之函 釋提請鈞院宣告違憲失效。 三 、涉及之憲法條文 (一） 中華民國憲法第7條 「 中華民國人民， 無分男女、 宗 敎 、 種族、 階級、 f 派 ， 在法律上一律平等 。 j (二） 中華民國憲法第15條 「 人民之生存權、 工作"
26,790,"(一） 按 「 對於人民違反行政法上義務之行為處以裁罰 性之行政處分， 涉及人民權利之限制， 其處罰之 構成要件及法律效果， 應由法律定之， 以命令為 之 者 ， 應有法律明確授權， 始符合憲法第二十三 條法律保留原則之意旨（ 本院釋字第三九四號、 第四〇二號解釋參照） 。」厥 "
27,625,"款所作成之處分。 其所依據之法源及作成之構成 要件及對人民負擔之生否（ 參照之整理）迥不相 侔 ，自不能與行政罰法第26條 「 不起訴處分」等 同視之。 ( 三）系爭二函釋未經法律授權擴張行政罰法第 26 條第 2 項之處罰範圍， 違反法律保留原則 本件系爭二函釋解釋行政罰法第2"
28,469,"訴處分大異其趣 1 、 緩起訴處分實為刑事罰 (1 ) 緩起訴處分之制度設計， 即在於疏緩法 院訟源， 於微罪情形由檢察官行使刑事 制裁權限 自緩起訴處分之形成背景， 係由於近代 刑事政策改採教育刑、目的刑主義等特 別預防觀點， 並配合解決我國刑事訴訟 制度調整為改良式當事人進行"
29,532,"不等之「 緩起訴期間」 （ 長短由檢察官決 定）後 ， 始能發生與不起訴處分確定相 同之「 一事不再理」效力。而在「 緩起 訴期間」， 受處分人隨時可能因另犯他 罪 ， 或因未履行檢察官所指示之負擔等 原因而遭檢察官撤銷緩起訴處分， 而必 須重行接受刑事追訴。 換言之， 若該指 "
30,526,"中華民國刑法第 3 條第 5 款之罰金或同 法 第 41 條易服社會勞動 （ 附 件 13 ) 並 無二異，同樣會對行為人之人身自由及 財產權產生相當程度的負擔。 (4 ) 不應以未經刑事審判程序而倒果為因， 遽認非屬刑事處罰 否定緩起訴處分之意見， 多以該緩起訴 處分之作成， "
