pdf_page,chars,preview
1,649,"釋字第 1 部分 協同意見書 張瓊文 大法官 提出 本號解釋多數意見認為 ， 行政罰法第 關 於緩起訴處分部分 （ 下稱系爭規定一 ） 及財政部中華民國 年 定後，仍得依違反行政法上義務規定裁處之釋示，其中關於 經檢察官命被告履行刑事訴訟法第 2 1 4 及第 （下稱應履行之負擔"
2,723,"人、桃園地方法院法官 3 8 ） 。 又 本案及相關 併 案件，依其事件及所涉及個別行政法領域 之不同，約可 分為 四 類： （ 一 ） 酒駕類型 （ 附表編號聲請人 ） ： 即人民因酒後駕車，經檢察官就違反刑法第 185 之 3 之 起訴 處分 ，並命為義務勞務或支付一定金額後"
3,686,"義診 ，後經 主管機關 於緩起訴處分確定後 ，按年 度 分別對附表編號聲請人 6 96,5 0 4 ,098,673 0 ；對附表編號聲請人 1 3 裁處 1,212,828 1,096,885 1,982,075 、 1,110,209 。 （ 三 ） 就業服務法 事件類型 ："
4,648,"情形之一者，處上開行為人新臺幣三十萬元以上一百 五十萬元以下罰鍰，並得按次處罰至改善為止：…… 二、隱匿、毀棄會計憑證、帳簿、報表，或於上開文 件為虛偽不實之記載。」 扣抵緩起訴 處分 應履行之負 擔後， 分別裁處 聲請人 0 、 30 25 罰鍰。 本 案 所涉及之 原因 案件"
5,759,"作之困難。 即以 系爭規定一 為例，其立法目的僅係 時，為杜實務上關於緩起訴 處分 是否得適用 施行之行政罰法第 95 之 爭議所增訂 。 如以此目的而言，則一行為經緩起訴處分確定 者， 採取 得依違反行政法上義務規定裁處 ，或不得裁處 ， 均 能達到其立法目的，而 符合妥當性原"
6,940,"之便宜不起訴處分，應履行之負擔 非刑罰 後，幾無其他手段 可供選擇， 故實無須判斷是否能通過 必要性原則 之檢驗 。 故在比例原則的操作上， 以 系爭規定一而言， 於定性 緩 起訴處分之性質後，則 僅 須考慮是否能通過 狹義的比例原則 即可 ，此亦為解釋理由書 緩起訴處分之定性 "
7,961,"充之作用。尤以 我國 權力分立之 現制以觀 ，國家的公 權 力制 裁並非由司法權所壟斷，司法權所負責者，應僅限於以刑罰 為手段的制裁，此外則應由行政權負責，而其抉擇則係立法 者之權限。 此 即 本院釋字第 按 違反行政法上義 務之制裁究採行政罰抑刑事 罰，本屬立法機關衡酌事件之特"
8,816,"即足資警惕，並無再依行政法規處以行政罰之必要。且依刑 事法律處罰，係由法院依較嚴謹之刑事訴訟程序為之，對於 人民權利之程序性保障更為周全，故予以優先適用。但罰鍰 以外之其他種類行政罰及沒入，兼具維護個別領域公共秩序 之作用，為達各該法律之行政目的，仍得併予裁處 。 惟 論理 上 "
9,1209,"二罰」之情形， 故 未採取一行為不二罰原則作為審查標準。 惟於聲請人之陳述中，幾皆 採一行為不二罰原則作 為 系爭規 定一違憲之論理依據， 且於本號解釋審查過程中 雖曾討論 ， 然終 未於解釋理由中論述， 爰 於此 補敘之。 首應說明者， 所謂 「一行為不二罰」原則， 論者雖稱之"
10,1052,"一事不再理原則為一行為不二罰原則之體現，且為多數 民主 法治 國家所採。 2. 刑事處罰領域必有 該原則之 適用， 惟 行政 罰與行政罰間及刑罰與行政罰間則未必不能予以不同種類 之處罰。 審諸一行為不二罰原則之核心概念─ 「一行為」 及「處 罰」之定義─於不同法領域中各有其獨立之"
11,715,"遭追繳押標金 （ 政府採購法第 ） ， 經認定為不良 廠商而限制於一定期間參加政府採購。此種多 重 之不利益 是 否均屬重複評價，即易衍生疑義。 又關於處罰之定義，最典型之「罰」乃刑罰及行政罰， 二者之定義、適用原則及範圍，目前皆分別以刑法、行政罰 法為規定。但於刑法中所規定之 "
12,836,"向為論者所批評 。 該條文使用裁罰性不利處分之 定義 用語 ， 使得秩序罰及單純不利益行政處分的概念受到混淆，已屬不 當。 再細繹之， 行政罰法第 處分及剝奪或消滅資格、權利之處分，其內容多屬行政管制 手段 ， 於某些情形其實並不能完全適用行政罰之理論 。 例如 ， 發現有疑似食"
13,1158,"年至 5 6 上 有期徒刑人數 僅占有罪人數百分之 ， 可見稅法刑案普遍遭受輕判， 逃漏稅捐而受到自由 刑 制裁的 案例不多。與之相對的違章漏稅案件行政裁罰事件，不僅在 數量上有數百倍之多 ， 裁罰金額平均更近 100 （ 詳見附表 ） 。 故就稅捐稽徵實務而言 ， 我國可說是以"
14,392,"尚須先調整行政罰之種類及內容，否則刑事司法機關即無從 處理。惟此種處理 已 非違憲審查所能涵括，容由立法者多方 評估、 整合 ，另謀解決之道 。 附表： 年 違章漏稅案 地院一審稅法 B/A 度 案件行政裁罰 稅法刑案科刑人數 （ % ） 裁罰件數 金額 （ 千 終結件數 被告人"
