pdf_page,chars,preview
1,1005,"釋字第七五一號解釋 不同意見書 湯德宗大法官提出 本件 所涉 憲法疑義 之核心 ， 一言以蔽之，即 一行為同時 觸犯刑法及 違反行政法上義務 者，如經 檢察官 就觸犯刑法部 分 為「緩 起訴」處分 ， 並 命履行刑事訴訟法第 1 或第 所定 內容 （下稱「 應履行 負擔」 ）確定"
2,1066,"2) 行政罰法第 前段 使 前開同法第 項 及第 項得扣抵罰鍰之規定 ， 溯及適用 於 修正前 應受行政罰 ， 而尚未裁處 罰鍰 之行為 ，是否合憲？ 3) 行政罰法第 100 年 1 月 日修法所增訂， 在此之前 財政部以 日台財稅字第 （ 系爭函一 ） ，釋示緩起 訴處分確定"
3,903,"部分（ 下稱 系爭規定一 ） ， 尚未牴觸 憲法第 比例原 則 ， 與憲法第 民財產權之意旨無違 （解釋文第 段參照） ， 惟 其 論 理 十分簡略 ： 「 系爭規定一 允許作成緩起訴 處分並命被告履行負擔後，仍得依違反行政法上義務規定另 裁處罰鍰，係立法者考量 應履行之負擔其目"
4,738,"獲致 上開三 規定 為 「合憲」之結論 。 質言之 ， 附 「應履行負 擔」之 「 緩起訴處分 」 確定後， 憲法之所以允許 行政機關仍 得 裁 處「罰鍰」 ，乃因 有 同條第 項及第 項 （應履行負擔 得扣抵 罰鍰 之 ） 規定 故爾 ；反之，如無 同條第 項及第 項 之 規定"
5,686,"1. 「 一行為不二罰 」 原則 已然 具有憲法位階 。 司法院釋 字第 號解釋闡釋： 「 除處罰 之性質與種類不同 ，必 須 採 用不同之處罰方法或手段，以達行政目的所必要 者外 ， 不得 重複處罰 ，乃現代民主法治國家之基本原則」 。嗣 司法院 釋 字第 號解釋更援引 「法治"
6,703,"苦內涵 ，則 無二致 。 是 「應履行 負擔」雖無處罰之名，但在 本質上應以處罰視之，且其處罰之種類，與刑罰並無不同 。 復 鑑於 被告倘未履行 之負擔」 ，即須面臨緩起訴處 分撤銷之 後果（ 重新接受刑事追 ） ，是 「應履行之負擔」 實質上具有相當 之 強制性 ， 被告並無 "
7,877,"美國 聯邦憲法修正 條文 第 「 雙重危害 條款 」（ doub1e jeopardy clause ） 與我國憲法 「 一事不二罰 」 原則 之內涵相通 ， 既為現代文明法治國家人民應享有之權利，且不妨害社會秩 序與公共利益，自亦在 憲法第 保障之列 。 又， 按美國 聯邦最高"
8,811,"非刑罰，則何 以 行為人未履行 「應履行 負擔 」時，檢察官仍 得重新開啟 刑事追訴程序，請求刑事法院以刑事審判程序審 理 ！ 至 以 緩起訴處分之作成 未經刑事 正當法律程序， 故 非 屬 刑 罰 之說 ， 則 有 倒 果為因之嫌。蓋 刑罰 處罰 較重 乃 其因， 故 而 須經"
9,797,"有「一行為不二罰」原則之適用 。 系 爭 規定一（及系爭 二函 釋 ） 視 「 緩起訴處分 」 為 （ 行政罰法第 條第 項之 ） 「 不 起訴處分 」， 已違反憲法第 條平等原則、第 條 比例原 則 及 司法 院釋字第 解釋所揭示之 「 一事不二罰原則 」 及 （禁止） 「 雙"
10,985,"規停車得予多次處罰 ，釋示： 「 並不生一行為二罰之 問題，故與 法治國家一行為不二罰之原則 ，並無牴觸 」 。 由 如上 兩件解釋 可知 ： 憲法上 「一行為不二罰」 原則 （至 少）係指 對同一行為不得 罰 ， 如從其一重處罰已足達成行政目的時 ，即不得併罰 。 其 適用乃以"
11,1002,"罰原則」 理念相通 。 美國聯邦憲法 增 修條文第 規定 ： 「 受 同一犯罪處分者，不得令受二次生命或肢體上的危害 （ nor shal any person be subject for the same ofence to be twice put in jeopardy "
12,718,"有別而定 。因美國聯邦法律 針對 同一 不法 行為同時施以「刑 罰」與「民事制裁」 （含「民事罰金」 、 「沒入 」等） 作為制 裁手段的情形日益普遍，該案之影響不容 低估 。 3. 憲法上「一事不二罰原則」 固 寓有 「比例原則」之精 神，但究非（典型／傳統之） 「比例原則」 "
13,738,"二、 憲法上「一行為不二罰」 原則之操作 步驟 本席以為，是否違反憲法上 「一行為不二罰」原則 應依 下列 四個步驟 檢驗 操作 ： 1. 是否 因 「一行為」而 生 數個處罰 ？ 倘 數個處罰 並 非 基 於 同 「 一 行為 」 ，自 無 「一行為不二罰」原則 。 所謂 「一"
14,813,"約。是無論「應履行 負擔 」是否定性為 「刑罰」 ， 其 應屬 「處 罰」 ，殆無疑義 。 3. 基於同一原因事實所為之數個處罰， 其 「 性質與 種類 是否 相同 」 ？ 按本院釋字第 所示 ， 僅 基於同一原 因事實所為之數個 性質 ／ 種類 相同之 處罰 ， 始 構成「重複"
15,851,"為何 ； 更未說明其 「目的及性質」究與行政罰有何不同， 從 而得併處 罰鍰，論理顯有不足 。 本席以為 ， 檢察官命 「應履行負擔」 之 「緩起訴」 處分 ， 應定性為「行政罰」 ，而非「刑罰」 。 關於 命「應履行負擔」 之「緩起訴」處分 非為「刑罰」 部分 ，本席同意多數意"
16,700,"參 、 「應履行負擔」得扣抵罰鍰 之 溯及 適用 ，無論認為 系爭規定一合憲與否，其結果皆有利於人民，故為合憲 關於 行政罰法第 將 同法第 項及 第 項 允許 「應履行負擔」 得扣抵 罰鍰 之規定 ， 溯及適用 於 100 正前應受行政罰而尚未裁 處罰鍰之行為， 是否合憲一節，"
17,214,"舊行政罰法第 擴張解釋 包括「緩起訴處分」在內（解釋理由書第 本席既 認 命 「應履行負擔」 之 「緩起訴」 處分為行政罰 ， 與「罰鍰」屬相同性質／種類之處罰， 舊 行政罰法第 條第 項及第 項 （允 許 「應履行負擔」 得扣抵 罰鍰 ） 之規定 ，於 緩起訴處分確定 後，行政"
