pdf_page,chars,preview
1,629,"釋字第 6 9 協 同意見書 羅昌發大法官提出 多數意見認為， 地方制度法第 前段 規定： 「……縣（市）議會置議長、副議長……由……縣（市）議 員……以記名投票分別互選或罷免之。」及第 依下列之規定 ： … 三 、 ……由出席議員……就同意罷免或 不同意罷免，以記名投票表決之。"
2,702,"名 投票方式，向本院聲請解釋憲法，而本院核其聲 請與 司法院大法官審理案件法 （下稱大審法） 第 予受理 （見本號 解釋理由書第 （二）按地方議會向本院提出解釋憲法之聲請，其要件係規 範於大審法 第 ： 「有左列情形之一 者，得聲請解釋憲法：一、……地方機關，於其行使 職權，……"
3,679,"因 適用系爭規定之結果有牴觸憲法疑義，故於尚未完 成修改自治條例前，停止審議，並持以向本院提出聲 請。是聲請人認為其應不受系爭規定之拘束而不應 援 引 該規定以修正其 自治 條例，屬於地方議會行使審議 自治條例職權方式之一種。且該地方議會立法過程 中，在判斷應否依照系爭規定修改其"
4,639,"之要件。 二 、 有關地方議會議長及副議長選舉及罷免 究屬憲法 「 明定 」 為中央立法權之範圍，抑或非憲法所明定而應依 「 剩餘 權 分配」 之原則處理 （一） 有關地方自治及中央與地方如何分權 ， 多數意見認為 ： 「 憲法有明文規定屬於中央或地方權限者（例如憲法 第 規定之"
5,683,"（ 三 ）本席認為： 有關 某事項是否屬於憲法所規定之中央立 法或地方立法事項，應以較嚴格之 字。如憲法文字並非明確者，應認屬憲法 未規定之事 項。 否則如以較廣泛之方式解釋憲法 有關中央與地方 權限所列舉事項之文字，則幾乎可以斷言，所有國家 事務均可以由憲法有關中央或地方權限之"
6,694,"第 包括左列各款，以法律定之，不受憲法第 項第 條之限制：……三、縣設縣議會，縣議會議員由縣民 選舉之。四、屬於縣之立法權，由縣議會行之。……」 惟其對縣議會議長及副議長之選舉 及罷免 ，並未明文 規範。該條第 規定「縣設縣議會」應以法律定 之， 然 是否即可認為縣議長及副議長之"
7,685,"記名方式為之，涉及此種選舉及罷免是否採行公開透 明方式以及如何使議員對選民負責之制度性問題。立 法者將地方議會議長及副議長選舉及罷免方式由無 記名投票改為系爭 規定之記名投票，目的亦係在彰顯 責任政治及防止投票賄賂之行為（ 見本號解釋理由書 第 。有關地方議會議長及副議長以記名及"
8,659,"精神 ，自與地方自治或地方議會自主原則無違。 （ 七 ）退一步而言， 「倘若 」 某一事項， 確係屬於憲法所明 定應屬於中央得立法之事項 ，則究竟中央得以在何種 範圍 或密度 內為立法， 亦應予以探究。 本席 就此，同 意多數意見所言，應尊重立法者地方制度之政策形 成，原則上採寬"
9,730,"地方議會議長及副議長之選舉及罷免事項 ， 是縣 （市） 議會議長及副議長之選舉及罷免，非憲法第 規範，系爭規定有關記名投票規定之部分，自不生違 背憲 法第 」由此文字， 「 似乎 」 可以 反面推論，凡憲法所規定之選舉，即屬憲法第 所規範。實則不然。 （三） 以憲法文字而言，其 "
10,512,"立法院 長及副院長之選舉，雖由憲法加以規定，然 並不適用憲法第 應 因有憲法第 條之規定， 而 推論立法院 長及副院長以無記名投票 方式選舉及罷免，係憲法之要求。 （四） 憲法第 使選舉及罷免權時，得以在不受外力不當干擾下，以 自由意志為投票。惟 中央與 地方 立法機關 議長及副"
