pdf_page,chars,preview
1,701,"釋字第 6 9 部分 不同 、 部分協同 意見書 開門走大路 ， 開放更民主 ； 中央管過度 ， 地方沒得主 。 林俊益大法官 提出 壹、 前言 本件係【 縣 （ 市 ） 議會正副議長選舉罷免記名投票 案】 。 依 中華民國 雲林縣議會組織自治 條例 第 前段 規定 ， 議長 及"
2,784,"規定違憲。 二、前項爭點，如採肯定說，系爭規定有 關 記名投票 部分，有無違反憲法第 無記名投票 之規定？ 多數 意見認為， 系爭規定 有關記名投票規定之部分， 符合憲 法增修條文第 定 「 以法律定之 」 的 規範 意旨 （解釋 文第 ； 縣（市）議會議長及副議長之選舉 及罷免"
3,723,"決定究竟屬於中央或地方之權限 ， 藉以貫徹住民自治、因地制 宜 之垂直分權理念（本院釋字第 遇有爭議時， 由立法院解決之 （憲法第 1 規 定 參照） 。 地方自治既受我國憲 法制度性之 保障 ， 地 方自治團體 即 享 有一定之自主權限， 於自主 權核心領域之限度內（本院釋字第"
4,709,"此說認為憲法第 憲法 增修條文均無明文 列舉「 縣 （ 市 ） 議會議長及副議長之選舉及罷免 之 投票方式 」事 務，依憲法第 有關剩餘權分配之 規定， 應 端視此事務，有 無全國一致之性質而定。如有全國一致之性質，屬於中央；有一 縣之性質者，屬於縣，旨在使 地方自治團體對於自治"
5,700,"所謂「縣地方制 … 以法律定之 「應包括左列各 款」 所列舉之事項為限 ， 所列 各款規定之內容 ， 僅係例示說明， 依 重要性理論 ， 舉 凡與例示規定有關之重要事項，均得由中央以 法律定之。 本 件 解釋，即 係 採 取 此種思維之處理模式，其解釋理由謂： 憲法增修條文第 「"
6,803,"一定 之 方式產生議長及副議長，使縣議會正常運作，為何會造成 體制紊亂？ 「 責任政治 」 是指當政府之行政行為未能依據民意或 是不依法而行時，政府須負責任， 係 政府運作 之 重要原則。各地 方議會議員，未必有政黨屬 性 ，議員選舉或罷免議長或副議長， 與責任政治有何關係？是以"
7,871,"並 執 行 之 權限（本院釋字 第 採否 定說方足 以 確保縣 （ 市 ） 議會 之 自主地位， 維護地方自治為憲法 所保障之制度 俾 符 合憲法所定 則。 詳言之， 憲法於第十一章第二節設「縣」地方制度之專節規 定，分別於憲法第 與市實行自治，以實現住民自治之理念，目的在 於 "
8,755,"度性 保障 之 地方自治 權 ， 存 活 空間 恐 怕所剩無幾 ，未 來地方自治 之發展 殊令人憂心！ 肆 、 部分協同意見 關於 系爭規定有無違反憲法第 之爭議。 系爭規 定 明定 縣 （ 市 ） 議會議長及副議長 之選舉及罷免，採無記名投票 方式，是否 牴觸 憲法第 除本憲法"
9,674,"本解釋多數意見 即 採此見解，乃 闡示 ： 查憲法本文及其增修 條文均未明定地方議會議長及副議長之選舉及罷免事項，是縣 （市） 議會議長及副議長之選 舉及罷免 ， 非憲法第 129 系爭規定有關記名投票規定之部分，自不生違背憲法第 問題。 二、 體系解釋說 憲法第 人民有選舉、罷"
10,797,"另， 本 件 解釋 第 多數意見 ， 一方面將憲法增修條文第 條第 縣設縣議會 」 一詞， 依重要性理論 ，認 為解釋上尚得包括縣 （ 市 ） 議會議長及副議長之選舉 ；另一方面 又認為縣 （ 市 ） 議會議長及副議長之選舉及罷免，不屬於憲法第 129 如依擴張解釋說 ，本件 解"
11,788,"比較法制上，原有採記名投票及無記名投票等 兩種制度。 然此兩 種制度並無絕對優劣 ，容可基於政黨政治及議會議長之功能等各 種因素考量，而為立法政策之選擇。 是以 中 央以法律強行規定 須 全國 一 致 （記 名） ， 不 但無堅強理由 時又 使 地方 全 無 因 地制 宜 之 空"
