pdf_page,chars,preview
1,771,"釋字第 9 部分 不同意見書 蔡明誠大法官 提出 本件 係雲林縣議會 就其於中華民國 公布之雲林縣議會組織自治條例第 前段 規定：「本會置 議長、副議長各一人，由議員以無記名投票分別互選或罷免 之。」其中以無記名投票方式互選或罷免議長及副議長 分 ，是否修正為記名投票，認應適用之"
2,1093,"包括 (Gemeinden) 本身 不具基本權能力 ( nicht grundrechtsfähig) 。 我 國地方自治制度， 地方 與中央之關係，如借用單一國 聯邦 國與邦聯國之類型化見解，有認我國係屬均權制之單一國 又 本院對於地方自治 之 制度 性保障 ，曾作有釋字第 、"
3,817,"院解釋有關制度性保障見解，並基於地方自治之 旨及目 的，從地方自治之本質內容（核心範圍）作為論述之出發 點，特先說明。 二、 憲法增修條文第 憲法上重要內容保障 之 問題 本 號解釋 原因案件事實所涉及 縣 議會 議長及副議長選 舉及罷免方式， 於 憲法並未明文規定。 縣 （市）"
4,824,"事項，是中央自得以 法律規範之 。 惟 就 憲法增修條文第 及同條項第 文義 觀之 ， 並 未見其 明文 列舉 正 副議長選舉及罷 免方式 之事項 。 詳言之 ， 本號解釋採重要性 理論， 認 縣（市）議會 正副議長選舉方式，是憲法上地方自 治制度之重要事項， 將 尚未涵蓋於 前"
5,847,"之 ， 係 認為 在 比較法 制上 ，記名或無記名投票 兩種制度並無 絕對優劣，容可基於政黨政治及議會議長之功能等各種因素 考量，而為立法 政策之選擇 。其選舉方式，既可政策性之選 擇， 解釋上 宜 認為其 非屬本質 內容 上重要 （ 或稱重大 ） 之事 項 ， 或認其係屬 地方"
6,1263,"又 德國實務及學說上 有認為此可借用基本權釋義方法 (Rechtsdogmatik) ， 就核心範圍保護 ) 及過 度 禁止 ( Ü bermaßverbot) 審查 ，以避免 行政力過度介入 而 違反 地方自治 之 本旨 及其 制度性保障之目的 ， 亦即憲法上對於地 方自治事項"
7,792,"治時，不得侵害地方自治之核心範圍 (Kernbereich) ，判斷是否 侵害，採取比例原則，進行較嚴格之審查。至於非屬於地方 自治之核心範圍，如屬於其邊緣範圍 ， 在 判斷 是否 基於公共利益，且 無 恣意干預或 地方自治 事 ， 此 採取較寬鬆審查 。 我國學理上 ， 有認為"
8,775,"央以法律定之，無須再依憲法第 修條文第 及適用重要 性理論 ， 本號 解釋 認上開規定 並非僅指縣議會之設立，尚得 包括與縣議會組織及其運作有關之事項。 縣議會置議長 及 副議長 與 其選舉 或 罷免之投票方式， 認其係 屬與縣議會組織 及其運作有關之重要事項，是中央自得以法律規"
9,751,"證不夠充分之疑慮。 本號解釋認「 縣議會置議長及副議長以及其選舉及罷免 之投票方式，因攸關縣議員行使投票之法定職權，以選舉產 生對外代表該地方立法機關，對內綜理 之適當人選，或以罷免使其喪失資格，屬與縣議會組織及其 運作有關之重要事項，是中央自得以法律規範之 授權事項之立法 重，"
10,1078,"議會正副議長及 若干 邦議會正副議長 選舉 ，於 議會議事規則 規定其 採秘密投票 方式，即其適例 。 在 德國 聯邦 議事規則 方面， 德國 聯邦眾議院議事規則 (Geschäftsordnung des Deutschen Bundestages) 第 條 及第 條 選舉 v"
11,835,"Landtags) 第 議長以秘密投票 Abstimung) 選舉之 ，同條第 長，以秘密投票選舉之。 在日本法方面，日本憲法第 體，就議事機關， 設置議會，並由其地方公共團體之住民直 接選舉議會之議員 ，該選舉適用公職選舉法 第 6 秘密投票規定 。 依 日本 地方自治法第 條"
12,839,"地方制度法第 議長 分別互選及罷免 均應採取記名投票，此屬於中央集中式 之立法模式，實 有 對於地方自治過多干預 ， 從地方自 治 之制度性 保障觀點，宜 避免之。 質言之 ， 如 認為 地方議會 正副議長 分別互選及罷免 方法非屬重要事項， 如前所述， 擬 採較寬鬆之審查時， "
