pdf_page,chars,preview
1,889,"釋字第 七六九 號解釋 不同意見書 湯德宗大法官提出 吳陳鐶大法官加入 [1] 本案核心 問題 ，一言以蔽之，即 地方議會議長、副議長 選舉、罷免 投票 方式 」 ， 是否屬於 憲法所保障的 地方 自治 」 事項 （權限） ？ 答案 如 為肯定 ， 則 各地方議會 便 可 自 行"
2,852,"定 ） 是否牴 觸憲法。 [3] 本解釋 多數大法官認為 ： 雲林縣議會 的 聲請符合司法院 大法官審理案件法 所 定聲請要件 應予受理 ； 並 以 憲法增修條 文第 既 明 定 ： 「省、縣 地方制度 ， 應包括左列各 款 ， 以法律定之 」 ，其 第 且 規 定 ： 「 縣設"
3,813,"本 旨 ， 今後 所謂「 受 憲法保障的 地方自治 事項 」 將 蕩然 無 存 [5] 本解釋僅宣告：系爭規定符合憲法增修條文第 項所定由中央「以法律定之」之規範意旨 （解釋文第 照） ， 而 未能 指明 最關鍵的結論 ： 「與 憲法保障地方自治 之 意 旨 尚無違背 」 。 這"
4,933,"雖 皆採列舉式 規定，但其規定 的 內容 （事項）每 有重疊（競 合） ，例如：第 108 109 條第 1 0 款之「 縣 警 衛 之實施」 。 如此規定 雖具彈性 ， 但易滋 爭議， 從 而增加了司法解釋的必要。 例如 ， 本院 曾 為 闡明「省縣得 否就省警政及縣警衛業務編"
5,753,"定， 則 憲法第十章 欲 以 中央、地方權限 劃分 ， 落實 保障地方 自治 的 美 意 ， 勢必 盡付東流 。 [8] 本解釋多數大法官 就 前述 「中央、地方權限劃分」的解 釋方法論， 表面上 並無異議（解釋理由書第 。 但 實際 上 卻 運用 詭辯 的 技巧 ， 規避了 前"
6,850,"議長、副議長選舉、罷免 的 投票方式」 亦 應以（中央）法律 定之？ 這樣的 推論 是 否過於 跳躍，而流於 武斷 ？ [10] 持平 地說， 前揭憲法增修條文第 之 規定，應秉持 保障地方自治 精神 ， 理解 為 ： 「縣設縣 議會，縣議會議員由縣民選舉之」 ， 乃 省、縣 地"
7,668,"此一 深層論理 表面上 載於 解釋理由書第 文及其增修條文就縣地方制度事項 定之 （按： 疑 漏 了受詞 「 者 」字） ， （按： 疑漏了轉折語「 即 」 字） 無須再依憲法第 」 。 然而 ， 從 前述 「中央、 地方權限 劃分」 通行 的 解釋方法論 觀之 ， 這句話 並無"
8,814,"六、中央與省、縣之關係。 七、省承行政院之命，監督縣自治事項。」 上開 憲法增修條文 原 是 為 了 達 成「凍省」的政策目標， 而凍 結 （排除） 憲法本文相關規定的適用 ， 此由 其 帽頭 所 凍結 （ 排 除適用 ）的條文 - 憲法第 - 觀之，即明。 不 料 多數意 見 "
9,985,"憲法增修條文第 ，沿用 至 今。 由以 上立法 沿革可知， 自 民國 1 有 關「省、 縣地方制度」的規定均明文排除憲法第 之適用 ，乃 因「省縣自治通則」並未完成立法 的緣 故 。 [14 ] 應注意的是， 憲法增修條文第 雖 排除憲法 第 然 並未 改 變憲法 保障地方自 治"
10,742,"[15 ] 多數意見 的「深層論理」 何 以會 建立在一個 「 隱含 的 」 （ 未 明 說 的） 前提 認知 — 誤以為 憲法增修條文第 排除憲法第 後 ， 省、縣地方制度 就變成中央得以法律規定之事項 之 上 ？殆因 願適用 憲法第 （ 按系爭 「 事務性質 」 判定權限歸屬"
11,848,"的 「比例原則」 在限制 ， 故德國人 將 之 稱 為 「限制的限制」 （ Schranken - S chra n ken ） 條款 。 將 「比例原則」 用於 審查 「 中央立法有無侵害地方 （縣） 自治權限 」 ，乃本解釋之發明 又， 多數 意見 為了避 免適用 憲法第 的"
12,706,"也存在 合理 關聯 ，仍不免 因違反「中央、地方權限劃分」原 則而「違憲」 。總之 ， 前述「 中央、地方權限 的 解釋 方法論 ， 實際 上 既 無從規避，也不可能 用 「比例原則」 來 代 替 ！ 5. 本 解釋後果 堪慮 [19] 本解釋 的 後續 效應 ， 尚 不 在於 "
13,1135,"自行抉擇 ，形成 「因地制宜」 的 多元體制 ？！ 荊知仁 教授 曾 感慨地 說： 「模仿一種外來的政治文化，其形貌易得，其神 髓則難求」 。 所 言 甚是 。 二、 緊 縮釋憲 大門 的 流 弊 業 已 浮 現， 多數同仁 應 勇於改過， 回頭是岸 [21 ] 為 拒絕受理 釋"
14,799,"決議「退回」該議案（按：意即不擬修正） 。嗣 因 李明哲議 員發言： 「本席於上次定期會要求本案應聲請大法官會議解 釋，請業務單位儘速辦理」 ，大會主席蘇俊豪副議長 乃 裁示： 「請本會法制室於一星期內 提出聲請 」。 聲請人 旋 於 月 按本院釋字 第 （理由書第 之決議，得依"
15,765,"爭規定改為記名投票，故 就系爭規定作成解釋 ， 有其實際價 值 」 ，爰 仍 決議 受理 ， 作成本解釋 。 試問： 這些受理的理由， 在 今（ 107 ）年 大法官第 中決議不予受 理的「 會台字第 」 （立法委員林為洲等 聲請解釋 前瞻特別預算審查程序違憲案 ） ， 及 今（"
16,865,"日生效施行之公立學校教職員退休資遣撫卹條例第 等 規定違憲 ）等 以 「 公立學校退休人員退休金給付事 項 … 尚非專屬地方自治之事項 ； … 本件聲請與 本院釋字 第 得不經 上級主管 機關 層轉之要件不符 」為由，決議不予受理。 亦即 ， 直接 認 系爭事項 並非「 專屬 」"
17,663,"的基 本精神 ， 通篇 並 未說明 ： 各縣（市） 議會 何以不得 自行 決定 其議長、副議長的選舉、罷免方式？此事 何以 不能 「因 地制宜」 ，非得「全國一致」？ 甫 經 幾 度 程序 暴 衝 ，從嚴 審查 聲請要件 之 後 ， 本件又 突然 回 歸 「 聲請要件從寬審查 」"
