pdf_page,chars,preview
1,827,"釋憲聲請書 壹 、 聲請解釋憲法之目的 聲請人臺灣高等法院高雄分院刑事第五庭 （ 審判長法官曾永宗、 法官任森銓、 法官陳松檀 爲 審理本院103年度聲字第831號刑 事 彎 請更定累犯之刑案件， :認 爲 應適用之刑法第47條第1項 、 第 48條前段.、 刑事訴訟法第477條"
2,697,"裏 行 及 性 涵 藤 _ 藤 而 1 研 运 : 上之平等原則、 無責任即無處罰原則 （ 即罪責原則） ， 及實 質 正當 法律程序之無罪推定原則， 與憲法第7 條平等權、 第 8 條人身自 由權、 第 15條財產權保障.， 及第23條關於比例原則之規定不符 而無效。 、 ( "
3,638,"分之一 （ 第一項） 。 第九十八條第二項關於因強制工作而免其刑之 執行者， 於受強制工作處分之執行完畢或一部之執行而免除後， 五年以內故意再犯有期徒刑以上之罪者， 以累犯論 （ 第二項） 。」 係於民國 9 4年 2 月2 日總統華總一義字第0 9 400014 9 01號令修"
4,848,"即有就曾經犯罪而再犯者， 定以加重處罰之相關規定2 ， 原在近代 中西文化交流之先， 並非全然繼受他國法例， 至民國元年實行之 「 暫行新刑律」， 則沿襲晚清「 欽定大清刑律」， 經 「 刑律草案」 數次變革， 仍均保有相關之規定3， 其間較 値 得注意之變遷， 當屬 良國7年 "
5,775,"即經修法删除7， 迄今逾28年來， 均已不曾再有類似態樣之立法， 是依德國現行刑法， 被告之犯罪前科僅 爲 量刑之參考因素而已， 不復 爲 加重其 （ 法定）刑之規定及原因8 ， 是依比較法之觀點， 某 經前開立法理由明揭 爲 我國刑法所師法對象之德國法例， 於二次 大戰後， 雖"
6,643,"畢後， 五年以內故意再犯有期徒刑以上之罪， 與刑法第47條第1 項規定之累犯要件相符， 而未據本院於上開確定判決中諭知並依 法加重其刑， 乃依刑法第48條前段 „ 、 刑事訴訟法第477條第1項 規定， 於民國103年 6 月 1 日以103年度執聲字第3 6 7號 ， 向本 院"
7,691,"理論觀點出發 9 ， 其以受刑人就前案所受刑罰反應力薄弱， 是否即 可以其經法院依法定程序諭知之處罰執行完畢， 而 尙 未能完全矯 正其惡性 爲 由， 續以任何形式施予刑罰？ 2. 對有特定背景之行 爲 人犯罪 （ 後案）加重處罰？ ( 1) 若以後案得諭知逾原本該罪法定刑範圍之"
8,755,"4 . 未經踐行審判程序而以裁定課予刑罰， 並變更原確定判決結果之 效力？ 法院於依法定程序判決確定後， 竟可將足令被告承受其加重刑罰 法律效果超出原本適用法條法定刑至二分之一， 卻未於該訴訟程 序中審理調查並辯論之事實， 在未經依特別救濟程序撤銷已經確 三 、 涉及之憲法條文及"
9,679,"用 。 其因涉及限制人身自由權及訴訟權之法律， 就審查密度之要 求並屬於應採取嚴格審查之事項⑴。 參 、 聲請解釋憲法之理由及聲請人對本案所持之立場與見解 一 、 第一順位聲明部分 刑法第47條第1項就符合累犯之資格， 而以加重處罰之形式， 施 予逾原本依後案犯罪應適用法定刑範圍"
10,858,"2.又 所 謂 行 爲 不 二 罰 原 則 」， 亦 稱 「 禁止雙重處罰原則」， 係指 就人民同一違法行 爲 ， 禁止國家 爲 多次之處罰， 其不僅禁止於一 行 爲 已受到處罰後， 對同一行 爲 再行追訴、 處罰， 也禁止對同一 行 爲 同時作多次之處罰。 其內涵與訴法上之一事"
11,859,"與前開「 一行 爲 不二罰原則」自有違背， 其結果並以自由刑及罰 金刑之形式， 直 接侵害人民依憲法第8條 、 第 15條所保障之人身 自由權及財產權， 並欠缺依憲法第23條規定之容許條件。 二 、 第二順位聲明部分 依前所述， 就刑法第47條第1項對於符合累犯資格， 而以加重處"
12,789,"行 爲 評價所得之罪責， 而以行 爲 人之人格 爲 評價處罰之對象， 即 與 「 無責任即無處罰原則」有違， 其對被告施以自由刑或罰金刑 之處罰， 而侵害人民之人身自由權或財產權者， 除有憲法第23條 規定之例外情形外， 即應認 爲 與憲法第8條、 第 15條之規定不符。 ( 二"
