pdf_page,chars,preview
1,916,"釋字第 7 5 部分 協 同意見書 蔡明誠大法官 提出 本件 涉及 刑法總則 第 有關一般累犯 加重 本刑 及 刑法第 定其執行 刑等規定是否違 憲之爭議， 本號解釋 若干疑義 予釐清 ， 爰提出 部分 協 同 意見如下： 一、 累犯 在 犯罪學統計 上意義 與刑法 上 累犯 概"
2,1481,"逕以論斷其是非 特別是因所持 學理論 是否 係 行為 刑法或行為人刑法，或其有關刑罰目的論係採絕對論 例如 應報論 ） 、 相對論 （ 例如 積極或消極之 預防論或特別預 防論 、 加 法 綜合論 aditive Vereinigungstheorie) 、 預防 合論 D ie"
3,1581,"應予 全部 廢除 ， 亦 有認為刑法累犯 念則無違憲 以上各種看法， 的論等作為立論基礎， 國仍有累犯加重規定或三振法條款 ， 故 此 等 累犯加 重 是否 係刑事立法政策之選擇， 非 為憲法上違憲問題 值 得 爾後更 多學者專家深入 討 。 特別是 本號解釋 作出後， 未來學 "
4,1289,"要。 二、 比較法觀察 累犯 相關 刑法規定 及合憲性問題 德國於刑法第 其非難性較高之通常累犯，設有加重其刑之規定 即 一般累 犯 （ 或稱普通累犯或通常累犯 規定 (Rückfalklausel) 。惟在 刑法總則設定累犯加重 之加重規定，其立法功能及加重 處罰之正當性，引起"
5,1203,"第 性虐待 之行為人 於近 刑罰行為經判決確定時，處不低於 在德國 實務上，聯邦憲法院於 ， 對於前述 舊 刑法第 認為 於一定條件下，其並不違憲，因 累犯 相關 規定，不許以先前 刑之概括式考量，而係由法官就個 案審查被告受處罰犯罪行為之種類及情狀 該先前科刑 對其未 足以 收"
6,1393,"效果須有適當之相 對應 。 「 另類選擇黨 ( Alternative für Deutschland AfD) 於 德國 眾議院 Bundestag) 提出 Strafschärfung bei Rückfal) ， 於 中 就 該草案進行辯論 認為累 犯涉及敏感 性之 法益 "
7,994,"建議 最後 是否 會 通過立法， 自 有待時間考驗 。 在 日本 法上， 刑法 第 ， 雖 已刪除 累犯更定其刑規定 ，但 仍明定 一般累犯加重規定 （ 第 照 ） ， 日本最高法院 不認為其違反憲法 第 9 一事不再理原 則 及第 4 ， 甚至 刑法中 設有 類似 美國法有關 "
8,1035,"比較德 國及 日 本之情況 ， 有關累犯存廢，雖學者有不同 法律見解之評論， 從刑罰目的論而言，絕對論（例如應報 論）或相對論（一般預防論或特別預防論等） 亦容有不同 說理。 但外國刑法 ， 係 屬 事實。 質 言之， 有關一般累犯加重規定，並非當然被認為違 憲，甚至三振 ， 惟"
9,1059,"均值得 再 更深入探究。 如欲全面廢除一般累犯規定， 累犯或再犯之行為或犯 行，就其犯罪之再犯率統計及犯罪分析，在犯罪學上仍有其 意義。至於再犯行為之刑事訴追、審判、科刑、判決確定及 刑罰執行等不同之階段，對於法官就個案審酌行為人之人格 或其行為情狀，對於有再犯者性格或性向之前後"
10,1360,"具體侵害法益之行為責任 ( Tatschuld) 。此責任刑法原則，德國 學理及實務上認為其 為 憲法之概念。 本號解釋 之罪責原則 認 為罪責原則 罪責是刑罰的前提要件 與刑罰必須與罪責相當兩點涵義。 刑法基本原則 立，以罪責 犯罪與刑罰間 相互對應， 相當原則。 (Schul"
11,1126,"義 ） ，即指無罪責無刑罰 (keine Strafe ohne Schuld; nula poena sine culpa) 或稱無責任即無罪刑 ） 。 此依 德國 聯邦憲法院 見解，係基於人性尊嚴尊重 及法治國原則 。 罪責作為可罰 性之要件，與量刑罪 (Stra f zum"
12,124,"將 比例原則 過度禁止 ， 涵蓋於罪刑相當原則之中 號解釋將 如此 對於罪責原則、 責前提 、 罪刑相當原則與比例原則 ， 則有 未予 詳加 辨 明 之疑慮 ， 是其 仍有商榷之處。 12 （ ） 。至本 前述原則 與比例原則併列 ， 罪 之關係"
