pdf_page,chars,preview
1,737,"釋字第 7 5 許志雄大法官 提出 黃 昭元 大法官 加入 本件 之爭點，在於累犯加重處罰規定之合憲性問題，及 其延伸之累犯更定其刑規定是否違憲問題。 審查客體 有三， 分別為 刑法第 部之執行而赦免後 ， 5 為累犯，加重本刑至二分之一。」 （下稱系爭規定一） 、 刑法 第 規"
2,791,"有無關涉？又 部分違反 罪刑相當原則 之論述，是否周延？刑法第 關 於酌減刑罰之規定，為何不足以解決該 違反 罪刑相當原則 之 問題？凡此，皆 有補充及釐清之必要， 爰 提出協同意見書。 一、 累犯加重處罰 制度之合憲性 累犯加重處罰 之根據何在？學說相當分歧，大致可歸納 為下列"
3,835,"餘仍維持 稱： 「累犯之加重，係因犯罪行為人之刑罰反應力薄弱，需再 延長其矯正期間，以助其重返社會，並兼顧社會防衛之效 果 。 」 （立法院公報第 則顯然 基於上開第 惟 本號解釋理由書謂 ： 「 姑不論 累犯要件應如何定義， 立法者之所以在原違犯條款所規定之 處罰外， 再 以系"
4,1033,"將過於僵化 ， 難免 背離 一般 人之法感情 。 試觀刑法第 量 刑規定 及分則 有關業務過失罪 規定 （如刑法第 業務過失致死罪、第 可知 現行刑法雖屬行為刑法， 但並非完全不考慮行為人因素。同 理，累犯加重處罰規定即使增加行為人因素之份量，亦未脫 離行為刑法之正軌。 又累犯於"
5,667,"攸關，且涉及國家刑罰權之行使，合憲與否，仍須接受各種 檢驗， 自不待言 。 二 、 一行為不二罰原則與一事不再理 原則 本號解釋理由書表示： 「 立法者係認為行為人於前罪徒 刑執行完畢或一部之執行而赦免後 ， 5 因累犯者之主觀惡性較重，故所違犯之後罪應加重本刑至二 分之一。是系"
6,1151,"不贅言。 本號解釋所稱憲法 一行為不二罰原則 ，若僅侷限於刑罰 範疇，即與 刑事法上之一事不再理原則 、 一事不二罰原則 及 「雙重危險」 （ double jeopardy ）禁止原則 相當，定位為憲法 原則， 應無不可。惟本號解釋既承認一事不再理 原則為現代 法治國普世公認之"
7,979,"權利保護為直接目的 。惟實際運用結果，二者幾無差 異 ， 本 號解釋亦不強加區別。 誠如本號解釋理由書所示， 一事不再理 作為憲法原則， 其實定法依據出於憲法第 人民身體之自 由應予 保障 。除現行犯之逮捕由法律另定外，非經司法或警 察機關依法定程序，不得逮捕拘禁。非由法院依法定"
8,767,"極重要之公共利益，當另有其他極重要之公共利益須維護 時，或有讓步之必要。 是 本號解釋 將 「 為 維 護極重要之公共 利益 者 」 列為一事不再理原則適用之例外， 尚 稱允當 。惟本 號解釋 主要 就 累犯論之，並未試圖建立一個全面共通之例外 標準。 本席認為， 於被告有利 情"
9,758,"參照） 、 刑罰明確性原則（釋字第 照） 、 羈押權歸屬與提審要件（釋字第 正 當法律程序原則 與軍事審判之訴訟救濟（釋字第 436 參照） 、 刑事 被告之證人詰問權（釋字第 律師接見受羈押被告時之監聽錄音（釋字第 照） 、 受刑人 刑期執行期滿 之釋放時間 （ 釋字第 照） "
10,773,"法 罪刑相當原則 及 憲法 第 2 3 比例原則無違 。」 本號解釋理由書 接著 指出 ： 「 系爭規定一不分情節 ， 一律 加重最低本刑。因目前實務上有期徒刑加重係以月為計算單 位，如最低法定本刑為 科罰金或易服社會勞動即可收 （刑法第 低本刑之結果，法院仍須宣告 科罰金或易服"
11,761,"為之 。 就此角度觀之 ， 系爭規定一累犯加重處罰規定 之意義 ， 固 包含 累犯罪責之評價， 無寧更 在於 擴大 法官 之量刑空間 。 本席認為， 累犯之成因不一， 個別 行為人之惡性 、非難可能 性、再社會 化或社會防衛之必要性 ， 亦千差萬 別，而系爭規 定一關於最高本刑加"
12,360,"和解 等情狀 ，僅屬刑法第 刑之標準 ；另年齡要件為他項減輕之 事 由；均 不得據為第 條酌量減輕其刑之適法理由 （最高法院 107 台非 字第 156 號 判決、 105 台上 字第 判決、 101 台上 字第 2776 判決、 100 台上 字第 判決 及 台上 字第 判決參"
