pdf_page,chars,preview
1,731,"釋字第 8 協 同意見書 蔡大法官 明誠 提出 本號解釋 聲請人 一 中華民國 營業（進口）量相關帳籍憑證， 發現 聲請人 一 製造之 商品 「 保力達 」 所使用之玻璃容器螺旋鋁蓋內墊使用聚氯 乙烯（ Polyvinyl Chloride ）材質，未依廢棄物清理 法第 收清除處"
2,1096,"於與物相關聯之 差別待遇 審查時，補充前述恣意 公式 。 在 與人相關聯之 立法平等 ( Rechtsetzungsgleicheit) 之審查 ， 其 係用於 (Problem der Evidenz) verfasungsgerichtlicher Abwägung) 若 在"
3,1155,"本院釋字第 此解釋 亦認 汽車燃料使用費 係對特 定人民課予繳納租稅以外之金錢義務 但 並未提到特別公 課。 兩者 有 何 差異 ？ 頗值得探究。 從 比較法 ， 公法上金錢 ，亦即 ( öfentliche Abgaben) ，可區分稅捐 與非稅捐之公課，後者包括規 費 (Ge"
4,1533,"捐 不 同 於 受 益 費 、 規 費 ， 不 具 對 待 給 付 Gegenleistungen)( 參照 §3 Abs.1 Abgabenordnung (AO) ； 德國 租 稅通則第 ) ， 其係國家 財政 收入 之最重要 來源。 關於 特別公課 之要件，係由德國聯邦憲法"
5,1582,"可見特別公課 其 構成 要件 之 適 用 上 ， 有 較 為 嚴格之要求。 三 、 環境公課之概念建構及其合憲性 之問題 對於 新興之環境公課議題 亦應予重視 在環境法 獻 中，承認環境公課之概念 ) 。又有將 17, 224 。 負擔特別公課之群體須具同質性及 81, 3 29"
6,1347,"課 ，區分環境財政公課 與環境 引 導公課 （ 或譯為 導公課 環境管制性之 導公課 。 環境 財政來源公課（ ） 之課徵主要係基於財政收入目的，非 稅捐環境公課之 係以 管制性 引導 為目的 ， 均值得思考。 有關課徵 之問題 ， 如 就 其目的之差異， 分別探究其 理由 。例"
7,949,"環境保護 為 目的 而 加以課徵者，有將之 引導 稅捐 (Lenkungsteuern) (Lenkungsgebühren) 。 此將公課分類 課，尤其是環保引導公課之概念建構及其合憲性 ，值 得 參考 。 汽車燃料使用費與空氣污染防制費，雖均以「費」稱 呼 ， 空氣污染防制費"
8,1211,"特別公課。 其 與 規費法所稱 規費， 又 不盡相似 無 論如何稱呼，要精準 不無 困難 。 是 此 宜 另 從 前述 課徵 非稅捐公課之目的 亦即 可從 獲取 財政 收入 目的， 或以 行為 引導 目的相互區分。 本件所涉 就 措施 ， 係 為 環境保護之目的， 非純屬 ， 目"
9,977,"環境或人體 ， 在 不能 完全禁止之前，使其逐漸 使用 商品之 物品、包裝或容器 之中 ，並尋找其 他無害於 因此， 清理法有關 可 解為 具有 行為 引導 目的之其他非稅 環境 公 課 （環境引導公課） 。 其內容可不受憲法第 定原則之要求，但其 非國會保留 之 要求，即 求。"
10,784,"干預 (Eingrif) 。 另如從聲請人 之 營業自由 觀之 ， 如本號解釋所 示可能對責任業者構成營業 （如附件材質之選擇） 定干預 。此外 ，其對 責任業者所要求繳納之處理費 ，雖 非責任業者所不能負擔，但 其負擔一定數額之金錢給付義 務，或多或少將 造成 責任業者 可轉嫁"
11,146,"計算方式或 規範 ，以符環境 公課徵 之 本旨 及公 平 原則 ， 藉 以健全我國 環境公課之制度。 ， 治本之 道， 期待未來有 多創新 研發或引進對 安全 及人體 健康 友善之替代物質 或 建置 更有效率之回收再生利用系統 以利應用 。 1 費率等 引導 課徵 綜上 更 環境"
