pdf_page,chars,preview
1,580,"釋字第 8 部分 協 同 部分不同 意見書 楊惠欽 大法官 提出 本號解釋認為廢棄物清理法第 16 條第 1 項中段有關 責任業者所應繳納回收清除處理費之費率 （額度） ， 未以法律 明文規定上限 ， 不違反法律保留原則 ， 及同條第 5 項前段授 權中央主管機關以命令訂定費率，"
2,666,"或地方自治團體所為之金錢給付或因此負擔之金錢給付義 務。又此所稱公課，其係與制裁違反行為義務之罰金、罰鍰 之性質有別，亦與人民對國家之任意捐贈或因國家財產管理 行為而為之給付不同。關於法治國家所開徵之公課，目前學 理上，多將之分為稅捐、規費、受益費及特別公課等四種類 型。而此四類"
3,707,"（群體有責性或特殊法律關連性）之具同質性的特定群體所 課徵，並在法規範上透過專款專用予以彰顯，則此等公課之 使用，不僅不應流入一般財政支出，且應對該特定群體具有 共益性，否則即與人民之平等負擔原則有違。 本號解釋所要審查之公課為廢棄物清理法第 16 條第 1 項規定之「回收清 除"
4,677,"予贊同，但基於前述說明，系爭處理費既已該當現今 通說 關 於特別公課 之 要件，故本席以下針對本號解釋 客體 之系爭處 理費的論述，仍從特別公課之觀點出 發，先此敘明。 一、 關於系爭處理費率之法律保留密度部分： 本院釋字第 593 號解釋固謂： 「國家基於一定之公益目 的，對特"
5,695,"如上所述，特別公課因須 質，故對 於 個別義務人而言，特別公課與稅捐同屬對國家或 地方自治團體無對價性或無對待給付性之金錢給付， 均屬對 人民財產權之侵害， 準此，其課徵要件 之法律保留密度，縱 難以等同稅捐，本席認其中之重要件 仍應有相當程度之國 會保留。本號解釋 所涉 之系爭"
6,616,"心障礙者權益保障法第 43 條 規定之 差額補助費、原住民族 工作權保障法第 12 條規定之代金等，亦皆有確定之費額規 定。而此四類型公課，如上所述，依其對價性或對待給付性 之有無，由強至弱依序為規費、受益費、特別公課、稅捐。 是屬無對價性較強之特別公 課，本於其對人民財產權係屬"
7,742,"應有所節制，不宜任其肥大化 。而系爭處理費，因課徵 對象 通常為營利事業，故責任業者遭課徵之系爭處理費核屬該營 利事業 之費用，得於年度營利事業所得稅結算申報時列報減 除，進而降低該營利事業之課稅所得額，從而勢必減少國家 之稅捐收入， 即增加專款專用之特別公課而減少稅捐收入， 形"
8,800,"氣污染防制基金、資源回收管理基金非營業基金部分、土壤 及地下水污染整治基金、水污染防治基金、環境教育基金及 溫室氣體管理基金 6 個基金」 ，於其上再設置「環境保護基 金」 之特種基金， 並於該辦法第 9 條規定： 「本基金下設各 基金之資金，得於各基金間以計息方式互相融通。」更"
9,636,"理論與實踐經驗及精算等專業領域之發展，於如系爭處理費 之專業及技術領域，訂定符合法律規範目的之費率（額度） 上限，於技術上應非不能， 遑論此舉 於 整體 特別公課之課徵 領域 所具 有 之 正面意義 。本席 關於費率（額度）上限之法律 保留密度 意見 ， 雖未 為本號解釋之 多數"
10,670,"性部分，本席亦提出如下之不同意見。 關於授權明確性之審查，本席認為與稅捐侵害人民財產 權 程度相類 之特別公課， 其等之 審查密度 亦 應相近，即亦應 通過可預見性之檢視。而觀上述系爭規定三前段關於授權訂 定具體費率之規範內容，可認此等授權模式 之規範態樣 ，係 屬於在法律中將授"
11,632,"指於法律中明定其計算公式） ， 而透過計算公式之公告 ， 因可 使法律 明定形成費率之重要因素 如何被具體化而形成 具體費率，有一具像之呈現，當可使費率因之較具 可 預見。 況此舉尚具有資訊公開，使費率之訂定是否符合授權意旨具 有可檢視性。 當 然 ， 本席上 開關於 授權規定中"
12,707,"公告之。」而本號解釋即是依系爭規定一第 法意旨，而認本條項所稱之物品製造、輸入業者包括容器商 品或其他物品之製造、輸入業者，而與容器製造業者皆得為 系爭處理費之繳費責任業者。亦即容器商品製造業者或容器 製造業者 所以 作為 系 爭處理費之繳費責任業者，係基於系爭 規定一第 本號解"
13,854,"規範分別由容器製造業者或容器商品製造業者作為繳費責 任業者，而就聲請人一及二製造之容器商品，則規定均由容 器商品製造業者作為繳費責 任業者（環保署 環署廢字第 之 公告事項六及七 、系爭 公 告三公告事項六及八 責任業者，從而衍生同屬容器製造業者，有些可能需作為繳 費責任業者 、"
14,724,"二、 環保署 96 年 6 月 20 日環署基字第 0960044760 號 公告 （下稱系爭公告二） 附表註 2 及 環署基字第 （下稱系爭公告四）公 告事項三 之加重費率是否違反比例原則部分： 系爭 公告二附表註 系爭公告四公告事項三 之加重費 率，應是依系爭規定三後段授權訂"
15,475,"容器之重量遠大於 PVC 材質之容器，致使用玻璃材質容器 之容器商品製造業者應繳納之處理費 高於容器使用 PVC 材質者 。惟 眾所周知， PVC 材質 「對環境之影響」 又係遠高 於玻璃材質，則對環境影響較大之容器所須繳納之處理費反 而較少，如此是否符合 前開所述「 加重費率 "
