pdf_page,chars,preview
1,425,"解釋憲法聲請書 聲請人： 保力達股份有限公司 代表人：呂百倉 茲依司法院大法官審理案件法第5 條 第 1項第2 款及第8條第1 項之規定， 聲請解釋憲法， 並將有關事項敘明如下： 壹 、聲請解釋憲法之目的 請求就臺北高等行政法院判決103年度訴字第168號判決、 最高行政法院10"
2,604,"二 、 含長期不易腐化之成分。 三 、 含有害物質之成分。 四 、 具回收再利用之價值。 前項物品或其包裝、 容器及其應負回收、 清除、 處理責任之 業者範圍， 由中央主管機關公告之。 (二)廢棄物清理法第16條 依前條第二項公告之應負回收、 清除、 處理責任之業者（ 以 下簡稱"
3,487,"關核定公告； 資源回收費率審議委員會設置辦法， 由中央主 管機關定之。 (三)廢棄物清理法第17條 前條第一項之資源回收管理基金， 應使用於下列用途： 一 、 支付回收清除處理補貼。 二 、 補助獎勵回收系統、 再生利用。 三 、 執行機關代清理費用。 四 、 經中央主管機關評選"
4,701,"依廢棄物清理法第15條第2 項授權制定之「 應由製 造 、 輸入業者負責回收、 清除、 處理之物品或其容器， 及 應負回收、 清除、 處理責任之業者範圍」 於 93年 12月31 日環署廢字第0930097607號修正公告：「 公告事項:一、 原公告表二之四容器定義增加規定：『 "
5,456,"(自94年1月1 日起實 PET 瓶身之所有附件 施） 均 依 PET 之回收費率作為繳費率。 2 . 容器瓶身以外之附 件 使 用 P V C 材質 者 ，費率加重 30% ， 再乘以容器與附件 之總重量， 作為繳費 計算方式。 95年6月29日環署基 1 . 容器附件不論其材"
6,427,"1 曰起實施） 瓶身之所有附件 高 至 均 依 PET 之回收費 100% 費率作為繳費率。 外 ，其 2 . 容器瓶身以外之附 餘均維 件 使 用 P V C 材質 持前次 者 ， 費率加重100%， 公告規 再乘以容器與附件 定 内 之總重量， 作為繳費 容 。 計算方式。 "
7,763,"按上開公告性質上係屬法規命令， 而非行政程序法第 92條第二項前段規定對人之一般處分。 蓋上開公告所規制 之相對人（ 責任業者）雖屬依一般性特徵可得特定之相對 人 ， 但具有反覆持續之效力， 而其規制之事件並非特定具 體之個案， 而是向將來不特定之事件通案地適用。 故應屬 法規命"
8,709,"一 、 回收清除處理費之繳納乃是針對環境保護之特別公課， 只要 物品或其包裝、 容器之使用後產生「 嚴重污染環境之虞」之 廢棄物， 性質上具有不易清除、 處理、 含長期不易腐化之成 分 、 含有害物質之成分、 具回收再利用之價值， 即應回收、 清除、 處 理 ， 並由責任業者負擔"
9,673,"四 、 上開法規命令是否逾越母法之授權？ 五 、 上開法規命令在實質 内 容上是否符合負擔平等原則？ 六 、 上開法規命令在實質 内 容上是否符合比例原則？ 本案並非是針對確定終局判決適用上開法律或法規命令在法 規之解釋及適用上是否違法而提出裁判違憲審查之聲請， 而是針 對確定終"
10,715,"清除、 處 理 ， 並由責任業者負擔回收清除處理費。 PVC 材質對環 境之危害巨大， 為減少責任業者使用該材質以保護環境， 乃增加 處理費率， 以達責任業者減少使用及開發替代材質之目的。」 準此以解， 依據司法實務見解， 回收清除處理費屬於兼具滿 足達成行政任務財政需要與管制誘"
11,703,"( steuerecht 1 i che Gesetzgebungs - , Ertrags - und Verwaltungshoheit )在聯邦與各邦間應如何劃分， 均於基本 法第105條至第108條有明確之規範。 若任由公部門任意在 租稅之外課徵特別公課， 將有造成基本法"
12,746,"有鑑於此， 依據德國釋憲實務之一貫見解， 在租稅國家 原 則 下 ， 以財政收入為目的之特別公課之開徵必須非常謹 慎 ， 亦即僅屬「 特殊例外方可以容許」之財政工具。 政府之 財源原則上仍應來自租稅收入， 不應容許立法者任意透過立 法裁量， 選擇針對特定群體課徵特別公課， 以滿足"
13,733,"需之財政責任， 即具有充分正當性。 例如因該群體行為導致 某種危害環境之狀態而使得國家必須採取特殊措施以為處理 時 ， 則基於「 肇因者原則」 責由該群體承擔所需之財政責任， 自具有充分正當性。 反之， 例如， 在煤炭公課（ Kohlepfenig ) 案中， 聯邦憲法院認為確保"
14,728,"性要件， 對於非以財政收入為主要目的之公課類型並非不可 或缺之容許性要件。蓋在以行為誘導為主要目的之特別公 課 ，因其並非專以取得實現公共任務所需之財源為主要目 的 ， 故對於群體責任之要件及群體用益性之要件作可以較為 寬鬆之解釋6， 易言之， 課徵特別公課之財政收入， 只要主要"
15,635,"之功能， 減少空氣中污染之程度； 並以徵收所得之金錢， 在 環保主管機關之下成立空氣污染防制基金， 專供改善空氣品 質 、 維護國民健康之用途。 此項防制費既係國家為一定政策 目標之需要， 對於有特定關係之國民所課徵之公法上負擔， 並限定其課徵所得之用途， 在學理上稱為特別公課，"
16,734,"是異口同聲地呼籲大法官應參考德國聯邦憲法院之審查準 則 ， 對於立法者課徵特別公課之容許性要件作更為嚴格之審 查與控管。 三 、 廢棄物清理法課徵回收清除處理費容許性之違憲疑義 在參考德國聯邦憲法院之審查準則下， 廢棄物清理法課徵 回收清除處理費之相關法律規定是否符合課徵特別公課"
17,733,"則有賴大法官依據職權予以調查及判斷。以下則提出其違反「 群 體責任」及 「 群體用益性」要件之重大疑義。 查廢棄物清理法第17條規定：「 前條第一項之資源回收管 理基金， 應使用於下列用途： 一 、 支付回收清除處理補貼。 二 、 補助獎勵回收系統、 再生利用。 三 、 執行機關"
18,687,"不完全符合「 群體責任」及 「 群體用益性」要件下運用之高度危 險 。 也就是特別容易發生德國聯邦憲法院所擔心的下列危險： 原本應該以租稅作為財政支出工具之一般國家任務， 假借特別公 課之名義， 責由特定群體負擔， 使其在租稅之外承擔不合事理之 額外負擔。 例如前述以節能減碳， "
19,722,"捐有異， 惟特別公課既係對義務人課予繳納金錢之負擔， 故 其徵收目的、 對象、用途應由法律予以規定， 其由法律授權 命令訂定者， 如授權符合具體明確之標準， 亦為憲法之所許。 所謂授權須具體明確應就該授權法律整體所表現之關聯意義 為判斷， 而非拘泥於特定法條之文字（ 參照本院釋字"
20,752,"分配辦法。同法第七十五條並規定汽車所有人不依規定繳納 汽車燃料使用費者， 公路主管機關應限期通知其繳納。 是公 路法已就汽車燃料使用費之徵收目的、 對象及徵收費率之上 限予以明定， 並就徵收方式及徵收後之分配辦法， 授權主管 機關訂定。 其授權之目的、 範圍及具體 内 容均已明確"
21,646,"定按各型汽車之汽缸總排氣量、 行駛里程及使用效率， 推計 其耗油量， 以反映用路程度多寡， 雖不若以個別汽車實際耗 油量計徵精確， 惟乃主管機關考量稽徵成本與技術所作之選 擇 ， 尚未逾越公路法之授權意旨， 與憲法第二十三條之法律 保留原則並無違 背 。」 (二)對釋憲實務規範密"
