pdf_page,chars,preview
1,636,"釋憲聲請書 原確定終局判決案號： 最面行政法院104年度裁字弟776 5 虎裁定 台北高等行政法院103年度訴字第920號判決 聲 代 南羅旦律師 黃若清律師 （ 02 ) 2518 - 0110 傳 真 ： （ 02 ) 2518 - 0308 聲請人富鴻慶國際有限公司因廢棄物"
2,1100,"月 2 0 日環署基字第0960044760號公告」 、 「 行政院環境保護署101年 5 月 2 1 日環署基字第1010042211號公告」 （ 丨附件 | ， 引用於高等行政 法院判決第13頁理由四、 （ 三 ） ， 下稱96年公告、 101年公告 ） ， 致聲 請人於憲法"
3,1268,"背憲法之規定， 亦應失所附麗而屬違憲： . 21 4 . 1 . 7 況且， 如認本件所涉回收清除處理費， 此一特別公課之最終承擔者， 並 非容器商品製造者或進口者， 亦非採取製造者延伸責任之論點。 而係採取使用 者 （ 污染者 ） 付費原則， 認定回收清除處理費之負擔者， 均應"
4,862,"1 聲請解釋憲法之目的 按司法院大法官審理案件法第5條第1項第2 款規定： 「 有左列情形之 一 者 ’ 得聲請解釋憲法： 二 、 人 民 、 法人或政黨於其憲法上所保障之 權 利 ， 遭受不法侵害， 經依法定程序提起訴訟， 對於破定 终 局裁判所 適用之法律或命令發生有牴觸憲法"
5,829,"計算方法等重要事項，自應以法律明定之。 退步言之， 縱使得基於機 關功能最適理論， 將部分影響人民權利之事項授權由主管機關為之， 亦應以「 具體明確」之授權為限， 而應符合法律明確性之原則。 然綜觀該93年公告、 99年公告及96年公告、 101年公告均非但就責 任業者範圍、費率"
6,805,"為責任業者， 顯然增加容器商品製造業者法律所無之負擔， 更顯屬為 他人行為負責， 違反平等對待之公平原則。 而廢棄物清理法第16條第5 項雖授權主管機關訂定「 費率」， 但僅說 明其費率訂定之應參考因素， 卻未就費率之授權設定合理之上限或限 制 ， 其授權顯然未臻明確。 尤有甚者"
7,777,"序仍未能獲救濟。 爰有聲請大院解釋之必要， 祈請大院對上開93年 公告與96年公告作成違憲並立即失效之宣告， 俾使聲請人之基本權利 得獲保障。 2 本件疑義事實背景暨涉及憲法條文 2 . 1原因案件事實 聲請人為容器商品製造業者， 於 102年間經行政院環境保護署 （ 下稱 環保"
8,1022,"之物品容器物包括容器瓶身及其附件查原告為容器商品製造業者， 自應依上開規定應申報繳納回收清除處理費 。 （ 二 ) 被告依廢棄物清 理法第16條 第 5 項授權制定「 物品及容器回收清除處理費率」 ， 93年 12月 3 1 日環署廢字第0930097607 C 號公告「 物品及"
9,800,"之特別公課 ， 只要物品或其包裝、 容器之使用後產生「 嚴重污染環 境之虞」之廢棄物， 性質上具有不易清除、 處 理 、 含長期不易腐化 之成分、 含有害物質之成分、 具回收再利用之價值， 即應回收、 清 除 、 處 理 ， 並 由責任 業者負擔回收清除處理費。 就有關容器附件使"
10,756,"3 聲請解釋憲法之理由及聲請人對本案所持之立場與見解一程序部分 3 . 1 人民聲請釋憲客體之理論與實務 按 「 有左列情形之一者， 得聲請解釋憲法： ……二 、 人民、 法人或政 黨於其憲法上所保障之權利， 遭受不法侵害， 經依法定程序提起訴訟， 對於確定終局裁判所適用之法律或"
11,809,"93年公告、 99公告就責任業者範圍之規定， 以及96年公告與101年 公告就費率及計算重量基礎規定等法令 （ J 合稱 . 聲績解釋標的 ） ， 依大 審法第5 條 第 1 項第2 款規定， 既 屬確定終局裁判所適用之法律或命 令發生有牴觸憲法之疑義者，自為大院得以審查並作成違"
12,717,"號解釋意旨可資參照 ） 。 4 聲請解釋憲法之理由及聲請人對本案所持之立場與見解_實體部分 4 . 1 本件所涉及廢棄物回收清除處理費， 性質上應屬於特別公課， 應 適用嚴格「 國會保留」 之法律保留原則拘束， 而系爭環保署93年公告、 99年公告與96年公告、 101年公告之授"
