pdf_page,chars,preview
1,36,"解釋憲法聲請書 聲請人臺灣桃園地方法院法官 中華民國106年7月25日"
2,833,"壹 、 聲請解釋目的 . 3 一 、 解釋目的 . B 二•'依 ■ ♦ 康 . 3 三 、 涉及之案件 . 3 四 、 本件釋憲標的、 理由與先前既經解釋者並不相同： . 4 (一） 本件聲請釋憲之標的 . 4 (二） 釋字第554號 . 5 (三） 釋字第569號 . 5 貳"
3,111,"2 . 縱容或宥恕而不得告訴的制度 ， 無法取代告訴制度 . 19 三 、 結論 . 19 # 、 R 寸論 . 21 一 、 本聲請與同性婚姻之解釋無涉 . 21 二 、 所涉刑事案件被告、 辯護人之請求事項 . 21"
4,356,"壹 、 聲請解釋目的 一 、 解釋目的 聲請人聲請宣告 刑法第 239 條 ， 及 刑事訴訟法第 239 條及其但書 在該罪適用範圍 内 ， 均因違反後述憲法條文及原則 (第 7 條 、 第 2 條 、第 23 條 )而 無效或失效。 二 、 依據 按憲 法之效 力既高於法律 ，"
5,660,"案件 ， 認為所應適用之刑法第239條 ， 以及刑事訴訟法第239條及其但 書在該罪適用範圍 内， 有牴觸憲法第7條 （ 平等原則） 、 第22條 （ 婚 姻自由〇 、 第23條規定（ 比例原則）之疑義 ， 而 屬先決問題 ， 業已 分別裁定停止其訴訟程序 ， 並本於合理確信提出"
6,935,"(二）釋字第554號 鈞院釋字第554號解釋認為： 刑法第239條限制性行為之自由 ， 但已附有告訴乃論之訴追條件 ， 因而認定並不違反憲法第23條之比 例原則2。 但 是 ， 該解釋係於當時之時空、 環 境 ， 就刑法第239條之 解釋結果 ， 且關於告訴條件制度作為刑法第23"
7,617,"民訴訟權之意旨 ， 因為受到法 律以外所無之限制 ， 因而認定違反憲法。 因此 ， 該號解釋之審查標的 ， 也與本件聲請者並不相同。 3 3 釋字第569號解釋文： 「 憲法第十六條明定人民有訴訟之權 ， 旨在確保人民權益遭受不法侵害 時 ， 有權訴請司法機關予以救濟。 惟訴訟權"
8,455,"貳 、 疑義之性質與經過及涉及之憲法條文 一 、 疑義之性質與經過 臺灣桃園地方法院檢察署檢察官先後起訴 ， 認為被告高〇〇係有 配偶之人而有通姦行為 ， 因認被告高〇〇、 阮〇〇各自涉嫌犯刑法第 239條前段通姦罪及同法第239條後段相姦罪4。 上開案件嗣後分別由 聲請人受理 "
9,59,"(二）涉及之刑事法條文 刑法第239條 、 刑事訴訟法第239條及但書（ 在刑法第239條適 用範圍 内 ） 。 8"
10,515,"叁 、聲請解釋憲法之理由（ 聲請人對本案所持之立場與見解 ) 一 、 刑法第239條 、 刑事訴訟法第239條及其但書 (一 ）告訴條件作為刑法第239條之合憲基礎 1 •刑法第239條及其告訴條件之目的 刑法第239條規定： 「 有配偶而與人通姦者 ， 處一年以下有期徒 刑。 "
11,599,"違社會一般人通念 ， 而人民遵守此項義務規範亦非不可期待之情況下 ， 自得以刑罰手段達到預防通姦、 維繫婚姻之立法目的。 矧刑法就通姦 罪處一年以下有期徒刑 ， 屬刑法第 61 條規定之輕罪； 同法第245條 第1項規定 ， 通姦罪為告訴乃論 ， 使受害配偶得兼顧夫妻情誼及隱私 "
12,778,"(二）告訴制度於通姦罪適用的基本現況 1 . 刑事訴訟法的告訴制度 「 告訴」的意義 ， 是 指 「 犯罪之被害人或其他告訴權人 ， 向偵查 機關申告犯罪事實並為請求追訴之意思表示 i 5 〇 此 外 ， 告訴也是對 於個別犯罪事實要求追訴的意思表示 ， 並不會概括地及於其他犯罪"
13,479,"得提出告訴7。 3 . 小結 因此 ， 依照上述的告訴規定及實務見解 ， 於通姦罪之適用情形是： (1 ) 告訴權人配偶必須在知悉犯人之後6 個月 内 提出告訴〇 告訴權 不能附加條件或限制 ， 也無法事先拋棄 ， 亦不會及於其他的個別犯罪 事實； (2) 縱使在離婚或其他原因喪"
