pdf_page,chars,preview
1,869,"釋憲聲請書 臺灣高雄地方法院 壹 、 聲請解釋憲法之目的 刑法第239條規定 ： 「 有配偶而與人通姦者， 處一年以下有期徒 刑 。 其相蟲■者亦同。」本條規定包含前段之「 通蟲罪」及後段之「 相 姦罪」 。 聲請人認為， 在現行法下， 刑法第239條違憲之理由主要有： 一 、國"
2,1308,"臺灣高雄地方法院 〇 之配偶提出告訴而開始偵查， 並認被告王 〇 〇、 李〇〇依 序涉犯 刑法第239條 第 1項前段通姦罪、 刑法第239條 第 1項後段相姦罪， 向本院提起公訴。 嗣於本院審理中， 告訴人撤回對配偶 王〇〇 之通姦 告 訴 。 二 、涉及之憲法條文 本案涉及刑"
3,1177,"臺灣高雄地方法院 在同一受干預法益， 同時屬於多數憲法基本權保障範圍時， 屬於基本權真正競合。 此 時 ， 若多項基本權之保障強度有別， 應以保障強度最高者， 作為審查干預基本權之措施是否正當之 基準3。 準 此 ， 本案通（ 相 ）姦 罪 ， 同時干預人民受憲法保障之 「 性行"
4,1325,"替代手段檢驗 （ 'les restrictive alternative 1 ' test ) 。 然實際上，中 可以包含「 （ 一般強度的）限制較少之替代手段檢驗 」 （aregular ’’les restrictive alternative ” test ) 。 亦即，"
5,1141,"臺灣高雄地方法院 適當性原則主要檢視立法者所採手段， 是否有助於目的之 達 成 。而在採取中度審查基準之前提下， 所謂有助於目的之達 成 ， 非僅止於與目的之達成有「 合理關聯」之程度， 而應達到 對於目的之達成有「 實質關聯」者始足當之。 基於以下理由， 聲請人認為採取刑事處罰"
6,1144,"臺灣高雄地方法院 2 . 要求配偶提出「 告訴」將惡化婚姻關係 鈞院釋字第554號解釋雖認為， 刑法第245條 第 1項將 通姦罪定位為「 告訴乃論」之 罪 ， 足以彌補通（ 相 ）姦罪可 能過於嚴格的缺失。 實 則 ， 立法者將通姦罪定位為「 告訴乃 論 」之 罪 ， 反而使刑"
7,1426,"臺灣高雄地方法院 姦與相姦之行為人， 或利誘通姦行為人轉為「 污點證人」 ， 共同威脅相姦行為人之情形， 對於婚姻尊嚴與關係之維護， 均無助益17。由此益徵， 刑法第239條通姦罪之規定， 對於 婚姻與家庭制度之維護， 實無具體助益可言18。 從 而 ， 刑法 第239條並無「 "
8,1224,"臺灣高雄地方法院 姦罪之處罰， 與婚姻與家庭制度之維繫好壞， 亦無因果關係 存在， 自難認刑法第239條對於保障家庭與婚姻制度之立法 目的間， 具 有 「 有效達成」之實質關聯。 (五） 以刑事處罰維繫婚姻、家庭制度不符必要性原則 1 . 通 （ 相 ）姦去刑事化不等於無責化 即"
9,1183,"臺灣高雄地方法院 方式進行蒐證26， 對 於 通 （ 相 ）姦行為人隱私權侵害之程度 必然較高27， 且絕大多數通（ 相 ） 姦行為人， 縱使成立犯罪， 亦可易科罰金， 是實際結果而言並無顯著差異。 是民事求償 應屬相同有效下， 對基本權侵害較小之手段， 故 通 （ 相 ）姦 罪"
10,924,"臺灣高雄地方法院 的而侵害較小之手段可資運用， 雖得以刑罰規範限制人民身體 之自由， 惟刑罰對人身自由之限制與其所欲維護之法益， 仍須 合乎比例之關係， 尤其法定刑度之高低應與行為所生之危害、 行為人責任之輕重相符， 始符合罪刑相當原則， 而與憲法第23 條比例原則無違3 G 。"
11,1187,"臺灣高雄地方法院 (三 ） 通 姦 、 相姦行為之差異性 刑法第239條之通姦罪係以「 有配偶 之 人 」 與配偶以外之 人發生姦淫行為者為其構成要件。 是刑法第239條所定「 通姦」 與 「 相姦」 ， 最主要之差異在於行為人是否為「 有配偶之人」 32。 又成年人間未違反意願"
12,1061,"臺灣高雄地方法院 (一） 刑法第239條僅適用於「 異性婚」 刑法第239條係 以兩性生殖器官接合（ 插入 ） 為 「 構成要 件」 ， 基於生理構造上之差異， 僅可能成立於「 異性傾向」之 人 。 是系爭規定雖未明定僅適用於「 異性婚」 ， 然依其須以「 一 方性器插入他方性器"
13,866,"臺灣高雄地方法院 落 實 ， 為其立法目的， 然此一立法目的不因「 性傾向」而有所 區 分 ， 是僅能適用於「 異性婚」之刑法第239條 ， 顯與憲法保 障平等權之意旨不符。 四 、 我國刑事訴訟法獨就通姦罪設計告訴不可分之例外， 與憲法第 7 條保障平等權之意旨不符 (一） 告"
14,996,"臺灣高雄地方法院 五 、 我國刑事訴訟法使告訴不可分例外之規定， 使 「 相姦者」刑罰 重 於 「 通姦者」與憲法第23條 之 「 罪刑相當原則」不符 (一） 告訴權之行使亦有罪刑相當原則之適用 「 被告所犯之罪， 法律規定是否須告訴乃論， 其 内 容及範 圍之劃定， 暨其告訴權"
15,1134,"臺灣高雄地方法院 障平等權意旨之部分理由， 然其真意係在凸顯鈞院釋字第748號解釋 因應世代變遷而將婚姻制度理解為包含「 同性婚」 、 「 異性婚」 在 内 後， 對於鈞院釋字第554號解釋所闡述保障「 異性婚」下婚姻、 家庭制度 之法律制度， 亦應隨此制度及社會觀念之變遷而有相"
16,641,"「 WestLaw 檢索系統」 查得， 中文資則係於司法院「 法官版法學資料 臺灣高雄地方法院 號解釋確立為包含「 同性婚」與 「 異性婚」在 内 ， 而刑法第239條規 定 ， 在現行法下， 僅針對「 異性婚」 始有適用， 造成國家以「 性傾向」 作為是否發動刑罰權之分類標準，"
