pdf_page,chars,preview
1,696,"釋字第 791 號解釋部分協同意見書 黃虹霞大法官提出 「 50 年前，結婚容易，離婚難； 50 年後，離婚容易，結婚難。」 從本院收案、決議受理到開始審理本件聲請案、言詞辯 論、作出本件解釋，本席之心情始終處於戰兢之狀態。 是因為感受到就這個議題 We al care ，是因為"
2,845,"樹菩薩造 「大智度論」，故乃思仿傚龍樹菩薩，嘗試以設問自 答方式，希望讀者較易於理解，有助於意見溝通： 一、問：大法官不必受大法官先前解釋之拘束嗎？通姦罪之 合憲性已經大法官在 91 年間 ， 作成釋字第 554 號解釋肯定 ， 大法官還可以變更見解嗎？即使可以，這樣會不會太不尊"
3,823,"當前」 等語），肯認刑法通姦罪規定，對一般大眾具預防威嚇 作用，故就增強人民對婚姻尊重之法意識，及維護婚姻與家 庭制度之倫理價值言，仍有其一定功效；即認依該解釋當時 2 足見本院釋字第 554 號解釋原即已認知並應寓有 ： 該解釋作 成後之未來，若對人格自由之維護、婚姻制度之功能"
4,1190,"性行為自由，即認性自主權受憲法保障，誠屬確當。 在本院釋字第 554 號解釋之後，本院除了以作成違憲解 釋方式持續守護憲法明列之人民基本權外，並於多號解釋中 3 另亦以納入 憲法第 2 條基本權保障範圍之方式 ， 擴大保護人民 ， 比如與 4 對性自主權限制密切相關之隱私權， 即"
5,1018,"本院有與時俱進，相應重新檢視刑法第 239 條通姦罪規定是 否仍應合憲之必要。 三、問：婚姻與家庭為社會形成發展之基礎，釋字第 554 號 解釋因而肯認婚姻制度之存續與圓滿應受憲法保障，難道不 再是這樣了嗎？ 答：不是的，大法官還是肯定婚姻制度。按婚姻係配偶 二人為營永久共同生活"
6,776,"答：是的。是因為婚姻制度已經起了一些大變化。 （一）本院釋字第 554 號解釋認婚姻制度具有維護人倫 秩序、性別平等及養育子女等社會性功能，這已經是本於 91 年當時之婚姻觀，而且是很正向、理念性地加以觀察及特予 支持。實則婚姻觀已因時而異： 1 、 24 年即現行刑法第 239"
7,1071,"配偶關係已不以異性為限；婚姻關係中，尊重個人格及自 由、配偶間平等，包括姓氏、夫妻財產制、住所、子女親權、 監護權，及共同生活費之負擔等，甚至「性不性」也需尊重 7 以上種婚姻關係之內容均已有重大變異，唯一 沒有改變的是刑法第 239 條通姦罪規定，而且迄今 85 個年 頭，仍無"
8,737,"9 結婚容易、離婚難； 50 年後，離婚容易、結婚難」， 還真是 一語道盡刑法第 239 條立法以來之世事變遷，今昔迥不相同。 （二）還有，應該特別注意的是，本件解釋認為刑法第 239 條通姦罪規定違憲，不能再以刑罰處罰通姦罪，不等於 否定婚姻制度或婚姻忠誠義務、不保護受害配偶，"
9,1127,"1 、離婚終結個別婚姻關係，對婚姻制度傷害大。而我國民之離婚率一直居高不下，本院釋字第 554 號解釋作成肯 定刑法第 239 條通姦罪規定合憲，可以刑罰為手段處罰通 10 姦行為後，離婚率也未見下降改善。 且近 10 年以通姦為原 因之各地方法院年裁判離婚終結事件數在 9 件至"
10,742,"綜上，刑法第 239 條通姦罪規定對婚姻制度之維護沒有 相當關聯，對個別婚姻關係之存續與圓滿未有助益，甚至有 害；對配偶間感情沒有加值、只有貶值作用，與其立法目的 之達成間，已難再謂其具手段適當性。 3 、 又查現代婚姻制度所已生之問題很多 ， 縱認部分係因 性開放觀念而與善良風"
