pdf_page,chars,preview
1,849,"關於 刑 法 第 239 條規定及刑事訴訟法第 239 條但書 聲請大法官解釋之補充理由書 案 號 ： 會台字第13520號 、107年度憲三字第1 0 號 壹 、 前言 我 國 刑 事 實 體 法 修 法 之 專 責 機 關 （ 即法 務 部 ) 在 這 1 7 年 間 曾 於"
2,1324,"對 婦 女 一 切 形 式 歧 視 公 約 」 （ 以 下 簡 稱 ： CEDAW ) ， 行 政 院 於 9 年 5 月 1 8 日 函 送 「 CEDAW 施 行 法 草 案 」、立 法 院 於 1 0 年 5 月 2 0 日三 讀 通 過 ， 經 總 統 公 布 後 自 1"
3,1531,"法 或 刑 訴 法 層 面 的 問 顆 ， 也夾雜著社會所存在以及夫妻間之關係互動 等層面之問題 ，當 刑 事 處 罰 無 法 妥 適 處 理 時 ，是 否 仍 有 需 要 刑 法 第 貳 、 關於刑法第23 9 條 司 法 院 釋 字 第 5 4 號 解 釋 所 提 及 ：通 "
4,1079,"立 法 目 的 則 係 在 保 障 「 夫妻婚姻之圓滿不可侵犯性 」 8 ， 換 言 之 ，此 所 指 乃 無 非 係 「 婚姻之神聖性 」 。不 過 ， 如 果 係 這 般 詮 釋 通 姦 罪 所 保 障 之 社 會 法 益 內 涵 的 話 ， 通姦罪所保障之法益將淪為僅是抽象"
5,937,"免 這 樣 的 情 況 發 生 。 不 過 ， 國家發動刑罰將導致人民之人身自由及財 產受到剝奪， 立法者欲以刑法規範處罰婚外性行為， 仍需有堅實之事 證 ， 從 「 地 方 法 院 離 婚 終 結 事 件 離 婚 原 因 」統 計 數 據 (詳 見 後 述 附 表 ) 偶 一 "
6,1262,"許 的 承 諾 ， 無法由國家背書或應由國家強制 . I 等 情 ， 足 以 知 悉 一 旦 得 知 ， 有 時 通姦行為並非動搖婚姻關係之原因， 而係已無法維繫之婚 姻關係所產生之結果 ， 於 此 情 形 ， 立 法 者 以 刑 罰 制 定 通 姦 罪 而 確 保 所 謂 婚 "
7,1082,"無 達 成 原 本 期 望 目 的 之 效 果 ， 難以 作 為 重 要 利 益 ; 立 法 者 採 取 以 刑 事 處 罰 之 手 段 與 其 欲 達 成 目 的 之 間 委 實 欠缺實質關聯性 。 參 、 關於刑訴法第23 9 條但書 為 顧及婚姻關係中之夫妻情義、 家庭和諧"
8,1056,"確保作為偵查主體之檢察官行使公訴權時， 不會因告訴權人與共犯之 一人間存有私人情感而撤回對該特定共犯之告訴， 導致檢察官之公訴 權受到箝制； 亦係避免作為公益代表人之檢察官不會因制度設計， 使 其在追訴犯罪的過程中存在不當的差別對待1 6 。 然 刑 訴 法 第 2 3 9 條但"
9,1082,"恕 之 認 定 亦 包 含 明 示 或 默 示 17， 為了避免對通姦之他方配偶不提告被 視為係刑法第2 4 5條 第 2 項之宥恕 ， 實 務 上 曾 見 聞 之 情 形 ，則係遭 容 ， 如 此 「 先傷己、 再 傷 人 」 之制度設計果直能達到重修舊好？ 然 而 ， 如 此"
10,858,"此 關 係 更 加 急 轉 直 下 ，衍 生 更 多 衝 突 ， 立法者制定刑訴法2 3 9 條但 書之規定能否確保撤回對通姦之他方配偶告訴後， 婚姻能破鏡重圓？ 還是不斷地嘗試接近、 期望能一如往常， 結果卻是反覆地期望換來失 望呢？ 係 、不 要 離 婚 就 能 圓 滿 」的"
11,988,"也 禕 反 CEDAW 之 精 神 。 好 考 量 嗎 ？或 是 立 法 者 只 是 想 用 傳 統 道 德 觀 念 對 於 婚 姻 之 美 好 圖 像 強 行 將 疏 離 無 法 修 復 之 關 係 框 架 呢 ？ 況 且 ，依 學 者 之 實 證 研 究 而 言 ，通 姦 罪"
12,868,"要 維 持 假 面 夫 妻 等 不 合 理 之 情 形 ， 宜將審查標準調升至中度 （ 從嚴） 或嚴格之審查標準 ； 夫 妻 婚 姻 關 係 能 否 重 修 舊 好 、 破 鏡 重 圓 並 非 國 家 利 益 ， 也 不 屬 於 國 家 之 重 要 利 益 ； 在嚴格審查標準下，"
13,1094,"〇 /7 nd / a ) 22也 是 幾 經 爭 論 而 此 二 國 最 終 都 廢 除 了 通 姦 罪 ； 隨 著 社 會 文 職 此 ， 刑法既係憲法之執行法、 刑訴法是憲法之測震儀 ， 宣 告 通 2 請 參 照 ： htps://w.rgics.Org/wp-conte"
14,365,"釋字第55 4 號解釋， 宣告刑法第23 9 條 、 刑訴法第23 9 條但書違憲。 【 附表23】 受他方虐待 （ 或為不堪同居 與配偶以外之人合意性交 之虐待） （ 單 位 ：件 ） ( 單 位 ： 件 ） 9 4 年 95 5 9 5年 2 6 9 6 年 6 9 7年 8"
15,28,"10 6 年 107年 1 5 117 9 8 14"
