pdf_page,chars,preview
1,1396,"會 台 字 第 12 6 4 號聲請釋憲案法律鑑定書 薛 智 仁 國 立 台 灣 大 學 法 律 學 院 副 教 授 貴 院 大 法 官 為 審 理 會 台 字 第 1 2 6 4 號 臺 灣 苗 栗 地 方 法 院 苗 栗 簡 易 庭 快 股 法 官 等 聲 請 解 釋 案 ，"
2,2192,"於 刑 法 規 範 的 合 憲 性 審 查 ，應 該 區 分 「行 為 規 範 」 和 「制 裁 規 範 」 進 行 2 。 以 刑 法 第 3 1 0 條 第 1 項 誹 謗 罪 為 例 ，其 行 為 規 範 傺 指 「禁 止 指 謫 或 傳 述 足 以 毀 損 他 人 名 譽"
3,2052,"櫂 的 干 預 ，目 的 看 似 是 在 維 護 行 為 規 範 的 效 力 ，但 是 其 所 達 成 的 公 共 利 益 到 底 有 多 大 • 還 是 必 須 看 行 為 規 範 所 欲 保 護 的 利 益 有 多 重 要 • 制 裁 規 範 的 合 憲 性 審 查 也 無 "
4,1689,"論 出 ，大 法 官 在 形 式 上 採 取 整 體 審 查 的 模 式 底 下 ，其 實 有 意 區 分 行 為 規 範 與 制 裁 規 範 的 合 憲 性 ，仍 有 待 進 一 步 推 敲 。本 文 只 想 強 調 ，如 果 大 法 官 是 將 刑 法 規 範 的 整 體 當"
5,1977,"時 並 未 從 隱 私 櫂 角 度 審 查 通 姦 罪 是 否 合 憲 。直 至 釋 字 第 5 8 5 號 解 釋 理 由 書 ，大 法 官 始 首 次 說 明 ： 「隱 私 櫂 雖 非 憲 法 明 文 列 舉 之 櫂 利 • 惟 基 於 人 性 尊 嚴 與 個 人 主 體 性"
6,1549,"生 保 護 漏 洞 ，將 之 包 含 在 隱 私 櫂 之 内 似 乎 也 不 會 提 升 其 保 護 程 度 。基 此 ，通 姦 罪 之 行 為 規 範 並 未 限 制 隱 私 櫂 。 簡 言 之 ，本 罪 對 有 配 偶 之 人 及 第 三 人 構 成 性 行 為 自 由 （ "
7,2126,"許 的 公 共 利 益 • 而 不 在 於 其 是 否 符 合 刑 法 學 的 法 益 概 念 15。在 我 國 釋 憲 實 務 上 ， 大 法 官 也 從 未 將 刑 法 學 的 法 益 理 論 當 成 審 查 刑 法 規 範 之 目 的 正 當 性 的 標 準 。例 如 ，關"
8,1711,"規 範 ，約 束 夫 妻 雙 方 互 負 忠 誠 義 務 」• 認 定 通 姦 罪 是 在 保 護 婚 姻 存 續 與 圓 滿 ， 傺 正 當 的 公 益 目 的 ，值 得 肯 定 。至 於 釋 字 第 5 6 9 號 解 釋 理 由 書 「有 配 偶 而 與 人 通 姦 ，背 "
9,1829,"阻 潛 在 行 為 人 實 施 犯 罪 （ 消 極 一 般 預 防 ）及 穩 固 社 會 大 眾 對 於 法 規 範 的 信 賴 （ 積 極 一 般 預 防 ， 後 者 傺 指 嚇 阻 犯 罪 人 將 來 再 犯 （ 消 極 特 別 預 防 ） 及 使 其 重 新 回 歸 社 會"
10,1945,"的 審 查 。對 於 手 段 適 合 性 的 審 查 ，涉 及 事 實 的 認 定 和 調 查 ，德 國 聯 邦 憲 法 院 發 展 出 三 種 寬 嚴 不 同 的 審 查 基 準 ：明 白 性 審 查 、可 支 持 性 審 查 與 強 烈 内 容 審 查 。何 種 情 形 應 "
