pdf_page,chars,preview
1,489,"第 1 頁，共 12 頁 18 的部分進行論述，其餘詳細的問題脈絡與思路耙梳、參考資料等可參附件一。 17 16 說是釋字第 796 號爭議的前提。為求書狀簡潔，以下僅就與本案直接相關 15 條相關問題的延伸，二者相互連鎖，而本案所涉及的爭議其實更為根本，可 本案為 鈞院 3 年"
2,915,"第 2 頁，共 12 頁 28 事）。如果假釋撤銷的原因是由於另犯他罪，而該他罪也被判處自由刑、發 27 （至於現實上監獄首長願不願意幫他提報、假釋審查能否通過，是另外一回 26 日本受刑人如果假釋遭到撤銷，並無硬性限制要隔多久才可以再次提報 25 隨時再次提報」的理解方式並非突"
3,992,"第 3 頁，共 12 頁 28 間其實仍在服刑，只是刑罰執行方式轉換，國家公權力改以較柔軟的保護管 27 付出多少代價，才足以達到社會所期待的責任下限（雖然在觀念上，假釋期 26 責相當，自由刑應執行的最低實刑，意味著立法者認為個案中的犯人最少須 25 犯罪行為所應承擔的責任，待"
4,948,"第 4 頁，共 12 頁 28 不過，由於在本項增訂以前，矯正實務長期將假釋撤銷的效果，理解為 27 低應執行期間門檻。只是調整後的效果是什麼，的確存有一定的解釋空間。 26 計算執行期間之規定不適用之」 ，故本項規定也預定調整第 1 項中的假釋最 25 銷，回監執行時要如何與他"
5,1046,"第 5 頁，共 12 頁 28 並非真的在規定無期徒刑的「殘刑」 ，也不意味著我國法上無期徒刑在假釋 27 樣，是在規範多數徒刑合併執行時，能夠假釋的最低應執行期間的計算標準， 26 才算得出新罪的假釋門檻在何時可以滿足。基本上它跟本條的第 1 、 2 項一 25 獄中執行殘刑時"
6,983,"第 6 頁，共 12 頁 28 年時，再接續執行他刑；如果在假釋前就已經執行滿 20 年，則可直接開始 27 第 5 項，其假釋遭撤銷回獄中執行時，須先接續執行舊罪之刑，到補滿 20 26 原因事實發生在 86 年修法以後、 94 年修法之前，依當時的刑法第 79-1 條 25 "
7,1080,"第 7 頁，共 12 頁 28 20 年時，可提報假釋。 27 續執行的期間相加，已達到（ 86 年版條文的） 15 年或（ 94 年版條文的） 26 期徒刑的假釋門檻時，可提報假釋；如果後罪判處有期徒刑，與前罪殘刑接 25 宜，即如果後罪判處無期徒刑，與前罪殘刑接續執行的期間相"
8,944,"第 8 頁，共 12 頁 28 裁判憲法審查，若法規範本身尚有合憲解釋空間，建請一併考慮調整本 27 作的見解。 鈞院現就人民聲請案件之職權，既包含法規範憲法審查及 26 能是矯正行政機關及法院（作為本案由之裁定）對本項規定應如何操 25 為審查標的，但有違憲疑慮的未必是刑法第 "
9,914,"第 9 頁，共 12 頁 28 2. 過往的實體法規定，反映的是過往的政經局勢、社會需求等，原本就可 27 這樣的特別規定，就認定為違憲。 26 於法規範之形成有一定的裁量空間，利弊相權下，似乎難以只因沒有作 25 成實務操作上的困擾，或在立法技術上掛一漏萬、治絲益棼。立法者對 "
10,941,"第 10 頁，共 12 頁 28 服刑期間才可再次提報假釋）而創造出來的，但卻借用了第 79-1 條第 27 期長度」這樣的觀念，則是實務上因長期的誤解（以為要再次服滿最低 26 低應執行期間如何計算。至於「無期徒刑受刑人假釋遭撤銷後的殘餘刑 25 同條第 1 、 2 項一樣，都"
11,948,"第 1 頁，共 12 頁 28 時」 ） ，也非如上述「 (2) 」採「假釋遭撤銷時」 。 「假釋撤銷之原因事 27 「 (1) 」比照新罪之罪、刑（從舊從輕，原則上即「新罪之犯罪行為 26 以「假釋撤銷之原因事實發生時點」為基準時點，既非如上述 25 (3) 目前系爭規定二、系"
12,278,"第 12 頁，共 12 頁 具狀人：黃宗旻 中華民國 112 年 12 月 14 日 憲法庭 公鑒 此致 9 8 專題研究計畫補助未通過的申請書 附件一 本案問題脈絡說明 內容節錄自具狀人 2 年前申請科技部 文件編號 文件名稱或內容 備註 7 附屬文件之名稱及其件數 6 5 有"
13,1341,"附件一 本案問題脈絡說明 節錄自黃宗旻， 「從『假釋撤銷』 爭議，展望假釋制度及刑罰執行觀念的重構 」 （未發表） 1. 刑法第 我國刑法第 原本 規定： 「 假釋中因故意更犯罪，受有期徒 刑以上刑之宣告者，於判決確定後六月以內，撤銷其假釋。」 依條文義， 乃 採 行 「強制撤銷"
14,1433,"於後罪屬 ，對人身自由的侵害 有違 比例原則： 「 不分受假釋人是否受緩刑或 無基於特別預防考量，使其再入監執行殘刑之 必要之具體情狀，僅因該更犯罪 受有期徒刑以上刑之宣告，即一律撤銷其假釋，致受緩刑或 宣告且無特別預防考量必要之個案受假釋人，均再入監執行殘刑，於此範圍 內，其所"
15,1424,"5 後，已於 。 (2) 假釋是 否為 受刑人 的 權利 ？ 關於假釋的性質，有「恩惠說」與「權利說」之議。我國現行假釋制度之 依據未見於憲法明文，僅 係法律 創設之制度， 國家就算根本 不設計 假釋制度， 6 都不 見得違憲 ，既是法律創出的優惠，自可再以法律剝奪 ；加上就我國"
