pdf_page,chars,preview
1,173,"專家諮詢意見書 案號： 109 年度 憲二 字第 3 號 專家學者、機關或團體 姓名或名稱：丁榮轟 身分證明文件字號： 住 ( 居 ) 所、所在地、事務所或營業 所： 電話： 傳真： 電子郵件位址： 送達代收人： 送達處所： 機關 / 團體代表人 姓名： 身分證明文件字號： 稱謂"
2,1060,"1 為（憲法訴訟類型）提出專家諮詢意見 事： 2 應揭露事項 3 一、相關專業意見或資料之準備或提出，是否與當事人、關係人或其 4 代理人有分工或合作關係。否 5 二、相關專業意見 或資料之準備或提出，是否受當事人、關係人或其 6 代理人之金錢報酬或資助及其金額或價值。否 7 三"
3,1096,"1 護管束，至其出獄後之殘餘刑期執行完畢。執行保護管束期間 2 並需遵守保安處分執行法 74 條之 2 規定接受監督輔導至刑期結束， 3 始完成其宣告徒刑之執行完結案。故受刑人假釋出獄期間仍屬 4 在刑期執行中，依監行刑法第 138 條規定，受刑人釋放時，由監 5 獄給與假釋證書"
4,813,"1 特制定本法。」可見其強調監獄行刑矯治處遇之目的是希望以 2 教育刑之理念，教化改變犯罪人，希望其可以改悔上，培養其 3 適應社會生活之能力後，可以再復歸社會，而假釋制度即是配 4 合此一理念而存在。故假釋制度在刑罰理論中係屬「特別預防 5 理論」之觀點，主要係強調對犯罪人之矯"
5,897,"1 犯罪應否撤銷回歸釋字第 796 號解釋 2 由於 110 年 12 月 28 日修正前之刑法第 78 條第 1 項規定： 「假釋 3 中因故意更犯罪，受有期徒刑以上刑之宣告者，於判決確定後 6 4 月以內，撤銷其假釋。」 ，依釋字第 796 號解釋文「不分受假釋 5 人是否受"
6,873,"1 罰外，再以刑法第 47 條第 1 項規定加重本刑之處罰，理由在 2 於行為人前因犯罪而經徒刑執行完畢或一部 3 理應產生警惕作用，返回社會後能因此自我控管，不再觸犯有 4 期徒刑以上之罪。然而行為人卻故意再犯後罪，足見行為人有 5 其特別惡性，且前罪之徒刑執行無成效，其對於刑"
7,878,"1 害部分，似有違對人民受憲法第 8 條保障之人身自由所 2 為限制，不符憲法罪刑相當原則，牴觸憲法第 23 條比 3 例原則 4 假釋制度之目的在使受徒刑執行而有悛悔實據並符合法定 5 要件者，得停止徒刑之執行，以促使受刑人積極復歸社會（刑 6 法第 7 條、監獄行刑法第 條、"
8,891,"1 監，且遵守保護管束應遵守事項，至其再犯罪適用刑法 條第 2 1 項或第 2 項被撤銷假釋，並依刑法第 78 條第 4 項規定 ，殘餘刑 3 期之計算 ，係自其假釋離開監獄之日起算，非自其犯罪行為時 4 起算，故產生其自假釋離開監獄之日起至再犯罪這段期遵守相 5 關法令規定期間"
9,979,"1 年 5 月 19 日修正公布前之刑法第 272 條） ，未就應執行殘餘刑期之 2 規定為特別考量，是否違憲？ 3 （一） 「懲治盜匪條例」非屬除罪化之法律廢止，相關犯罪回歸 4 由普通刑法，法務部並已針對該條例相對應條文做相關 5 刑度之修法，以維刑罰之衡平 6 立法院於 9"
10,861,"1 律。」本條由「從新從輕」原則改採「從舊從輕」原則，但兼 2 採有利行為人之原則。由於懲治盜匪條例係刑法之特別法，故 3 其與刑法相同之構成要件之罪名均有大幅提高刑法所定之法定 4 刑度，除背離罪刑相當原則，亦有違比例原則外，並與憲法第 8 5 條、第 15 條自由權與生存權保"
11,1108,"1 中更犯罪而依法撤銷之殘餘刑期，依刑法第 78 條第 4 項規 2 定，排除假釋期間未違反相關法律規定之執行期間，有 3 違刑罰執行之正當性，此部分似有違憲法對人民受憲法 4 第 8 條保障之人身自由所為限制，牴觸憲法第 23 條比 5 例原則 6 有關懲治盜匪條例之廢止並非針"
12,844,"1 三、 爭點題綱三：於有關無期徒刑受刑人撤銷假釋執行殘餘刑期之 2 規定有變更時，系爭規定一、二及四之前段合 併觀察；系爭規 3 定三及四之但書合併觀察，就所應適用法律之規定，是否違 4 憲？ 5 有關本爭點系爭規定一、二及四之前段及系爭規定三及四 6 之但書合併觀察，此二部分"
13,570,"1 適用法律之規定，亦如同上述之適用相關法律規定。惟其 94 年 2 2 月 2 日修正公布並自 95 年 7 月 1 日施行之刑法第 79 條之 1 第 5 項規定 3 「經撤銷假釋執行殘餘刑期者，無期徒刑於執行滿二十五年， 4 有期徒刑於全部執行完畢後，再接續執行他刑，第一項"
