pdf_page,chars,preview
1,813,"憲法庭之友意見書 t 政0 律師 2 訟法第20條 第 1 項及中華民國（ 下同 ） 112年 9 月 2 1 日 鈞 庭 109 6 人以外之人民或團體提出專業意見或資料時， 應揭露是否與當事 10 師及林嘉恩撰寫。 就其之撰擬， 本會、 本會代表人、 代理人及諮 1 詢對象，"
2,948,"6 之規定， 是否違憲？ 8 於判決後經廢止（ 如懲治盜匪條例）或經修正（ 如 108年 5 月 10 為特別考量， 是否違憲？ 1 三 、 於有關無期徒刑受刑人撤銷假釋執行殘餘刑期之規定有變更時， 12 系爭規定一、 二及四之前段合併觀察； 系爭規定三及四之但書合 20 罪之情"
3,875,"6 監行狀、 犯罪紀錄、 教化矯治處遇成效、 更生計畫、 家庭支持 8 准駁之決定 （ 監獄行刑法第116條 、 受刑人假釋實施辦法第3 10 核對照表， 以 「 犯行情節」 、 「 犯後表現」 （ 含在監行狀） 及 「 再 1 12 20 式之一， 監獄行刑除公正應報及一般預防"
4,927,"2 f 其具備相同之目的： _ 6 促進刑之執行對受刑人之矯治效果。 … _ 10 自由釋放之過程中， 於符合一定條件， 並受保護管束之公權 1 力監督下（ 刑 法 第 9 3 條 第 2 項參照） ， 提前釋放之 缓 衝制 12 度 ， 亦 即於刑劄執行過程中， 由機構處遇轉為"
5,874,"7 歸無 成 效 i ， 而須於執行「 固定」即相同刑度之長期殘刑後， 10 8 、 又於系爭規定一、 三之殘刑長達20 年乃至2 5 年之情況下， 1 受刑人現實上是否仍有假釋之可能性， 不無疑問， 此部分容第 12 10頁 （ 三）以下詳述。 20 則及罪刑相當原則： 21 "
6,992,"2 l 以執行殘刑為撤銷假釋之主要法律效果， 受假釋人須再次入 4 l 比例原則， 始符憲法第8 條 保障人民身體自由之意旨。 5 l 2 、 依系爭規定一、 三 ， 撤銷假釋時， 無期徒刑之受假釋人（ 即受 l 國家刑罰權行使無疑。 就此， 釋字第681號解釋理由書第2 段 8"
7,897,"2 y 釋理由書第12段 謂 ： _ 10 害 、 行為人貴任之輕重相稱， 始符合憲法罪刑相當原則， 而 1 與憲法第23條比例原則無遠（ 本院釋字第544號 、第 551 12 號 、第646號 、第669號及第775號解 释 參照） 。__________ 20 比{列原則無"
8,955,"2 l ( 2 ) 就此應審酌者， 即是具體個案中撤 销 假鞸之情狀， 是否巳動 si 搖其社舍復歸的成效*而須復以機構處遇之方式限制其人身 6 \ ( 刑法第78條 第 1 項 ， 假釋中因故意更犯罪， 受逾六月有 7 \ 期徒刑之宣告確定者）或前述得撤銷假釋之情況， 縱認受假"
9,906,"2 級毒品之罪， 分別被宣判有罪並定應執行有期徒刑1 0 月 ， 101年 12月 1 7 日、 101年 12月 1 9 日犯詐欺取財罪， 各處 1 有期徒刑5 月 、 5 月確定。 上開諸罪合併定應執行有期徒刑 12 1 年 7 月 ， 假釋並經撤銷。 依系爭規定三、 四 ，"
10,931,"10 綜上所述， 系爭規定一、 三於制度上對受假釋人逕予評價為「 社 1 會復歸無成效」而一律使其執行2 0 年 或 2 5 年之殘刑， 顯然 12 違反憲法第23條比例原則及罪刑相當原則。 20 計 有 1 萬8,407人） ， 無期徒刑假 释 出獄者僅佔總假 释 出獄者 21"
11,925,"1 年） 。 12 2 、 國際人權法上， 向認為無釋放可能性之終身監禁， 會直接侵害 20 政治權利國際公約所定保障人民基本權利之解釋， 有重要參 21 2 ( 2 ) 歐洲人權法院在2008年 K afkaris 判決及2013年 Vinter 23 et au tres 判"
12,919,"10 人之年齡落於30歲至49歲區間（ 附件3 參照） ， 再參酌 内 政 1 部所公布之「 111年簡易生命表」， 國人的平均壽命為79.84 12 歲 （ 附件4 參照） 。 經計算可知， 以犯罪者之年齡再加上前述 20 受刑人復歸社會之可能性， 惟綜合各項現實因素， 2 5"
13,915,"10 延 ， 此條例應已當然廢止， 逾期展延之命令自不生效力。爾 1 後 ， 立法院刪除施行期間定為一年之規定。 最高法院則以此 12 推論立法者有重新制定懲治盜匪條例之意， 以建構繼續適用 20 1 條罪刑法定原則。 監察院此一主張毋寧是將此問題提升至 21 憲法層次，司法機關"
14,896,"10 懲治盜匪條例為特別刑法其第二條第一項第九款對意圖勒 1 贖而擄人者， 不分犯罪情況及結果如何， 概以死刑為法定刑， 20 之裁量權。 司法實務常見之個案， 行為人因長期遭受直系血親 2 法所不許， 惟若只能量處無期徒刑或死刑， 恐又過於嚴苛 。 爰 1 懲治盜匪條例第3 條"
15,885,"10 徒刑等案件相較， 顯失衡平。 _ 1 是當適用系爭規定一、 三時， 若受判決人係依上開過苛之舊法 12 遭判無期徒刑， 則此一已然不合時宜而受廢止之法律， 仍因假 20 諭知相關機關就其為適當之處遇決定時， 應審酌據以判處受刑 2 點一」範圍之系爭規定一、 三與憲法尚無牴觸"
