pdf_page,chars,preview
1,518,"法庭之友意見書 案號：109年度憲二字第333號 法庭之友 名 稱 ： 社團法人監所關注小組 立案字號： 台 内 團字第1070092660號 代表人： 陳惠敏（ 理事長） 住(居） 所 、 所在地、 事務所或營業所： 電話： 傳 真 ： 電子郵件位址： 送達地址： 同上 送達代"
2,872,"1 視包括聲請人在 内 目前仍在監執行之無期徒刑撤銷假釋執行殘刑 2 之受刑人， 並應有法官保留。 3 二 、 針對爭點題綱二裡指出之限時法《 懲治盜匪條例》在廢止後依然 4 有法律效果， 實為司法轉型正義之缺漏， 需重新評價。 5 6 理由 7 一 、 社團法人監所關注小組（ "
3,940,"1 下有期徒刑之宣告， 以及有無基於特別預防考量， 使其再入監執 2 行殘刑之必要之具體情狀， 僅因該更犯罪受有期徒刑以上刑之宣 3 告 ， 即一律撤銷其假釋， 致受緩刑或6月以下有期徒刑宣告且無 4 特別預防考量必要之個案受假釋人， 均再入監執行殘刑， 於此範 5 圍 内 ， "
4,938,"1 例原則， 而在一定範圍 内 由法官裁量適當之殘刑， 以避免被假釋 2 人之更生前功盡棄， 並造成家庭及社會之負擔。」 ； （ 三）許志雄 3 大法官部分協同部分不同意見書:「 假釋處分經主管機關作成後， 4 受假釋人因此停止徒刑之執行而出獄， 如復予以撤銷， 再執行殘 5 刑"
5,1020,"2 所 採 之 『 三振法案』， 對於三犯之重刑犯罪者（ FELONY ) 更採 3 取終身監禁不得假釋 （ LIFE SENTENCE WITHOUT PAROLE ) 1 達到防衛社會之目的， 漸有將假釋條件趨於嚴格之傾向。 如美國 4 之立法例。 我國現行對於重大暴力犯罪被"
6,927,"1 重返社會之可能，自是違憲。 按許宗力大法官於釋字第755號解 2 釋協同意見書意見， 指 出 「 德國聯邦憲法院也在多次裁判強調 3 『 再社會化』是源自人性尊嚴之保障的憲法誡命， 國家有採取必 4 要措施以協助受刑人培養回歸社會之能力的積極義務。 雖然應採 5 取何種措施，"
7,886,"1 法後， 其實不用判到那麼重的刑度。 2 九 、 在此背景之下， 受刑人在被撤銷假釋時， 檢察官也應該納入這樣 3 一種考量去審酌個案， 也就是說， 當今天已經不是過往戒嚴等時 4 期 下 ， 需要嚴罰的時代， 這時候要求其回去服刑即應該把這個條 5 文在今日受到的批評與檢視納"
8,925,"1 收容人前案懲治盜匪條例因後案遭撤銷假釋的案件樣態及涉及人 2 數如何？後取得一份因違反保安處分執行和徒刑撤銷假釋（ 前案 3 懲治盜匪條例）的在監執行名單， 並陳原假釋之盜匪原判刑期、 4 原假釋盜匪判處法條（ 項 、 款） 、 撤銷假釋原因（ 刑，保 ） 、 預計 5 殘刑"
9,968,"1 年 、 （ 七）中華民國三十九年五月二十五日令自同年四月八曰起 2 再展限一年、 （ 八）中華民國四十年四月七日令自同年四月八曰 3 起再展限一年、 （ 九）中華民國四十一年四月七日令自同年四月 4 八日起再展限一年、 （ 十）中華民國四十二年四月四日令自同年 5 四月八日起"
10,684,"1 者 。 （ 四）強劫公署或軍用財物者。 （ 五）在海洋行劫者。 （ 六） 2 強劫而故意殺人或使人受重傷者。 （ 七）強劫而放火者。 （ 八）強 3 劫而強制性交者。 （ 九）意圖勒贖而擄人者。 （ 十）盜匪在拘禁中， 4 首謀聚眾， 以強暴、 脅迫脫逃者。 若2014年的三"
11,190,"8 中華民國 112 年 1 月 3 0 日 1 2 3 附屬文件之名稱及其件數 文件編號 内 容 附件1 【 無期徒刑撤銷假釋執行殘刑案】主 附件2 案 （ 109年度憲二字第333號）及併案 30案之案情分析 4 5 此致 6 憲法庭 公鑒 7 9 10 1 具狀人社團 12"
12,316,"本 人 杯 ⑵ 丁 w 煃憲法庭裁定許可， 就 109年度憲二字第333號 I U 、 飞 0 (日期） 裳陳 聲請案及相關併案（ 無期徒刑撤銷假釋執行殘刑案） 提出專業意見。 謹依憲 法訴訟法第20條 第 3 項準用同法第19條第3 項規定， 就相關專業意見或 資料之準備或提出"
