pdf_page,chars,preview
1,788,"監察院國家人權委員會函 受文者： 蕙法庭 112 , 1 2 . 1 8 主旨： 檢送本會就憲法庭109年度蕙二字第 3 號謝朝和聲請案 及其併案之鑑定意見書1份 ， 請查照。 說明： 復貴法庭112年11月2 4 日蕙庭力109蕙二 3 字第1121001 7 1 8 號通知書"
2,0,""
3,1347,"國家人權委員會鑑定意見書 案號： 109 年度憲二字第 3 號 1 國家人權委員會基於落實憲法對人民權利之維護，奠定促進及保障人 2 權之基礎條件 ， 確保社會公平正義之實現 ， 並符合國際人權標準建立普世人 3 權之價值及規範，茲就本次 109 年度憲二字第 3 號謝朝和聲請案"
4,1094,"1 計 。 2 ( 四 ) 人權公約或文獻資料 3 1 、 公民與政治權利國際公約第 10 條規定： 「 一、自由被剝奪之人，應受合 4 於人道及尊重其天賦人格尊嚴之處遇。二、 ( 一 ) 除特殊情形外，被告應 5 與判決有罪之人分別羈押，且應另予與其未經判決有罪之身分相稱之 6"
5,1087,"1 (2) 假釋撤銷或殘刑處置，依據新法採較嚴苛之刑事政策，然就動員戡亂時 2 期所制定之懲治盜匪條例之法定刑業與罪刑相當原則未盡相符，就其 3 輕罪而撤銷假釋之殘刑至少仍有 25 年以上長期拘禁，與近年最高法院 4 就犯情重大而處無期徒刑等案件 ， 顯失衡平 ， 除背離特別預防"
6,1091,"1 廢止 ， 當時依該條例被判無期徒刑者 ， 依今日刑法未必宣判無期徒刑 ， 2 執行殘刑時是否有從輕原則之適用 ， 亦應考量 。 撤銷假釋後殘餘刑期之 3 計算， 涉及憲法第 8 條保障之人身自由 ，應受嚴格審查 ，主管機關執行 4 殘刑宜考量新、舊法之間的落差及從舊從輕原則之"
7,1387,"1 當事由（ legitimate penological grounds ） 。該事由包含懲罰、威嚇、公 2 眾保護以及 矯治 （ punishment, deterence, public protection and 3 rehabilitation ） 。 上開事由間之平"
8,1653,"14 1 段碼 104 、 105 120 ） 。 2 關於審查程序之性質 ， 歐洲人權法院強調 ， 其任務並非規範該審查之性 3 質究竟屬於司法或行政，而應考慮到必須給予締約國一定程度之裁量 15 4 空間（參見 Vinter 案，段碼 120 ） 。因此，每個國家可自行決定該"
9,1327,"1 （ enforcement or implementation ） 」之措施加以區分。如果某項措施之 2 性質與目的涉及減刑（ remision of sentence ） 、或釋放條件程序之改變 3 者，則該項措施即非歐洲人權公約第 7 條所稱之「處罰」（見附件 7 ： 2"
10,1336,"1 第 7 條第 1 項沒有明確提及較輕刑罰溯及既往原則（與《聯合國公民 2 權利和政治權利國際公約》第 15 條第 1 項之規定 25 有所不同） ，歐洲 3 人權法院仍認為，第 7 條第 1 更為嚴厲刑法規定不溯及既 4 往原則 ， 亦隱含著確保 更為寬鬆刑法規定之溯及既往原"
11,822,"30 1 Artsruni 案，段碼 47-62 ） 。 2 3 四、本會之意見： 4 綜觀前開監察院調查報告及國際人權公約之旨趣， 憲法庭於審查系 5 爭規定一至四之合憲性時 ， 宜兼從國際人權法之觀點作為審查標準， 以確保 6 系爭規定一至四是否符合國際人權法之要求 。 循此"
12,802,"1 2 ( 二 ) 承上 ， 系爭規定一及系爭規定三就原據以判處無期徒刑之法律如於判決 3 後經廢止（如懲治盜匪條例）或經修正（如 108 年 5 月 19 日修正公布 4 前之刑法第 272 條） ，未就應執行殘餘刑期之規定為特別考量，是否違 5 憲乙節： 6 1 、系爭規定一"
13,917,"1 3 、從而，系爭規定二及系爭規定四之但書規定 ，因上開情節，而與《歐 2 洲人權公約》第 7 條所肯認之禁止不利於被告之溯及既往原則，未 3 盡相符。 4 5 此致 6 憲法庭 公鑒 7 8 附件 1 ：監察院 108 年 4 月 23 日 108 司調 0009 調查報告。"
