pdf_page,chars,preview
1,827,"憲 法 庭 判 決 113年 憲判字第 2號 聲 請 人 謝朝和 等 35人 聲請人之姓名 、編號 、訴訟代理人及住居所 ,如 附表一 最 高法院刑事第一庭 聲請 人一至三 十五 分別認所 受不利確 定終局 裁定 ,暨 所 適 用 中 華民國 86年 11月 26日 修正公布 ,"
2,1046,"當處 置 ,非 必須執行 固定殘餘 刑 期 滿 20年 或 25年 。 三 、聲請 人 五 、二 十二 至 二 十 九 、三 十 一 至三 十五 據 以提 出聲 請 之確 定 終局 裁 定違 憲 ,廢 棄並 發 回最 高法 院 。最 高法 院 於 本 判 決 主 文 第一項修 法"
3,811,"就上 開規定所為之聲請駁 回 。 八 、其餘 聲請不受理 。 理 由 壹 、案件事實與聲請 意 旨 【 l】 一 、聲請人最 高法院刑事第三庭 因審理最 高法院 l0少 年度 台抗 字 第 778號 案件 (該 案件 已移轉 由該 院刑事第一庭審理 ,故 聲 請人變更為刑事 第一"
4,929,"實發 生在 8b年 刑 法第 條之 1修 正施行 前者 ,依 修正前之 刑 法第 7少 條之 1規 定合併計算其殘餘刑期與他刑應執行之 期 間 。但 其原 因事實行 為終 了或犯 罪結果之發 生在 86年 刑 法 第 77條 修 正施行後 者 ,不 在 比 限 。」 (下 稱 系"
5,810,"四 、聲請人一至三 十五據 以聲請解釋 憲法 、法規範 憲法審查及 裁判憲法審查之確定終局裁定及審查標的如附表二 。 【 5】 貳 、受理要件之審 查及審理程序 【 6】 一 、受理要件之審 查 【 7】 (一 )最 高法院刑事第一庭聲請案 【 8】 按 憲法訴訟法 (下 稱 憲"
6,925,"文 ;第 5少 條 第 1項 之法規範 憲法審 查案件 ,聲 請 人所 受之 確 定終局裁判於該法 l11年 1月 碎日修正施行 前 已送達者 得 自上 開修正施行 日起 b個 月內聲請法規範 憲法審 查 ;其 案 ,準 用第 炒 0條 第 1項但 書及 第 少 1條 之規 定 "
7,1021,"定 一及 三 不 區分撤 銷假 釋 之 事 由及 更犯 罪之 內容 ,且 無 視 受刑 人數 十年 來 為 回歸社 會所 為之 一切 努 力 ,一 律 令 ,致 其再入 監服刑 長達 20年 或 25年 無特別 預 防考 量之 受 刑 人 ,其 人 身 自由受過 度 之 限制 ,"
8,850,"響原確 定判 決之效 力 ,殘 餘 刑 期 間不應 受特別考 量 ; ,人 監執行 殘餘 刑 期 ,是 因其 受刑 人之所 以被守月牧銷假 釋 做 出可 能 會被 撤銷假 釋之行 為 ,當 然應 適 用撤銷假釋原 因事實發 生 時之 法律 ,受 刑 人就是 否 另犯 他 罪或違反"
9,873,"……再接續執行他刑 l 期者 ,無 期徒刑於執行滿 25年 ,第 項有 關合併計 算執行 期 間之規定不適 用之 。」 (即 系爭規 定三上 ) 【 2碎 】 四 、卹 年 2月2日 新增刑法施行 法第 7條 之 2第 2項 :「 因撤銷 假釋執行殘餘刑期 ,其撤銷之原 因事實發"
10,988,"制 ,對 其 因復 歸社 會 而 業 已享有 之 各 種 權 益 ,亦 生 重大影 響 (司 法院釋 字第 b81號 解釋理 由書第 2段 參照 )。 是撤銷假釋之 處 分及 其效 果 ,雖 非使 受假 釋 人 另承 受新刑 罰 ,然 受假 釋 人須 再次入 監執行 殘餘 刑 期"
11,881,"機構處遇 ,實現 國家刑罰權 (司 法院釋字第 7pb號 解釋理 由書第 l0玿 土璆 只魚 ) 。 【 32】 假釋 中之 受刑 人 一 ,人 身 自由並未受限制 。才月ㄊ史銷假釋是使假 釋 中之 受別 人 回到監獄接 受機構處遇 ,造 成其人身 自由受剝奪 之結果 。假釋撤銷"
12,1017,"問 、撤銷假 釋與 殘餘 刑 期 等假釋相 關規範之 必要 。又為 防範 曾 犯 重大犯 罪 而被 處 無期徒 刑者於假釋 期 間再犯 重大刑 案 ,其 首 要之務 應 為嚴謹假 釋 要件 ,如 有再犯 之風 險者 ,即 不應輕 易准 其假釋 ,故 於 8b年 及 與 年修 法提"
13,901,"度 ,不 必於 監獄 中執行 全部 所犯 之 罪應 執行 之 刑 ,此 觀行刑 累 進 處 遇 條 例 尚規 定 受 刑 人得 根 據 在 監所 內之 表 現 縮 短 刑 期 即 明 。 【碎 l】 假釋制度之 主要 目的 ,為 藉 由停 止繼續在 監所執行徒刑 並 配合保護 管"
14,1035,"系爭 規 定 一及 三 規 定 無 期徒 刑 經撤 銷 假 釋 後 執行 殘餘 刑 期 ,其 性 質是接 續執行 前 已受 宣告之 無期徒 刑 ,以 求刑 罰 目的 之全部 實現 ,固然此時受別 人 因故 意更犯 罪或違反保護 管東應 遵 守事項 ,而認 有入 監執行 之 必要 "
15,981,"執行 20年 或 25年 殘餘 刑 期 ,即 有輕 重失衡 之虞 。更有甚者 ,受 假 釋 人 已獲 假 釋 期 間之 長短 不 一 ,受 假 釋 人執行 更 生計 畫之 成 果 亦有別 ,可 能有 出獄 後 仍 不 思上 進 、故 態復 萌而犯 法者 ;亦 有可 能於 假 釋 "
16,874,",而 執行 固定殘餘刑期滿 20年 或 25年 不分寸月牧銷假釋之原 因係另 犯 罪或違反保安處分執行 法之規定 ,復 未 區別 另犯 罪之情 節暨 所犯之 罪應執行之刑之輕 重 ,以及假釋期 間更生計 畫執行之成 效 等因素 ,以分定不 同之殘餘刑期 ,於 此範 圍內 ,不符 "
17,922,"議 ,經 下級 審 法 院 裁 定駁 回後 ,向 最 高法 院提 起抗 告 或再抗 告 ,分 別經最 高法院裁定駁 回確 定 (聲 請 人五 、二 十二至二 十 三 、二十五至二 十九 、三十一至三 十五 ),或 向最 高法院聲 明 異議經該 院裁 定駁 回確 定 (聲請人二 十"
18,965,"失效後 尚在 系爭規 定一 或三所 定之 殘餘 刑 期 間受執行 者 ,即 有 可 能 因執 行 逾 必 要 程 度 之 刑 罰 而對 其 人 身 自由造 成 過 度侵 害 。況 系爭規 定一及三 既經 宣告違 憲失效 ,現 實上 亦難 以期待 此類 受別 人甘服於 受執行原 定"
19,904,"執行 殘餘 刑 期 之 無期徒 刑 受別 人有獲 得 改定殘餘 刑 期 之機 會 即足 以糾正 依 系爭 規 定一及 三執行 固定 殘餘 刑 期 所 生之 違 憲狀 態 ,並 保 障 無 期徒 刑 受別 人之 憲法上權 利 ,而不應 變動在 比之 前其 已執行 殘餘刑期之效力 ("
