pdf_page,chars,preview
1,664,"憲法庭 3 字 第 摘要 聲請 人 ： 謝朝和等 （詳如判決附表一） 最高法院刑事第一庭 言詞辯論期日： 112 19 判決 公 告 日期： 1 3 案由： 上列 聲請人 等 ，因認所受不利確定終局 裁定 及所適用之 中華 民國 79 （下 稱系爭規定一） 及 刑法施行法第 （下"
2,716,"當處置，非必須執行固定殘餘刑期滿 20 25 。 3. 聲請人五、二十二至二十九、三十一至三十五據以提出聲 請之確定終局裁定違憲，廢棄並發回最高法院。最高法院 於本判決主文第一項修法期限屆滿前，應裁定停止審理程 序，迄新法生效後依新法裁判。逾期未完成修法，最高法 院應依前項意旨裁"
3,901,"一 、 假釋制度之目的在使受徒刑執行而有悛悔實據並符合法定要 件者 ， 得停止徒刑之執行 ， 以促使受刑人積極復歸社會 （刑法 第 116 假釋處分經主管機關作成後 ，受假釋人因此停止徒刑之執行 而出獄 ， 如復予以撤銷 ， 再執行殘餘刑期 ， 非特直接涉及受假 釋人之人身自由限"
4,950,"不應輕易准其假釋，故於 假釋之服刑期間，尚屬合理；再立法者 定一及三，使無期徒刑經撤銷假釋執行殘餘刑期得有明確標 準，依系爭規定一於執行滿 20 規定三於執行滿 25 79 1 上揭矯治教化受刑人、防止再犯罪並防衛社會安全之重要公 益目的，尚屬正當 。 〔第 38 （二） 系爭規"
5,973,"別預防之刑罰目的，均已透過一定期間之在監執行而獲得部 分之實現 。 是以 ， 無期徒刑之假釋遭撤銷時 ， 其殘餘刑期間 之計算應使受刑人有機會依當時之一切情狀，受重新評估其 應於監獄內完成矯正所需之時間，而非不分情節輕重程度， 均須一律於監獄內執行固定之殘餘刑期 。 〔第 43 "
6,910,"據上，倘獲假 釋之受刑人經撤銷假釋而須再次入監執行殘餘 刑期，即應基於前述刑罰執行必要性之觀點，審酌包含受刑 人在假釋期間表現等一切情狀 ， 評估受刑人更生改善可能性 ， 以決定受刑人所應在監執行之殘餘刑期 。 具體而言 ， 包括 ： 假 釋受刑人之保護管束執行狀況、生活及工作狀"
7,909,"處罪刑確定者 ，應依 （一） 所定方式 ， 以其所犯之罪應執行之 刑改定其應執行殘餘刑期之期間 。 〔第 51 四、 附表二聲請人五、二十二至二十九、三十一至三十五據以提 出聲請之確定終局裁定，因其適用之系爭規定一及三牴觸憲 法 ， 已如前述 ， 自應予以廢棄並發回最高法院 。 "
8,922,"七、 受無期徒刑宣告之受刑人於假釋經撤銷者，本即應入監繼續 執行無期徒刑 ， 就殘餘刑期之執行本身並無違反憲法第 23 比例原則違憲之疑慮 ， 非指受刑人經撤銷假釋後，無庸執行 殘餘刑期，故只須由相關機關依據本判決意旨所修正之法律 或主文第二項意旨，使尚在執行殘餘刑期之無期徒刑受"
9,467,"〔第 67 _ （蔡大法官彩貞迴避） 本判決由 黃 大法官 瑞明 主筆。 大法官就主文所採立場如下表所示： 主文項次 同意大法官 不同意大法官 許大法官宗力、蔡大法官烱燉、 許大法官志雄、黃大法官瑞明、 張大法官瓊文、楊大法官惠欽、 詹大法官森林、黃大法官昭元、 蔡大法官宗珍、朱"
10,442,"許大法官志雄、黃大法官瑞明、 蔡大法官宗珍、朱大法官富美 詹大法官森林、黃大法官昭元、 （共 謝大法官銘洋、呂大法官太郎、 陳大法官忠五、尤大法官伯祥 （共 許大法官宗力、蔡大法官烱燉、 許大法官志雄、黃大法官瑞明、 張大法官瓊文、楊大法官惠欽、 詹大法官森林、黃大法官昭元、 蔡"
11,349,"許大法官宗力、蔡大法官烱燉、 黃大法官昭元 許大法官志雄、張大法官瓊文、 （共 黃大法官瑞明、詹大法官森林、 謝大法官銘洋、呂大法官太郎、 主文第 八 項 楊大法官惠欽、蔡大法官宗珍、 朱大法官富美、陳大法官忠五、 尤大法官伯祥 （共 3 許 大法官 志雄 提出 協同 意見書 陳"
