pdf_page,chars,preview
1,620,"憲法庭 協同意見書 尤伯祥大法官提出 陳忠五大法官加入 本席就本號判決之結論，均敬表贊同 。 惟， 就 多數意見以比例原 則審查 中華民國 並自 中 ， 有關 無期徒刑 假釋 經撤銷 者一律執行固定殘餘刑期滿 之規定 （即系爭 規定一及三） ， 進而 宣告系爭規定一及三 違反憲法"
2,685,"796 撤銷假釋之原因 ，除 假釋中故意更犯罪而 受逾六月有期徒 刑之宣告確定者 ， 應 依刑法第 ， 其 受緩刑或六月以下有期徒刑之宣告確定者，依同條第 定，須有再入監執行刑罰之必要，始得撤銷其假釋。此外，假 釋中付保護管束而違反保安處分執行法第 守之事項，情節 重大者，依同法"
3,792,"就系爭規定一及三規定無期徒刑假釋經撤銷後 一律 執行固 定殘刑 比例原則，惟， 無期徒刑假釋經撤銷後一律執行固定殘刑，何 以不符手段必要性，自須究明作為刑罰手段之無期徒刑之目的 何在。具體而言，這項刑罰手段之目的，究係 為 防衛 社會 安全 而 將 受刑人 抑或 仍基於特別預防之"
4,666,"應報 犯罪 ， 並 基此目的而導出罪責原則與罪刑相當原則 ， 進而 因有罪必罰而 使其他人民對法律之禁止或當為誡命產生確信 ， 強化了刑罰的一般預防功能。 然而 ，基於以下理由 ，刑罰 ，尤 其是自由刑 ， 若僅以應報及一般預防為目的 ， 必 不 能 達成防衛 法益之任務 ： 1"
5,837,"正如德國刑法學者李斯特（ F . von Liszt 言 ，應報的正義所衍生的惡果 ，是足以造成一個促成 犯罪的刑 罰 。僅為應報而執行刑罰，不但不能達成刑罰防衛法益之任 務，反而與此目標背道而馳。就作為法理念之合目的性而言， 僅為應報而執行刑罰，與比例原則有違。因此，刑罰固然是"
6,721,"刑罰手段 。 監獄行刑的理想，應該是改造犯人而非創造犯人。 監獄創造的犯人 不應 比改造的犯人更多 ， 否則 是悖離自由刑 本 質 的異化（ alienation ）。 （二） 作為 刑罰手段 之無期徒刑 ， 若不 以特別預防為目的 ， 即無合憲 之可能 。 故合憲之無期徒刑 ，"
7,747,"於以下理由 ， 若 完全 按此字面意義 而將 無期徒刑 理解為必須一 律在獄中終生服刑 則無期徒刑 段 ： 1. 這種無期徒刑侵犯人性尊嚴： 每個 人 都 有理性 ， 不須仰賴任何外在權威之指導 ， 就 能 在社 會共同生活中 依其理性 自主決定並 為其決定 負責 ，因而都 是能"
8,912,"之受刑人 ，其實 是 被當作社會的「敵人」或「他者」 ， 其 人 性尊嚴 已 遭否定 。 2. 這種無期徒刑即使不是酷刑 ， 至少也是殘忍 、 不人道之處遇 或懲罰： 就公民與政治權利國際公約第 酷刑，或予以殘忍、不人道或侮辱之處遇或懲罰（ shal be subjected t"
9,739,"外 、 不必要之傷害 。 若再審酌上述學術研究之結果 ， 則 令受 刑人一律終生在獄中服刑 之無期徒刑 ， 其殘忍 、 不人道之性 質，更加明顯。 因此 ，作為 刑罰手段之 無期徒刑 ， 仍應 基於 特別預防 之 目 的， 給予 已以相當期間之監禁償付罪責之 受刑人 ， 因改過遷"
10,737,"所必要者為限 ， 從而自應依撤銷當時之一切情狀 ，重新評估 個 別 受刑人於獄中完成矯正所需時間 ， 而非令 所有這類受刑 人 一 律於獄中執行固定長度之殘刑 。 包括撤銷假釋之原因係另犯罪 或違反保安處分執行法之規定 、 另犯罪之情節與應執行之刑之 輕重 、 在假釋期間為回歸社"
11,680,"年或 實係將無期徒刑轉換成有期徒刑，反而有利於受刑 人 ，並無違憲可言 之見解 ， 乃是將 無期徒刑 理解為必須一律於 獄中終生服刑之自由刑，並以此為前提所為之 立論 。 惟， 重點 不在於是否有利於受刑人 ， 而是在於憲法究竟容許國家使用什 麼刑罰。如前所述， 如是理解之無期徒"
12,750,"懼所生的 防衛衝動 ，對社會中最少數、弱勢之個體施以過度甚 至是殘忍、不人道之處罰，則這樣的民主 政治 ，具備 多數人不 恃強凌弱 、 瞭解 民主 多數 的 權力 仍 應自我 節制 的文化 ，依照法 治原則運作 ， 不會 淪為多數 暴政， 也不虞 倒退回專制政治 。宣 告系爭規定"
