pdf_page,chars,preview
1,1185,"判決，就已受執⾏之殘餘刑期，聲請刑事補償、國家賠償或折抵他刑。 餘刑期執⾏完畢之⽇，如有他刑，即接續執⾏他刑。相關之受刑⼈不得據本 刑期，短於實際已執⾏殘餘刑期者，均以實際執⾏殘餘刑期之末⽇，視為殘 六、執⾏無期徒刑殘餘刑期之受刑⼈，其依主文第三項⾄第五項改定之殘餘 6 者，亦同"
2,1344,"指其配偶。）【4】 定終局裁定駁回後提出聲請，是本判決所稱聲請⼈犯罪部分，於聲請⼈⼆係 中，聲請⼈⼆係為其配偶蔡恒光所受殘餘刑期之執⾏提出異議、抗告，經確 審查，聲請⼈⼆⼗⼆、⼆⼗八、三⼗四、三⼗五併聲請裁判憲法審查。（其 權、第8條⼈⾝⾃由之保障、第23條比例原則等，聲請解釋憲"
3,1213,"之陳述要旨如下：【16】 務部，另邀請專家學者到庭陳述意⾒。聲請⼈⼀⾄三⼗及關係機關⾔詞辯論 本庭於112年12⽉19⽇⾏⾔詞辯論，通知聲請⼈⼀⾄三⼗、關係機關法 16 ⼆、⾔詞辯論程序【15】 15 決。【14】 獲假釋，經撤銷假釋後執⾏殘餘刑期之爭議，有其共通性，爰合併審理並"
4,1291,"依修正前之刑法第79條之1規定合併計算其殘餘刑期與他刑應執⾏之期間。但 ⾏殘餘刑期，其撤銷之原因事實發⽣在86年刑法第79條之1修正施⾏前者， ⼆、86年11⽉26⽇修正公布之刑法施⾏法第7條之1第2項：「因撤銷假釋執 23 項有關合併計算執⾏期間之規定不適⽤之。」（即系爭規定⼀"
5,1349,"悛悔有據⽽已適於社會⽣活，則得於合乎⼀定條件下予以假釋，可期待藉由 基此，如受刑⼈在監獄內執⾏已達相當期間⽽抵償相當程度之罪責後， 32 解釋理由書第10段參照）。【31】 徒刑或假釋，其⽬的均在協助受刑⼈得以重返⾃由社會（司法院釋字第796號 法說明，另⾏刑累進處遇條例第75條"
6,1342,"遇措施，則無論刑罰之宣告或執⾏，均應在達成刑罰⽬的之必要範圍為之； 刑罰既然係基於上述應報及特別預防、⼀般預防之⽬的所課處之不利處 41 預防及⼀般預防之原理，預測⾏為⼈須於監獄內受矯正之時間。【40】 處遇決定；據此，法院於量處⼀定期間之⾃由刑之際，業已根據應報、特別 負擔罪責"
7,1338,"其情節仍與直接侵害他⼈法益、破壞社會秩序之犯罪⾏為迥然有別，不應與 護管束應遵守事項，縱使可能影響對其更⽣可能性、再犯危險性之評價，惟 護管束⽬的，所進⾏之管制、監督、輔導措施。假釋受刑⼈單純違反上開保 束地；離開在10⽇以上時，應經檢察官核准」，其性質上屬於為達成上述保 執⾏保"
8,1317,"所犯之罪應執⾏之刑定之：（1）未滿5年者，執⾏殘餘刑期10年。（2）5年 （⼀）依刑法第78條第1項、第2項規定撤銷假釋者，其殘餘刑期依假釋期間 50 考下列⽅式執⾏殘餘刑期：【49】 期20年或25年。例如，除有特殊情形外，得依本判決主文第⼀項之意旨，參 應依本判決之意旨，另為"
9,1263,"【57】 三執⾏殘餘刑期，⽽應使受刑⼈獲有依修正後之規範更定殘餘刑期之機會。 或監所管理之⾓度，均不適於令此類受刑⼈繼續依違憲失效之系爭規定⼀及 ⽤之⼀致性以及本判決之意旨，且無論由刑罰執⾏教化更⽣之特別預防⽬的 執⾏原定之殘餘刑期⾄期滿為⽌，故為貫徹憲法保障⼈⾝⾃由、法律整體適"
10,1324,"他刑應執⾏之期間；撤銷假釋之原因事實發⽣在86年刑法修正公布後，94年 條之1修正施⾏前者，依修正前之刑法第79條之1規定合併計算其殘餘刑期與 ⼜系爭規定⼆及四分別規定，假釋撤銷之原因事實發⽣在86年刑法第79 6 【65】 及四均為明確修正前後法律適⽤之標準，所訂定關於新舊法律"
