pdf_page,chars,preview
1,665,"憲法庭 1 3 憲判字第 蔡宗珍大法官提出 張瓊文大法官 加入 楊惠欽大法官加入 朱富美大法官加入 本判決 主文第一項宣告 刑法第 79 1 5 無期 徒刑執行殘餘刑期滿 /25 示日起屆滿 分別就 立 法者未及時完成修法 因應 、 本件 裁判憲法審查部分之違 憲宣告 、 聲請人"
2,777,"與徒刑之執行制度 （含行刑累進處遇與縮刑制度等） 等 問題 。 從而 ， 本判決主文 第一項 就系爭規定 宣告違憲與定期失 效之範圍， 亦僅限於 系爭規定未區分 相關要素（ 撤銷假釋之 原因 、 假釋期間再犯之罪之情節及該犯罪應執行之刑 之 輕重 、 假釋期間更生計畫執行之成效 "
3,695,"假釋 ， 應區分 再犯罪之情節 輕重 、 無期徒刑已受執行之期間 、 曾有悛悔實據之事實、假釋期間之努力及再犯可能性等 算 殘餘刑期 ； 4 . 一律執行 0 / 25 ， 「無異剝奪受刑人再次獲得評估之機會 行超過必要程度刑罰之可能，不符手段必要性。 」 二、 系爭規定之規範意"
4,701,"後 ， 無論有期徒刑或無期徒刑 ， 均 應先執行殘餘刑期完畢 ， 再 接續執行他刑，且殘餘刑期與他刑不得合併計算假釋門檻年 限 。 核其性質 ， 應屬撤銷假釋後關於刑之執行之特別規定 。 而 其既屬刑之執行之規定，自 括定應執行刑之裁定） 為前提 ， 不涉犯罪之處罰 。 就 此 "
5,752,"得假釋之實益，蓋系爭規定所對應之無期徒刑假釋門檻年限 分別為 5 /25 形式上 略短 於 擬制殘餘刑期或與之等長 ， 然 實際上 受刑人往未必於達到門檻年限時即獲准假釋，極 可能 超過擬制殘餘刑期之 0 /25 限始獲准假釋。 且無期 徒刑殘餘刑期服刑完畢，其無期徒刑 屬執行完"
6,719,"此類設計。如不採系爭規定之設計，如 3 規定 之情形， 則無期徒刑受刑人假釋期間再犯罪而遭 期徒刑之執行， 配套機制則為該等受刑人仍 依無期徒刑假 釋規定之要件 ， 再次獲准假釋 之機會 。此 種作法常見於無期 徒刑假釋門檻年限相對較短之國家 （如德國是 15 10 綜上觀之，我"
7,674,"須待立法者為立法政策之決定 。 三、 本判決 宣告系爭規定違憲 ， 欠缺 堅實 理據 （一） 系爭規定構成對人身自由之限制？ 如前所述， 本判決宣告系爭規定違憲之主要理由，便是 系爭規定構成對人身自由之限制，應受比例原則之審查，而 審查結果認系爭 規定不符 「手段必要性」 ， 因"
8,660,"受人身自由限制期程之減縮，而非 額外獨立 施 以 限制 。 本判決 由， 係 援 引 司法院釋字 第 ， 逕行 導出「 撤銷假釋之處分及其效果，雖非使受假釋人另承 受新刑罰，然受假釋人須再次入監執行 由因而受到限制 」 （見判決理由第 。 然而 ，上 開二則司法院解釋均係針對 之"
9,780,"無期徒刑執行者，經撤銷假釋後，其殘餘刑期之計算與執行 仍應符合 比例原則，不得使人身自由遭受過度剝奪，否則即 不符憲法第 8 」 （見理由第 3 ， 言下之意 ， 應是以 「殘餘刑期之計算與執行」 作為比例原則審 查之標的，亦即 審查 「殘餘刑期之計算與執行」是否「過度」 剝奪 "
10,718,"說明系爭規定作為執行性規定，如何承擔 。 事實上，如從 系爭規定 是 配合無期徒刑假釋門檻年限之 所增 訂之規定來看 ， 不難得出系爭規定就 採擬制 殘 餘刑期制之 具體 目的 ： 其應 係為 使 假釋撤銷後入監繼續服無 期徒刑之受刑人 ，其 應執行之刑期，由 無期徒刑 限縮為擬"
11,689,"的之必要性原則，自應根據撤銷假釋當時之一切情狀， 評估受刑人更生改善可能性 ， 進而據以於假釋獲釋時所 餘宣告刑之範圍內預測達成特別預防目的所需之時間 ， 以算得其殘餘刑期 」 （見理由第 假釋經撤銷應 執行之殘餘刑期 ， 是未來應執行之刑期 ， 如何以受刑人 依重新入監服刑時之"
12,731,"則 以他罪 （即後罪） 之犯罪與處罰，作為 調整 原罪 （即 前罪） 無期徒刑 之執行 程度 依據之一 ， 是否 使得 針對 前 罪 所處無期徒刑 之執行 ， 納入與前罪無關之因素 ， 有無 違反 罪責原則下 ， 犯罪之處罰 應以罪責為基礎 之 要求 ？ 4. 即便由法院擔負此等"
13,729,"性與妥當性值得商榷 本判決 主文二特別就 相關機關逾期未 完成 修法 之情形 ， 諭知 「 相關機關就無期徒刑 應依本判決之意旨 ，另為符合比例原則之適當處置，非必須 執行固定殘餘刑期滿 」 ， 理由中甚至 為此 史無前 例地提列 明確的執行殘餘刑期之標準 已屬不折不扣之立法 行"
14,722,"因此 ， 系爭規定失效後 ， 相關無期徒刑之執行 並非 無以為繼 ， 亦不 至 導致相關 制度 運作失靈之狀況 ， 尚可於現制下勉力運 作，靜待立法者在完整配套下完成修法 立法者之姿代為綢繆 尤應強調的是， 即便本判決宣告系爭 規定違憲 ，未來立法者 修法方向仍有相當大之形成空間"
15,626,"時 啟動， 則修法完成前之過渡措施， 可能與未來修法內容 扞格不入 ，已於過渡時期有所處置之個案，修法後是否須再 度調整 ， 均可能產生爭議 。 由此觀之 ， 本判決主文二之諭知實 可能造成治絲益棼之後果。況判決理由 一 套 殘餘刑期之級距標準 ，固然為 「參考」 之用 ， 但 "
