pdf_page,chars,preview
1,551,"憲法庭 朱富美大法官提出 張瓊文大法官加入 楊惠欽大法官加入 蔡宗珍大法官加入 本件判決主文 一 宣告中華民國 布，及 94 法第 假 釋 經撤銷者，一律執行固定殘餘刑期滿 分撤銷假釋之原因係另犯罪或違反保安處分執行法之規定， 復未區別另犯罪之情節暨所犯之罪應執行之刑之輕重，以及"
2,911,"在憲法庭 公告 於 3 進行 法定刑 死刑 是 否違憲 辯論 ，及社會上 高度討論 制 定 不得假釋之 無期徒刑 規 定 議題 之際 ， 對於最重自由刑之 無期徒刑 受刑人 撤銷假釋執 行殘餘刑期案 ， 宣告 系爭 規定 「 一律執行 」 固定殘餘刑期 「 期 滿 」 2 0 或"
3,704,"權； 及無期徒刑特別預防， 兼顧 鼓勵受刑人改過自新、回歸 社會 等 之衡量問題 ， 對社會安全體系之規劃與完整，衝擊鉅 大 。 本席 認為 由於 目前 無期徒刑假釋條件為執行 逾 5 得獲 假 釋， 經撤銷假釋執行殘餘刑期 者 ，無期徒刑 須 再 執行 滿 0 ， 始 接續執行"
4,690,"終身監禁，並無執行期間，本無執行期滿或殘餘刑期可言。 經撤銷假釋後， 因 系爭規定 並非定刑罰規定， 所定 執行殘餘 刑期 既未加重法定刑「無期徒刑」之刑罰，亦未加重 本案之 確定 終局裁 判宣告之刑罰， 並未侵害受刑人之人身自由 或 基 本權， 亦 無違反比例原則。 惟基於本判"
5,653,"貳、 無期徒刑與有期徒刑之殘餘刑期本質不同 一、 無期徒刑寓有監禁重罪 質 ， 雖得假釋 ， 假釋經撤銷執行殘餘刑期 本無執行期滿可言 ， 法律雖定有擬制殘餘刑期， 與有期徒刑 未全部執行完畢之刑 期，本質 不同 無期徒刑為現行法主刑之一， 本判決並未審酌無期徒刑 對於受刑人格結"
6,650,"定於假釋後一定期間內未經撤銷假釋者，以已執行論，致事 實上並未至終身監禁之結果，然此乃屬假釋之效力 。 二 、 經 撤銷假釋者，應回復執行無期徒刑，並無過度剝 奪人身自由問題 無期徒刑假釋後滿 ， 未經撤銷假釋者 ， 其未執行之 刑，以已執行論 ；經 撤銷假釋者， 原 應回復執行"
7,608,"外，可正常生活、工作，第三人實難探知其情形， 惟一客觀 確定之事實乃受刑人發生撤銷假釋之事由， 是否確實有充分 暨 適當之事由或標準可供再次鑑別其回歸社會之適當性及 再犯可能性，足 以區別 優劣 ， 應如何踐行調查， 均 涉及無期 徒刑受刑人假釋制度及刑事政策的整體考量，屬立法形"
8,551,"有期徒刑執行完畢，為何及如何有比例原則適用， 未見 本 判 決說明， 徒 生 疑義。 參、 依 本判決 意旨立法可能之缺失 一、 主文一與理由 所列 區分 殘餘刑期 因素 未盡 相符 本判決主文一所列之區分因素為 ： 1 、 撤銷假釋之原因係另犯罪或違反保安處分執行法之規定 ； "
9,1005,"因假釋出獄者 ， 在假釋中依法應付保護管束 ， 受保護管 束人在保護管束期間內應遵守保安處分執行法第 4 規定 事項，違反該規定各款情形之一，情節重大者，檢察官 得聲請撤銷保護管束 ， 典獄長得報請法務部撤銷假釋 。 受刑 人對於法務部撤銷假釋認為不當者，得於一定期間向法務部 提"
10,688,"違反保安處分執行法與故意再犯罪雖同屬撤銷假釋之 事 由， 惟 性質不同 。假釋期間遵守保護管束事項為受刑人出 獄時被告知事項 ， 違反應遵守之事項情節重大者 ， 足見保護 管束處分已不能收效，得撤銷保護管束，典獄長得聲請撤銷 假釋。至於 假釋中故意再犯罪，多非受刑人出獄時已知之事"
11,859,"罪之情節，相當於「所定應執行刑」已納入該罪之情節，無 重複衡量必要。 此外 ， 本判決主文非以撤銷假釋之 「 原因犯罪 」 之 輕重 ， 而係以「定應執行之刑」之輕重， 為區分殘餘刑期之標準， 受刑人如假釋中犯數罪， 因 撤銷假釋原因之犯罪，未必最先 裁判確定 ； 加上 目前 不"
12,710,"意始得予以保護。 臺灣 更生保護會為財團法人，辦理更生保 護事業，受法務部之指揮、監督，其執行有關更生保護事項 之更生輔導員，係遴聘 ( 更生保護法 第 及 第 7 參照 ) 。更生保護會實施更生保護或辦理更生保護事業所需 經費，得向會外籌募 ( 更生保護法 第 參照 ) ； 綜"
13,793,"多 法令 ；因刑罰執行 極 具 專業性， 涉及眾多單位，復對社會 安全體系影響重大 ， 法務部 依法 得 將假釋之審查、維持、停 止、廢止、撤銷等事宜，委任所屬 矯正署 辦理 。 法治最重要的根本價值，即法 的 安定性。 法律之解釋 亦 應注意其適用結果之可預測性 ， 系爭規定 "
14,708,"年、 20 25 ( 判決 理由 第 參照 ) 等 類。舉 例而言， 如 二年後，立法機關未及修法，無期徒刑 受刑人甲 依現行法 ，於撤銷假釋後， 原應 再 入監執行 0 5 因 其在 假釋期間所犯之罪應執行之刑為 有期徒刑 屬未滿 之分類 ， 依本判決之建議方式，只須執行 殘餘"
15,512,"年，撤銷假釋 後 再入監執行 0 5 ， 事由不一， 依現 行規定，出獄時恐 年邁體衰、 垂老矣， 允 宜 於兼顧國家刑 罰權實現下 ， 就擬制之殘餘刑期 ， 為恤刑之特別考量或設計 ， 憲法庭 本 可於合憲判決中自人權保障高度 ， 建議 立法機關 修法 。 現實上， 大法官並非"
