pdf_page,chars,preview
1,267,"憲法庭言詞辯論筆錄 109 月 審判長大法官 許宗力 大法官 蔡烱燉 許志雄 張瓊文 黃瑞明 詹森林 黃昭元 謝銘洋 呂太郎 楊惠欽 蔡宗珍 朱富美 陳忠五 尤伯祥 （蔡大法官彩貞迴避審理本案） 書記官 涂人蓉 謝屏雲 通 譯 吳紹廷 鄭文琦 聲請人謝朝和 、 辜明東 之 訴訟代"
2,330,"聲請人劉寶平 、 楊奇芳 之 訴訟代理人 郭皓仁律師 聲請人賴清和 之 訴訟代理人 翁國彥律師 王泰翔律師 林俊儒律師 聲請人李雨樺 、 楊正勇 、 李松明 之 訴訟代理人 翁國彥律師 聲請人陳怡靜 之 訴訟代理人 陳才加律師 石志堅律師 聲請人傅新生（歿） 之 訴訟代理人 林家"
3,406,"聲請人郭俊佑 之 訴訟代理人 李佳冠律師 聲請人李明輝 、 余明雄 之 訴訟代理人 梁志偉律師 關係機關 法務部 代 表 檢察司郭永發司長 訴訟代理人 檢察司簡美慧副司長 檢察司劉怡婷主任檢察 官 鑑定機關 監察院國家人權委員會 代 表 蔡崇義副主任委員 專家學者 周漾沂教授 黃"
4,520,"蔡大法官彩貞曾為併案件之聲請人合議庭組織成員，亦曾 參與併案原因案件之裁判，而有憲法訴訟法第 、 5 之迴避事由，依法迴避本案及併案之審理。 本件前於 人協調並陳報本日由 聲請要旨」 、由 5 言詞辯論程序。 請書記官代宣讀注意事項。 書記官 本次言詞辯論實施全程錄音錄影，並在司"
5,659,"一、中華民國 第 滿二十年，有期徒刑於全部執行完畢後，再接續執行他 刑 ， 第一項有關合併計算執行期間之規定不適用之 。 」 （下 稱系爭規定一） 二、 86 項 ： 「因撤銷假釋執行殘餘刑期 ， 其撤銷之原因事實發生 在八十六年刑法第七十九條之一修正施行前者，依修正 前之刑法第"
6,699,"一、系爭規定一及系爭規定三，有關無期徒刑受刑人撤銷假 釋 ， 不分假 釋期間長短 、 再犯之犯罪性質種類 ， 一律執行 固定之殘餘刑期之規定，是否違憲？ 二 、 承上 ， 系爭規定一及系爭規定三就原據以判處無期徒刑之 法律如於判決後經廢止 （如懲治盜匪條例） 或經修正 （如 10"
7,777,"犯案，撤銷假釋， 101 常客，從釋字第 被假釋撤銷部分 ， 當時並無販賣既遂行為 ， 但是因為涉及到之 前引用了最高法院一個舊的判例見解，所以被視為是販賣既 遂的行為 ， 當時在二審定讞 ， 並未提出終局救濟 ， 所以在釋字 第 假釋後 ， 一律執行 25 在釋字第 適用，又錯"
8,789,"徒刑之目的自非永久可以剝奪受刑人回歸社會的機會，否則 將悖離特別預防目的 ， 且有違人性尊嚴 。 另一方面 ， 裁判所宣 告的刑期 ， 實際上包含對於行為人未來社會危險性的預測 ， 是 一種靜態 、 暫時性的判斷 ， 然而刑法的執行是動態的 ， 人有改 過遷善的可能 ， 在一定程"
9,784,"系爭規定一及三不區分撤銷假釋之事由及更犯罪之內容， 且無視受刑人數十年來為回歸社會所為之一切努力，一律令 其入監服刑 人身自由受到過度之限制 ， 在比例原則之嚴格審查標準下 ， 違 反必要性及衡平性原則，實際上這樣的規定與其說基於特別 預防考量，不如說更像藉著輕罪對後行為進行一般"
10,781,"以系爭規定施行法的適用效果已惡化其法律地位，基於信賴 保護原則、罪刑法定原則及法不溯及既往原則，應屬違憲。 專家學者周漾沂教授報告中有提到，其實回去撤銷假釋服殘 刑是前罪的法律效果繼續發生，已被罪責原則評價 出來的受刑人 ， 再度為他過去的犯罪接受罪責原則的處罰 ， 其 實有違刑"
